provinceId,provinceName,districtName,districtId
HN,HaNoi,ba-dinh,2
HN,HaNoi,ba-vi,18
HN,HaNoi,bac-tu-liem,718
HN,HaNoi,cau-giay,7
HN,HaNoi,chuong-my,24
HN,HaNoi,dan-phuong,20
HN,HaNoi,dong-anh,10
HN,HaNoi,dong-da,3
HN,HaNoi,gia-lam,11
HN,HaNoi,ha-dong,15
HN,HaNoi,hai-ba-trung,4
HN,HaNoi,hoai-duc,21
HN,HaNoi,hoan-kiem,1
HN,HaNoi,hoang-mai,8
HN,HaNoi,long-bien,9
HN,HaNoi,me-linh,17
HN,HaNoi,my-duc,29
HN,HaNoi,nam-tu-liem,14
HN,HaNoi,phu-xuyen,27
HN,HaNoi,phuc-tho,19
HN,HaNoi,quoc-oai,22
HN,HaNoi,soc-son,12
HN,HaNoi,son-tay,16
HN,HaNoi,tay-ho,6
HN,HaNoi,thach-that,23
HN,HaNoi,thanh-oai,25
HN,HaNoi,thanh-tri,13
HN,HaNoi,thanh-xuan,5
HN,HaNoi,thuong-tin,26
HN,HaNoi,ung-hoa,28
