productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39827684,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-tran-thi-boc-xa-thoi-tam-thon/giam-soc-700-trieu-ban-lo-tai-hoc-mon-pr39827684,2024-05-14,"7,6 tỷ","221,4 m²","34,33 tr/m²",dat-dat-nen,,,SG,75,178
39827403,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-pham-van-sang-xa-xuan-thoi-thuong/ban-nhanh-lo-hoc-mon-125m2-full-tho-cu-xdtd-pr39827403,2024-05-14,Giá thỏa thuận,125 m²,,dat-dat-nen,,,SG,75,173
39827052,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-phan-van-doi-xa-ba-diem/can-tien-n-d-hoc-mon-tp-hcm-120m2-600tr-gan-truong-thcs-bui-thu-pr39827052,2024-05-14,Giá thỏa thuận,120 m²,,dat-dat-nen,,,SG,75,175
39826744,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-tan-hiep-4-xa-tan-hiep/ban-gan-ubnd-gan-cong-khi-1-35ty-80m2-shr-pr39826744,2024-05-14,Giá thỏa thuận,80 m²,,dat-dat-nen,,,SG,75,177
39826706,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-nha-rieng-phuong-nghia-trung-4/mat-bang-co-10mx34-dang-cho-bida-thue-10tr-thang-trong-khu-quan-u-vit-co-de-nui-chieu-muong-pr39344999?source=ad&adid=2422813,2024-05-14,"7,9 tỷ",340 m²,"23,24 tr/m²",dat-dat-nen,,,SG,75,175
39626437,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-nguyen-anh-thu-xa-ba-diem/n-d-1-65ty-70m2-full-tho-shr-pr39826706,2024-05-14,Giá thỏa thuận,70 m²,,dat-dat-nen,,,SG,75,172
39726094,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-xuan-thoi-10-xa-xuan-thoi-dong/ban-lo-trong-cay-da-dk-chuyen-tho-cu-dt-4-x-20m-hem-10-gan-cho-chu-s-pr39626437,2024-05-14,"1,7 tỷ",80 m²,"21,25 tr/m²",dat-dat-nen,,,SG,75,174
39722843,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-duong-cong-khi-xa-xuan-thoi-son/-2-mat-tien-truoc-sau-dt-5-x-26m-mt-gan-nga-3-giong-hoc-mon-pr39726094,2024-05-14,5 tỷ,130 m²,"38,46 tr/m²",dat-dat-nen,,,SG,75,178
39712987,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-bui-thi-lung-xa-thoi-tam-thon/ket-tien-kinh-doanh-ban-nhanh-lo-gan-cho-hoc-mon-xd-tu-do-shr-125m2-gia-ban-nhanh-3-3ty-pr39722843,2024-05-14,Giá thỏa thuận,125 m²,,dat-dat-nen,,,SG,75,174
39713261,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-nha-rieng-duong-ap-4-xa-xuan-thoi-thuong/chinh-chu-ban-hoc-mon-hem-xe-hoi-7m-cach-phan-van-hon-200m-dt-5-32mx15-06m-1t1l-pr34473110?source=ad&adid=2401254,2024-05-14,"4,2 tỷ","80,1 m²","52,43 tr/m²",dat-dat-nen,,,SG,75,174
39718437,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-nguyen-thi-thu-xa-xuan-thoi-son/ccg-lo-mat-tien-6500m2-300m-tho-cu-gia-chi-20-trieu-m2-pr39712987,2024-05-14,130 tỷ,6.500 m²,20 tr/m²,dat-dat-nen,,,SG,75,174
39826348,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-nguyen-thi-thu-xa-xuan-thoi-son/ngop-can-ban-gap-lo-mat-tien-33x24-800m2-vuon-29trieu-m2-pr39713261,2024-05-14,"23,2 tỷ",800 m²,29 tr/m²,dat-dat-nen,,,SG,75,177
39826296,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-nguyen-thi-thu-xa-xuan-thoi-son/can-ban-gap-12640m2-trong-cay-da-co-455m2-tho-cu-mat-tien-gia-21-trieu-m2-pr39718437,2024-05-14,"265,44 tỷ",12.640 m²,21 tr/m²,dat-dat-nen,,,SG,75,177
35195993,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-tan-hiep-8-1-xa-tan-hiep/-5-x-30m-mat-tien-8-1-gan-ubx-huyen-hoc-mon-pr39826348,2024-05-14,"3,4 tỷ",150 m²,"22,67 tr/m²",dat-dat-nen,,,SG,75,171
38491490,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-tan-hiep-29-xa-tan-hiep/-7-9-x-28m-mat-tien-29-huyen-hoc-mon-pr39826296,2024-05-14,"4,5 tỷ",222 m²,"20,27 tr/m²",dat-dat-nen,,,SG,75,171
33348876,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-nhi-binh-17-xa-nhi-binh/361m2-goc-2-mat-tien-17-so-hong-san-chi-9-5-ty-pr35195993,2024-05-14,"6,9 tỷ",361 m²,"19,11 tr/m²",dat-dat-nen,,,SG,75,171
39826084,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-nhi-binh-15-xa-nhi-binh/2100m2-goc-2-mat-tien-15-xe-container-chi-8-5-tr-m2-pr38491490,2024-05-14,"17,5 tỷ",2.057 m²,"8,51 tr/m²",dat-dat-nen,,,SG,75,173
39824584,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-bui-cong-trung-xa-nhi-binh/-chinh-chu-mat-tien-song-vam-thuat-dt-3700m2-shr-gia-re-pr33348876,2024-05-14,"18,5 tỷ",3.700 m²,5 tr/m²,dat-dat-nen,,,SG,75,178
39708762,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-kenh-tieu-ba-diem-1-xa-xuan-thoi-thuong/n-dt-7m-x-17-5m-02-mat-tien-1-gan-cho-dai-hai-pr39826084,2024-05-14,"5,3 tỷ",120 m²,"44,17 tr/m²",dat-dat-nen,,,SG,75,173
39210182,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p4/ban-dat-duong-bui-thi-lung-xa-thoi-tam-thon/chinh-chu-can-ra-nhanh-lo-d-hoc-mon-120m2-750tr-shr-full-tho-pr39824584,2024-05-14,Giá thỏa thuận,120 m²,,dat-dat-nen,,,SG,75,171
38212745,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p5/ban-dat-duong-nhi-binh-18-xa-nhi-binh/ban-760m-mat-tien-18-hoc-mon-cach-bui-cong-trung-30m-pr38212745,2024-05-14,"11,5 tỷ",760 m²,"15,13 tr/m²",dat-dat-nen,,,SG,75,171
39726185,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p5/ban-dat-duong-tan-hiep-xa-tan-hiep/ban-1535-m2-ngang-62m-hiem-co-mat-tien-hoc-mon-pr39726185,2024-05-14,25 tỷ,1.535 m²,"16,29 tr/m²",dat-dat-nen,,,SG,75,177
39489153,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p5/ban-dat-duong-duong-cong-khi-xa-xuan-thoi-son/ban-5-x-27m-mat-tien-hoc-mon-gan-nga-ba-giong-pr39489153,2024-05-14,"5,2 tỷ",135 m²,"38,52 tr/m²",dat-dat-nen,,,SG,75,174
36646342,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p5/ban-dat-duong-nguyen-thi-soc-xa-tan-xuan-5/ket-tien-can-ban-gap-nen-mt-vinh-hoc-mon-gia-1-9-ty-dt-80m2-sht-tho-cu-100-pr36646342,2024-05-14,Giá thỏa thuận,80 m²,,dat-dat-nen,,,SG,75,11908
38878372,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p5/ban-nha-rieng-phuong-nghia-trung-4/mat-bang-co-10mx34-dang-cho-bida-thue-10tr-thang-trong-khu-quan-u-vit-co-de-nui-chieu-muong-pr39344999?source=ad&adid=2422813,2024-05-14,"7,9 tỷ",340 m²,"23,24 tr/m²",dat-dat-nen,,,SG,75,177
39822644,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p5/ban-dat-duong-tan-hiep-8-xa-tan-hiep/tu-cuoi-nam-full-tho-cu-gia1ty86-81m2-m-tien-hoc-mon-pr38878372,2024-05-14,"2,5 tỷ",81 m²,"30,86 tr/m²",dat-dat-nen,,,SG,75,181
39823067,https://batdongsan.com.vn/ban-dat-dat-nen-hoc-mon/p5/ban-dat-duong-duong-cong-khi-xa-tan-thoi-nhi/ban-o-5-17m-7m-hoc-mon-pr39822644,2024-05-14,"2,65 tỷ",85 m²,"31,18 tr/m²",dat-dat-nen,,,SG,75,182
