productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39839795,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-quoc-lo-13-phuong-hiep-binh-phuoc/60m-tho-cu-1-set-ql13-vao-40m-oto-quy-hoach-13m-gan-kdt-van-phuc-city-pr39839795,2024-05-14,"4,09 tỷ",60 m²,"68,17 tr/m²",dat-dat-nen,,,SG,71,134
39836902,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-quoc-lo-13-phuong-hiep-binh-phuoc/-tho-cu-xay-cao-tang-bao-phep-xd-ngay-d-13-dt-60m2-gia-chi-tu-4-1-ty-pr39836902,2024-05-14,"4,1 tỷ",60 m²,"68,33 tr/m²",dat-dat-nen,,,SG,71,134
39805541,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-quoc-lo-13-phuong-hiep-binh-phuoc/da-coc-4-trog-thang-con-11-58m2-79m2-hem-oto-13-gia-tu-4-ty-1-nh-ho-tro-vay-3-ty2-pr39805541,2024-05-14,"4,14 tỷ",79 m²,"52,4 tr/m²",dat-dat-nen,,,SG,71,134
39835298,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-hiep-binh-phuong-hiep-binh-chanh/-105-m2-hem-phan-lo-8m-giam-con-7-95-ty-pr39835298,2024-05-14,"7,95 tỷ",105 m²,"75,71 tr/m²",dat-dat-nen,,,SG,71,133
39632106,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-nha-rieng-phuong-nghia-trung-4/mat-bang-co-10mx34-dang-cho-bida-thue-10tr-thang-trong-khu-quan-u-vit-co-de-nui-chieu-muong-pr39344999?source=ad&adid=2422813,2024-05-14,"7,9 tỷ",340 m²,"23,24 tr/m²",dat-dat-nen,,,SG,71,12439
39824382,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-so-494-phuong-tang-nhon-phu-a-1/chinh-chu-bn-lo-hem-xe-hoi-nho-4m-494-nho-qun-9-cu-dy-du-tien-ich-pr39632106,2024-05-14,"3,2 tỷ",71 m²,"45,07 tr/m²",dat-dat-nen,,,SG,71,12434
39809568,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-go-cat-phuong-phu-huu/chinh-chu-e-can-ban-lo-c-hai-mat-tien-dep-vuong-vuc-kho-tim-pr39824382,2024-05-14,"18,5 tỷ",305 m²,"60,66 tr/m²",dat-dat-nen,,,SG,71,134
39822631,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-hiep-binh-phuong-hiep-binh-phuoc/khach-mua-truc-qlo-13-gan-van-phuc-tam-4tyx-chuan-phap-ly-quy-hoach-xay-dung-lh-pr39809568,2024-05-14,"4,2 tỷ",60 m²,70 tr/m²,dat-dat-nen,,,SG,71,138
38537908,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-to-ngoc-van-phuong-tam-binh/-4x20-4x13-5x10-gan-dien-luc-thu-duc-truong-hoc-benh-vien-td-pr39822631,2024-05-14,"3,45 tỷ",80 m²,"43,12 tr/m²",dat-dat-nen,,,SG,71,11953
39638621,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-26/-chinh-chu-duy-nhat-dt-300m2-tai-p-26-q-binh-thanh-canh-ben-xe-mien-dong-pr39592318?source=ad&adid=2394659,2024-05-14,"31,5 tỷ",300 m²,105 tr/m²,dat-dat-nen,10.0,4.0,SG,71,134
39812360,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-doan-ket-phuong-binh-tho/biet-thu-03-mat-tien-trung-tam-tp-thu-duc-pr38537908,2024-05-14,Giá thỏa thuận,2.000 m²,,dat-dat-nen,,,SG,71,134
39801188,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-quoc-lo-13-phuong-hiep-binh-phuoc/ban-hem-xe-hoi-truc-13-ngay-tp-thu-duc-pr39638621,2024-05-14,"4,14 tỷ",58 m²,"71,38 tr/m²",dat-dat-nen,,,SG,71,12444
39689922,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-quoc-lo-13-phuong-hiep-binh-phuoc/ban-tho-cu-xay-tu-do-hem-7m-13-gan-van-phuc-city-gia-f0-so-hong-rieng-pr39812360,2024-05-14,"4,14 tỷ",58 m²,"71,38 tr/m²",dat-dat-nen,,,SG,71,134
39795528,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-lo-lu-phuong-truong-thanh-1/can-ban-sat-dong-tang-ng-4x16-gan-song-mat-me-hinh-anh-thuc-te-100-lh-pr39801188,2024-05-14,"2,88 tỷ",64 m²,45 tr/m²,dat-dat-nen,,,SG,71,133
39786797,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-hiep-binh-phuong-hiep-binh-phuoc/ban-f0-tai-nga-ba-voi-ql-13-thanh-toan-chi-1-ty-3-so-huu-ngay-so-rieng-pr39689922,2024-05-14,"4,1 tỷ",93 m²,"44,09 tr/m²",dat-dat-nen,,,SG,71,133
39786345,https://batdongsan.com.vn/ban-dat-dat-nen-thu-duc/p1/ban-dat-duong-so-27-phuong-hiep-binh-chanh/-du-an-khu-biet-thu-ben-ng-sai-gon-27-p-tp-thu-duc-5-1-ty-60m-pr39795528,2024-05-14,"5,1 tỷ",60 m²,85 tr/m²,dat-dat-nen,,,SG,71,12434
