Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
23,39941924,72.0,5500.0,4.0,6.0,5.0,4 m,1,1,106.6035551,10.7833479,https://batdongsan.com.vn/ban-nha-rieng-duong-go-xoai-phuong-binh-hung-hoa-a/ban-tan-tan-ky-tan-quy-4m-x-18m-1-lung-3-lau-5-pn-co-gara-o-to-pr39941924,65.0,1,0,0
45,39900094,112.0,10700.0,,,,8 m,0,1,106.6123114,10.7761421,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-quoi-phuong-binh-tri-dong/co-hoi-so-huu-ngoi-mat-tien-hem-285-doc-dao-dang-cho-don-ban-lh-ngay-pr39900094,65.0,1,0,0
47,39472939,100.0,6400.0,,,,5 m,0,1,106.6163427,10.7320975,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-tu-toan-phuong-an-lac-6/ban-2-mat-tien-100m2-hem-27-toan-pr39472939,65.0,1,1,0
57,39957311,64.0,5580.0,2.0,2.0,2.0,,1,1,106.5736745,10.7925233,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-phuong-binh-hung-hoa-a/cn-bn-gp-mt-tien-so-63-so-6-p-q-tn-dt4-16-duc-1-tret-1-lu-pr39957311,65.0,0,0,0
58,39889291,56.0,5450.0,3.0,4.0,5.0,4 m,1,1,106.6189401,10.764592,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-hoa-dong-phuong-binh-tri-dong/ban-hem-xe-hoi-4-14m-2-sec-5ty450-pr39889291,65.0,1,1,0
70,39937199,80.0,,4.0,5.0,5.0,4 m,1,1,106.5982405,10.7797958,https://batdongsan.com.vn/ban-nha-rieng-duong-18b-phuong-binh-hung-hoa-a/hem-nhua-8m-khu-phan-lo-80m-4-tang-chac-chan-nhinh-6-ty-tan-giap-tan-phu-le-van-quoi-pr39937199,65.0,0,0,0
121,39946006,64.0,5600.0,2.0,3.0,3.0,,0,1,106.6125848,10.7582535,https://batdongsan.com.vn/ban-nha-rieng-duong-tinh-lo-10-phuong-binh-tri-dong-b/ban-hem-621-10-tan-dien-tich-4m-x-15m-gia-5-6-ty-pr39946006,65.0,1,0,0
122,39945650,46.2,4200.0,2.0,,,,1,1,106.6087687,10.7963609,https://batdongsan.com.vn/ban-nha-rieng-duong-8-2-phuong-binh-hung-hoa/-ngay-aeon-tan-phu-so-dep-a4-k-lo-gioi-4x12m-nhich-4-ty-pr39945650,65.0,0,0,0
133,39262447,212.0,11500.0,,,,"7,55 m",0,0,106.605103117003,10.8057617958635,https://batdongsan.com.vn/ban-nha-rieng-phuong-binh-hung-hoa/di-dinh-cu-ban-nhanh-day-tro-thu-nhap-29tr-th-pr39262447,65.0,0,0,0
138,39395447,66.0,6000.0,4.0,5.0,5.0,"4,4 m",1,1,106.617547071997,10.7735282591523,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-quoi-phuong-binh-tri-dong/ban-giap-tan-phu-xay-dung-kien-co-4-4m-x-15m-gara-o-to-trong-nhua-7m-pr39395447,65.0,1,0,0
147,38382254,36.0,2550.0,3.0,4.0,3.0,4 m,1,1,106.5997766,10.7804115,https://batdongsan.com.vn/ban-nha-rieng-duong-ma-lo-phuong-binh-hung-hoa-a/ban-gap-1-ngay-tan-gia-2-ty-550-tl-shr-cong-chung-sang-ten-ngay-trong-ngay-pr38382254,65.0,1,0,0
149,39936710,90.0,8900.0,4.0,9.0,10.0,,1,1,106.6183459,10.7299461,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-quy-yem-phuong-an-lac-6/ban-dang-kinh-doanh-can-ho-dich-vu-pr39936710,65.0,0,0,0
153,39937707,78.6,,5.0,4.0,3.0,4 m,1,1,106.6119678,10.7226688,https://batdongsan.com.vn/ban-nha-rieng-duong-vo-van-kiet-phuong-an-lac-6/5-tang-4x20-binh-tan-hem-6m-5-25-ty-pr39937707,65.0,0,0,0
156,39772642,60.0,6800.0,5.0,4.0,5.0,4 m,1,1,106.6108796,10.7762036,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-quoi-phuong-binh-hung-hoa-a/-moi-4m-x-15m-tret-lung-3-lau-hem-nhua-8m-khu-dong-bo-q-tan-pr39772642,65.0,0,0,0
160,39935954,52.0,5100.0,2.0,2.0,2.0,"4,4 m",1,1,106.6206602,10.7505866,https://batdongsan.com.vn/ban-nha-rieng-duong-so-4-phuong-an-lac-a/-4-ten-lua-52m2-2-tang-gia-5-1-ty-pr39935954,65.0,0,0,0
168,39407420,90.2,7950.0,2.0,3.0,3.0,,0,1,106.6131523,10.7348052,https://batdongsan.com.vn/ban-nha-rieng-duong-kinh-duong-vuong-phuong-binh-tri-dong-b/ban-gap-hem-xe-tai-tan-dt-4x23m-so-hong-gia-7-95-ty-tl-pr39407420,65.0,1,1,0
196,39542255,64.0,5500.0,4.0,5.0,5.0,4 m,1,1,106.5905848,10.7936373,https://batdongsan.com.vn/ban-nha-rieng-duong-so-6-phuong-binh-hung-hoa-b/ban-gap-4-tam-4-x-16-gia-5-5-ty-6-hem-8m-o-to-vao-pr39542255,65.0,0,0,1
218,39850142,96.0,7800.0,2.0,,,6 m,0,1,106.610647957376,10.7450740444032,https://batdongsan.com.vn/ban-nha-rieng-phuong-binh-tri-dong-b/an-2-can-mtn-khu-ten-lua-quan-tan-6x16m-tret-lau-gia-7ty8-pr39850142,65.0,0,0,0
250,39901679,64.0,5950.0,4.0,4.0,5.0,4 m,1,1,106.6003259,10.7664092,https://batdongsan.com.vn/ban-nha-rieng-duong-huong-lo-2-phuong-binh-tri-dong-a/ban-hem-xe-hoi-4-16m-5ty950-2-sec-2-pr39901679,65.0,1,1,0
252,39819416,64.0,6200.0,4.0,4.0,5.0,,1,1,106.5990165,10.7595825,https://batdongsan.com.vn/ban-nha-rieng-duong-le-dinh-can-phuong-tan-tao/ban-so-hong-chinh-chu-4m-x-16m-duc-1-lung-3-lau-san-thuong-hem-rong-6m-thong-4-phong-ngu-pr39819416,65.0,1,0,0
253,39900807,46.0,4500.0,,1.0,1.0,,0,1,106.6087687,10.7963609,https://batdongsan.com.vn/ban-nha-rieng-duong-8-2-phuong-binh-hung-hoa/chinh-chu-ban-46m2-4x12-hem-xe-tai-thong-pr39900807,65.0,1,0,0
284,39767063,64.0,5200.0,3.0,,,,0,0,106.599483,10.7405673,https://batdongsan.com.vn/ban-nha-rieng-duong-1a-3-phuong-an-lac-a/-ban-chinh-chu-gan-aeon-ten-lua-4x16m-3-tam-hem-xe-hoi-moi-pr39767063,65.0,0,0,0
285,39779803,180.0,7500.0,,,,,0,0,106.5859814,10.7569599,https://batdongsan.com.vn/ban-nha-rieng-duong-tinh-lo-10-phuong-tan-tao/-hem-xe-tai-kinh-doanh-buon-ban-6x30-10-gia-sieu-re-pr39779803,65.0,0,0,0
313,39957561,60.0,,4.0,4.0,5.0,,1,1,106.6120362868187,10.726479319100706,https://batdongsan.com.vn/ban-nha-rieng-phuong-an-lac-6/b-kdc-ly-chieu-hog-g-kinh-duong-vuong-sat-ben-qu-6-duong-vuong-pr39957561,65.0,1,1,0
316,39836898,65.0,7300.0,4.0,5.0,5.0,,1,1,106.6035551,10.7833479,https://batdongsan.com.vn/ban-nha-rieng-duong-go-xoai-phuong-binh-hung-hoa-a/-65m2-moi-4-lau-hem-xe-tai-quay-dau-khu-van-minh-pr39836898,65.0,1,0,0
339,39957216,24.0,1500.0,,,,3 m,0,0,106.60680498023032,10.81183467793176,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-binh-hung-hoa/chinh-chu-ban-vb-3x8-vi-tri-cuc-dep-cau-bung-hcm-pr39957216,65.0,0,0,0
406,39944022,42.0,4000.0,3.0,3.0,3.0,,0,0,106.6123114,10.7761421,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-quoi-phuong-binh-tri-dong/ban-hem-oto-do-cua-42m2-3-tang-ngay-canh-nga-tu-4-xa-gai-4-ty-pr39944022,65.0,0,0,0
452,39863781,50.0,4800.0,4.0,4.0,3.0,4 m,0,1,106.6135907,10.761891,https://batdongsan.com.vn/ban-nha-rieng-duong-chien-luoc-phuong-binh-tri-dong/ket-tien-ban-lo-200-trieu-4-tang-50m2-moi-dep-hxh-thong-tai-tan-gia-4-8-ty-pr39863781,65.0,0,0,0
477,39788374,48.0,3350.0,2.0,2.0,2.0,,1,1,106.5990165,10.7595825,https://batdongsan.com.vn/ban-nha-rieng-duong-le-dinh-can-phuong-tan-tao-a/ban-4x12-3ty350-thuong-luong-2-tang-hem-oto-binh-tan-pr39788374,65.0,0,0,0
