Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
144,39939593,36.0,2850.0,3.0,4.0,3.0,6 m,1,1,106.75349084603268,10.67943877328105,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/chinh-chu-ban-pho-dtsd-90m2-tai-be-gom-4-pn-3-wc-san-thuong-truoc-sau-pr39939593,76.0,0,0,0
159,39935991,87.0,4950.0,4.0,,,,0,1,106.7034198,10.6782274,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-binh-xa-nhon-duc/ban-lien-ke-h-be-moi-100-lh-pr39935991,76.0,0,0,0
163,39931775,50.0,6400.0,3.0,4.0,5.0,4 m,0,0,106.7502037,10.6847437,https://batdongsan.com.vn/ban-nha-rieng-duong-dao-tong-nguyen-thi-tran-nha-be/-chinh-chu-ban-pho-hien-dai-full-noi-that-khu-dan-cu-dong-bo-the-sun-be-pr39931775,76.0,0,0,0
165,39935294,42.0,2000.0,1.0,2.0,1.0,3 m,1,0,106.6984646,10.6752073,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/-mat-tien-hem-xe-hoi-42m2-chinh-chu-pr39935294,76.0,0,0,0
181,39930305,21.0,1280.0,2.0,2.0,2.0,3 m,1,0,106.7533621,10.6784161,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/-so-dsh-mat-tien-hem-cach-chi-60m-o-2855-be-pr39930305,76.0,0,0,0
232,39912005,80.0,5400.0,4.0,4.0,5.0,8 m,0,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/re-qua-4-tang-goc-hem-7-m-xe-hoi-tranh-u-100-m-ra-htp-tt-nb-8-10-pr39912005,76.0,0,0,0
235,39911382,39.0,2950.0,2.0,3.0,2.0,,0,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/ban-hem-2020-trong-dep-vao-o-ngay-3-phong-ngu-pr39911382,76.0,0,0,0
237,39911511,30.0,1550.0,3.0,2.0,3.0,3 m,0,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/ban-1-tret-2-lau-san-thuong-3x10-pr39911511,76.0,0,0,0
279,38730977,21.0,850.0,2.0,2.0,2.0,3 m,0,0,106.6984646,10.6752073,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/-dep-gia-re-khu-dan-cu-dsh-tret-lau-2-pn-2-wc-va-giao-so-pr38730977,76.0,1,0,0
334,39957238,92.5,4900.0,,,,,0,0,106.7533621,10.6784161,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/-be-4-9-ty-92-5m2-xe-hoi-ngu-trong-hem-xe-hoi-tranh-u-moi-3pn-pr39957238,76.0,0,0,0
439,39767599,87.0,5300.0,3.0,3.0,3.0,5 m,0,1,106.7034198,10.6782274,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-binh-xa-nhon-duc/-pho-be-ban-ngop-pr39767599,76.0,0,0,0
505,39509506,50.0,3100.0,,2.0,,,1,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/-dep-so-dep-gan-hem-xe-hoi-50m2-khong-lo-gioi-chi-hon-3ty-pr39509506,76.0,0,0,0
529,39956928,50.0,2950.0,1.0,2.0,1.0,6 m,0,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/ban-50m2-tai-2pn-pr39956928,76.0,0,0,0
538,39824309,25.9,1690.0,3.0,2.0,2.0,"3,7 m",1,1,106.7398594,10.6750683,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-binh-xa-phu-xuan/ban-dts-75m2-3-tang-be-pr39824309,76.0,0,0,0
641,39956670,18.0,990.0,,,,3 m,0,0,106.7037592,10.7035432,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-phuoc-kieng/990tr-da-co-xinh-hem-xe-hoi-thong-kdc-kien-dang-cho-thue-3tr-th-pr39956670,76.0,1,0,0
926,39211267,58.5,6850.0,4.0,4.0,5.0,,1,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/-dep-hien-dai-xe-hoi-day-du-noi-that-gia-6-85-ty-4x15m-phuc-pr39211267,76.0,1,1,0
927,37202177,100.0,6900.0,3.0,4.0,5.0,,1,1,106.7533621,10.6784161,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-xa-phu-xuan/-pho-hien-dai-day-du-noi-that-hem-xe-hoi-2534-be-gia-7-9-ty-5x20m-pr37202177,76.0,0,0,0
928,35818525,50.0,5700.0,3.0,4.0,5.0,4 m,0,1,106.749740600586,10.6843194961548,https://batdongsan.com.vn/ban-nha-rieng-duong-dao-tong-nguyen-thi-tran-nha-be-prj-the-sun-residence/ban-pho-khu-dan-cu-huynh-tan-phat-4x13m-0901687978-phuc-pr35818525,76.0,0,0,0
966,39956212,61.0,3550.0,2.0,3.0,2.0,4 m,1,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/ban-cach-q7-phu-my-hung-800m-61m2-2g-gia-chi-3ty55-pr39956212,76.0,0,0,0
1058,39918936,32.0,2490.0,2.0,1.0,1.0,,1,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/ban-biet-hem-1716-be-pr39918936,76.0,0,0,0
1115,39134177,54.6,5100.0,4.0,4.0,3.0,"4,2 m",1,1,106.740852,10.692858,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/-ban-hxh-55m-4-g-gia-5ty100tr-pr39134177,76.0,0,0,0
1474,39920044,80.0,6380.0,3.0,4.0,4.0,,1,1,106.7037592,10.7035432,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-xa-phuoc-kieng/ban-kien-be-5x16m-3-lau-san-thuong-pr39920044,76.0,1,0,0
