Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
5,39829392,60.0,4090.0,3.0,4.0,3.0,"4,8 m",1,1,106.6762337,10.7975236,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trong-tuyen-phuong-8-13/-chinh-chu-hxh-200-x-phu-nhuan-4-8-x-12-5-60m2-vuong-vuc-gia-chi-4ty090-pr39829392,68.0,0,1,0
10,39956229,36.0,6600.0,4.0,4.0,5.0,4 m,1,1,106.678453,10.8075821,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-kiem-phuong-4-19/tuyet-pham-3-lau-thiet-ke-seoul-han-quoc-hem-dep-oto-do-cach-10m-khu-dan-cu-cao-cap-kiem-pr39956229,68.0,1,1,0
15,39952816,72.0,3150.0,2.0,4.0,4.0,,1,1,106.6758672,10.8068686,https://batdongsan.com.vn/ban-nha-rieng-duong-dao-duy-anh-phuong-9-12/-re-can-ban-p-9-phu-nhuan-dt-72m2-gia-3-ty-150tr-thue-18-thang-so-rieng-pr39952816,68.0,0,0,0
35,39524845,31.9,6000.0,2.0,2.0,3.0,"3,5 m",0,1,106.6876137,10.7987042,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-xich-long-phuong-2-21/dinh-cu-my-ban-hem-tam-huyet-thiet-ke-hien-dai-kieu-chau-au-ngay-sau-lung-benh-vien-hoan-my-pr39524845,68.0,1,1,0
41,39914657,54.6,,,,,,1,1,106.6811621,10.7971927,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-dinh-phung-phuong-1-22/ban-hem-xe-hoi-quan-phu-nhuan-gia-chi-4ty300-pr39914657,68.0,1,0,0
50,39896715,90.2,38000.0,,,,"7,8 m",0,1,106.6755183,10.7955442,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-dinh-chinh-phuong-11-9/ban-7-tang-145-12a-p11-phu-nhuan-dt-7-8x-12m-gia-38-ty-lh-pr39896715,68.0,0,0,1
52,39894061,50.0,13500.0,4.0,6.0,3.0,"4,05 m",1,1,106.6821309,10.8054707,https://batdongsan.com.vn/ban-nha-rieng-duong-thich-quang-duc-phuong-5-16/ban-hxh-chinh-chu-tai-5-phu-nhuan-pr39894061,68.0,1,1,0
64,39890952,80.0,2090.0,3.0,4.0,5.0,5 m,0,1,106.683299,10.7947453,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-dinh-phung-phuong-2-21/-gia-2t090-80m2-phu-nhuan-shr-sang-ten-cong-chung-trong-ngay-thuong-luong-pr39890952,68.0,1,1,0
73,39953635,72.0,2790.0,4.0,3.0,4.0,,0,1,106.6784853,10.8066653,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-kiem-phuong-9-12/-dep-gia-re-dt-72m2-p9-phu-nhuan-gia-2-ty-790-so-dang-cho-thue-22tr-thang-pr39953635,68.0,0,0,0
86,39753701,54.0,4950.0,3.0,3.0,3.0,"4,5 m",1,1,106.6820352,10.7986726,https://batdongsan.com.vn/ban-nha-rieng-duong-doan-thi-diem-phuong-1-22/toi-ban-can-q-phu-nhuan-54m2-gia-4-290-ty-dang-cho-thue-22tr-pr39753701,68.0,0,0,0
