Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
18,39819468,85.0,,3.0,5.0,5.0,5 m,1,1,106.6391373,10.7756665,https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-viet-phuong-phu-trung/gia-giam-manh-85m2-2ty470-ngay-p-q-tan-cho-thue-18tr-thang-pr39819468,70.0,1,0,0
42,39912223,105.0,10800.0,1.0,,,,1,1,106.6313575,10.7880026,https://batdongsan.com.vn/ban-nha-rieng-duong-vuon-lai-phuong-tan-thanh/ban-170-6-105m2-hai-so-hxh-8m-pr39912223,70.0,0,0,0
65,39947975,57.0,4850.0,2.0,2.0,2.0,4 m,1,1,106.6241408,10.8118881,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-huu-tien-phuong-tay-thanh/-tan-phu-re-qua-no-hau-4-1-x-15-1lau-duc-hxh-gan-truong-dh-cong-thuong-chi-hon-4-ty-pr39947975,70.0,1,0,0
87,39951590,56.0,6050.0,4.0,3.0,3.0,"4,2 m",1,1,106.6220118,10.7958177,https://batdongsan.com.vn/ban-nha-rieng-duong-go-dau-phuong-tan-quy-2/ha-gia-chao-ban-nh-hem-xe-hoi-dt-56m2-btct-4-lau-chi-con-6-05-ty-pr39951590,70.0,0,0,0
105,39947615,64.0,10000.0,,,,,0,0,106.6527012,10.748783,https://batdongsan.com.vn/ban-nha-rieng-duong-chu-van-an-phuong-tan-thanh/toi-can-ban-mat-tien-gia-tot-dt-205m2-chinh-ban-nh-khong-tiep-moi-gioi-pr39947615,70.0,1,0,0
123,39674643,41.0,3590.0,2.0,2.0,2.0,"4,1 m",1,1,106.633133276196,10.8067003236926,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-chinh-phuong-tay-thanh/-2-mat-tien-41m2-2-tang-gia-chi-3-49-ty-chu-q-tan-phu-tp-ho-chi-minh-pr39674643,70.0,1,0,0
128,39940948,56.0,5600.0,1.0,4.0,1.0,4 m,1,1,106.629170256849,10.7800406336937,https://batdongsan.com.vn/ban-nha-rieng-phuong-phu-thanh/ban-56m2-hem-102-binh-long-tan-dt-cong-n-56m2-dt-su-dung-150m2-pr39940948,70.0,1,0,0
131,39943084,130.0,20000.0,4.0,6.0,7.0,,0,1,106.6265299,10.7828097,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-son-phuong-phu-thanh/ket-tien-ban-gap-can-biet-thu-8x16-sat-mat-tien-thuong-luong-manh-cho-khach-thien-chi-pr39943084,70.0,0,1,1
134,39942586,95.0,16200.0,7.0,20.0,21.0,5 m,0,0,106.6349355,10.778093,https://batdongsan.com.vn/ban-nha-rieng-duong-luy-ban-bich-phuong-hoa-thanh/ngop-14-ty-ks-mat-tien-7-tang-95m2-20-phong-dong-tien-tren-100tr-nhinh-16-ty-tl-pr39942586,70.0,0,0,1
139,38200611,176.0,15000.0,1.0,4.0,4.0,,0,1,106.6391373,10.7756665,https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-viet-phuong-phu-trung/ban-213-126-tan-phu-pr38200611,70.0,0,0,0
143,39940589,30.0,3200.0,1.0,2.0,2.0,3 m,1,1,106.6167762,10.8102052,https://batdongsan.com.vn/ban-nha-rieng-duong-t8-phuong-tay-thanh/chinh-chu-ban-3x10-hem-3m-thong-p-quan-tan-phu-pr39940589,70.0,1,0,0
152,39938125,74.0,5500.0,3.0,6.0,6.0,9 m,1,1,106.6323898,10.7641175,https://batdongsan.com.vn/ban-nha-rieng-duong-luy-ban-bich-phuong-tan-thoi-hoa/-sat-mat-tien-phu-ngay-dam-sen-74m2-3-g-hon-5-ty-pr39938125,70.0,1,1,0
188,39928129,48.6,6400.0,4.0,4.0,3.0,6 m,0,1,106.6270781,10.8087638,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-duc-hien-phuong-tay-thanh/ban-hem-o-to-gan-aeon-mall-tan-phu-pr39928129,70.0,1,0,0
210,39922266,73.0,8000.0,4.0,5.0,5.0,4 m,1,1,106.629575,10.7881689,https://batdongsan.com.vn/ban-nha-rieng-duong-vuon-lai-phuong-phu-tho-hoa/hang-hiem-4-tang-btct-hc-day-du-hxt-thong-tan-gan-cho-tan-huong-72-m2-nhinh-8-x-ty-tl-pr39922266,70.0,1,0,0
212,39921071,75.0,11000.0,5.0,6.0,7.0,5 m,1,1,106.628972,10.7777759,https://batdongsan.com.vn/ban-nha-rieng-duong-thoai-ngoc-hau-phuong-phu-thanh/-dep-co-thang-may-nhua-8m-tan-ngay-dam-sen-nga-tu-4-xa-pr39921071,70.0,1,0,1
242,39908713,45.0,5500.0,4.0,4.0,4.0,"3,5 m",0,0,106.6351982,10.7787767,https://batdongsan.com.vn/ban-nha-rieng-duong-luy-ban-bich-phuong-phu-thanh/hem-xe-hoi-1-truc-tan-4-tang-4-phong-ngu-chi-nhinh-5-ty-pr39908713,70.0,0,0,0
266,39896447,58.0,6600.0,4.0,4.0,5.0,,0,0,106.6278946,10.771561,https://batdongsan.com.vn/ban-nha-rieng-duong-hoa-binh-1-phuong-hiep-tan/-moi-giap-dam-sen-4pn-5wc-hem-oto-thong-cac-huong-hoan-cong-du-nhinh-6ty-pr39896447,70.0,0,0,0
271,39894386,20.0,2500.0,3.0,2.0,2.0,4 m,1,1,106.632126,10.7924041,https://batdongsan.com.vn/ban-nha-rieng-duong-doc-lap-phuong-tan-thanh/ban-gap-247-q-phu-gia-2-5-ty-dong-pr39894386,70.0,1,0,0
