Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
19,39206758,60.0,5900.0,3.0,4.0,4.0,"4,2 m",0,0,106.7149495021,10.8285828134255,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-chanh/ngop-banhk-5-can-chu-giam-1ty-khu-va-phuoc-gia-tu-4ty9-pr39206758,71.0,0,0,0
32,39836650,82.9,6100.0,4.0,4.0,5.0,5 m,1,1,106.72193110157473,10.869317384414977,https://batdongsan.com.vn/ban-nha-rieng-duong-so-10-phuong-hiep-binh-phuoc/-moi-xay-3-tang-80m2-hoan-cong-o-to-ngay-ds10-thu-duc-pr39836650,71.0,1,0,0
39,39916999,40.0,3650.0,3.0,4.0,3.0,4 m,1,1,106.6876472,10.8351248,https://batdongsan.com.vn/ban-nha-rieng-duong-20-5-phuong-hiep-binh-chanh/ban-gap-hxh-o-so-20-thu-duc-gia-4ty190-1t-2l-40m2-410-pr39916999,71.0,0,0,0
54,39875838,50.2,7700.0,4.0,4.0,4.0,"4,18 m",1,1,106.7171811,10.8412279,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-chanh/ban-4-lau-1-dtsd-160m2-o-to-shr-bank-70-doi-dien-dh-luat-tho-fatima-trieu-pr39875838,71.0,1,0,0
60,39909900,60.0,6150.0,3.0,4.0,5.0,"4,25 m",1,0,106.7111814,10.8426163,https://batdongsan.com.vn/ban-nha-rieng-duong-10-phuong-hiep-binh-phuoc/chu-ha-gia-ra-gap-can-moi-so-hong-canh-mat-tien-quoc-lo-13-phuoc-pr39909900,71.0,1,0,0
69,39954295,50.0,4800.0,2.0,2.0,2.0,6 m,1,1,106.7621573,10.8442878,https://batdongsan.com.vn/ban-nha-rieng-duong-dang-van-bi-phuong-binh-tho/ban-2-tang-50m2-hoan-cong-4-8-ty-hem-xe-hoi-nh-thu-duc-pr39954295,71.0,0,0,0
88,39951433,142.0,10900.0,,,,,0,0,106.7671202,10.8804384,https://batdongsan.com.vn/ban-nha-rieng-duong-11-1-phuong-binh-chieu/ban-so-11-linh-tp-thu-duc-dt-5x21m-so-hong-10ty9-tl-pr39951433,71.0,0,0,0
104,38092566,72.0,8100.0,4.0,4.0,5.0,"4,5 m",1,1,106.7113537,10.8435578,https://batdongsan.com.vn/ban-nha-rieng-duong-7-phuong-hiep-binh-phuoc/ban-kdc-dong-bo-8m-lien-ke-khu-do-thi-van-phuc-city-thu-duc-pr38092566,71.0,0,0,0
113,39938396,60.0,4700.0,3.0,4.0,,,1,1,106.7621573,10.8442878,https://batdongsan.com.vn/ban-nha-rieng-duong-dang-van-bi-phuong-binh-tho/ban-dep-hxh-nh-thu-duc-6x10m-btct-3-tang-4pn-full-nt-gia-giam-con-4-7ty-tl-pr39938396,71.0,1,1,0
117,39829187,238.0,21000.0,3.0,7.0,6.0,14 m,0,1,106.728235690352,10.8310559745305,https://batdongsan.com.vn/ban-nha-rieng-duong-25-2-phuong-hiep-binh-chanh/ban-chinh-chu-re-t-25-ke-gigamall-pham-van-dong-shr-238m2-21-ty-pr39829187,71.0,1,0,0
145,38826677,60.7,6120.0,3.0,4.0,4.0,,1,1,106.7236048,10.848834,https://batdongsan.com.vn/ban-nha-rieng-duong-so-10-phuong-hiep-binh-phuoc/can-ban-gap-tra-no-truoc-tet-giam-manh-cho-khach-thien-chi-pr38826677,71.0,1,1,0
164,39859389,93.7,8700.0,3.0,3.0,4.0,4 m,1,1,106.752728508598,10.8423260560834,https://batdongsan.com.vn/ban-nha-rieng-duong-11-1-phuong-truong-tho-2/ban-chinh-chu-tai-tho-pr39859389,71.0,1,0,0
173,39932104,75.0,6900.0,2.0,2.0,2.0,5 m,0,0,106.7621573,10.8442878,https://batdongsan.com.vn/ban-nha-rieng-duong-dang-van-bi-phuong-truong-tho-2/-cach-50m-74-8-2-5-15-6-9-ty-thu-duc-pr39932104,71.0,1,0,0
177,39930993,170.0,11000.0,,,,5 m,1,1,106.744064314635,10.8646129121408,https://batdongsan.com.vn/ban-nha-rieng-phuong-tan-phu/ban-ngay-cau-xay-quan-9-cu-thu-duc-tp-ho-chi-minh-pr39930993,71.0,0,0,0
183,39524228,72.5,4300.0,,1.0,2.0,4 m,0,1,106.725143533137,10.8890148564003,https://batdongsan.com.vn/ban-nha-rieng-duong-ngo-chi-quoc-phuong-binh-chieu/ban-cc-84-45-quoc-pr39524228,71.0,1,0,0
193,39744114,144.0,7300.0,2.0,4.0,,8 m,1,1,106.7471673,10.8490277,https://batdongsan.com.vn/ban-nha-rieng-duong-linh-dong-phuong-linh-dong/-ban-2-tang-moi-dt-8x18-m-hem-xe-tai-gan-thu-duc-hon-7-ty-tl-sat-pham-van-pr39744114,71.0,0,0,0
223,39917017,51.0,4000.0,,2.0,2.0,4 m,0,1,106.7470121,10.8436651,https://batdongsan.com.vn/ban-nha-rieng-duong-38-1-phuong-linh-dong/-tret-lung-ngay-pham-van-gan-hai-chau-cho-thu-duc-so-hong-hem-xe-hoi-pr39917017,71.0,0,0,0
227,39914515,82.6,6000.0,3.0,5.0,3.0,"5,2 m",1,1,106.744064314635,10.8646129121408,https://batdongsan.com.vn/ban-nha-rieng-phuong-tang-nhon-phu-a-1/-2-u-oto-vao-5-99-cach-300m-duong-xe-tai-thong-gan-100m2-pr39914515,71.0,1,0,1
239,39910596,257.5,21000.0,3.0,21.0,21.0,9 m,1,1,106.7485007,10.8626681,https://batdongsan.com.vn/ban-nha-rieng-duong-so-4-phuong-tam-phu/thu-nhap-khung-5-3-chdv-moi-dep-3-tang-ngay-cho-ha-uy-ban-khu-pho-p-giam-21ty-pr39910596,71.0,1,0,0
243,39908517,87.3,3600.0,1.0,2.0,1.0,,0,1,106.7412107,10.8554535,https://batdongsan.com.vn/ban-nha-rieng-duong-binh-phu-phuong-tam-phu/ban-cap-4-p-tp-thu-duc-dt-87-3m2-2pn-gia-chi-3-6-ty-lh-pr39908517,71.0,1,0,0
247,39902835,60.0,6120.0,3.0,4.0,4.0,"4,2 m",1,1,106.719954533174,10.8529375048447,https://batdongsan.com.vn/ban-nha-rieng-phuong-hiep-binh-phuoc/-3-lau-ngay-quoc-lo-13-hem-xe-hoi-dt-160m2-6-ty-xxx-pr39902835,71.0,1,0,0
257,39896836,55.9,6200.0,4.0,4.0,5.0,4 m,1,1,106.744064314635,10.8646129121408,https://batdongsan.com.vn/ban-nha-rieng-phuong-hiep-phu-1/dung-mot-can-3-tang-moi-cung-truong-van-thanh-khu-hiem-ban-hxh-do-cua-6-x-ty-pr39896836,71.0,0,0,0
286,39695638,55.0,4350.0,2.0,2.0,3.0,4 m,1,1,106.7304,10.83858,https://batdongsan.com.vn/ban-nha-rieng-duong-49-2-phuong-hiep-binh-chanh/ban-4x14-49-thu-duc-pr39695638,71.0,0,0,0
291,39847622,93.0,8750.0,2.0,4.0,2.0,"8,5 m",0,1,106.7306952,10.8324994,https://batdongsan.com.vn/ban-nha-rieng-duong-26-4-phuong-hiep-binh-chanh/-hem-93-m2-mat-tien-8-5-m-ban-som-thuong-luong-manh-pr39847622,71.0,0,0,0
308,39672790,49.3,1570.0,1.0,2.0,3.0,,0,1,106.7411751,10.8403859,https://batdongsan.com.vn/ban-nha-rieng-duong-kha-van-can-phuong-linh-dong/chu-ket-tien-ban-gap-ld-thu-duc-dt-49-3m2-gia-1-ti-780-tr-pr39672790,71.0,1,0,0
