productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39494379,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-duong-doi-can-phuong-doi-can/-ban-lo-phan-lo-ba-dinh-dt-140m2-mt-7m-gia-28-5-ty-gia-dau-tu-203-5tr-m2-pr39494379,2024-05-10,"27,9 tỷ",140 m²,"199,29 tr/m²",dat-dat-nen,,,HN,2,61
39070284,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-pho-kim-ma-phuong-ngoc-khanh/ban-pham-huy-thong-lo-goc-90-m2-t-tien-9x10-m-o-to-do-cua-so-do-gia-18-8-ty-pr39070284,2024-05-10,"18,5 tỷ",95 m²,"194,74 tr/m²",dat-dat-nen,,,HN,2,66
39758040,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-duong-vinh-phuc-phuong-vinh-phuc/ban-tho-cu-pho-ba-dinh-201m2-mt-10-6m-so-vuong-quy-hoach-on-dinh-pr39758040,2024-05-10,23 tỷ,201 m²,"114,43 tr/m²",dat-dat-nen,,,HN,2,72
39709558,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-duong-doi-can-phuong-cong-vi/oto-vao-nha-goc-3-mat-ban-kem-nha-cap-4-kinh-doanh-tot-pr39709558,2024-05-10,"7,95 tỷ",52 m²,"152,88 tr/m²",dat-dat-nen,,,HN,2,59
38863146,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,2,59
39493981,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-duong-phan-ke-binh-phuong-cong-vi/chinh-chu-ban-mat-pho-75m2-gia-nhinh-22ty-pr38863146,2024-05-10,22 tỷ,75 m²,"293,33 tr/m²",dat-dat-nen,,,HN,2,62
39725723,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-pho-ngoc-khanh-phuong-giang-vo/chuyen-nhuong-13000m-xay-khach-san-van-phong-tai-vo-pr39493981,2024-05-10,2.860 tỷ,13.000 m²,220 tr/m²,dat-dat-nen,,,HN,2,64
39755510,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-duong-phan-ke-binh-phuong-lieu-giai/ban-dao-tan-ba-dinh-mat-ngo-thong-vi-tri-dep-120m2-mt6-8m-pr39725723,2024-05-10,"17,7 tỷ",120 m²,"147,5 tr/m²",dat-dat-nen,,,HN,2,62
39754893,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-pho-giang-vo-phuong-giang-vo/-hiem-ban-manh-sieu-dep-ba-dinh-o-to-tranh-120m2-mat-tien-rong-10m-46-ty-pr39755510,2024-05-10,46 tỷ,120 m²,"383,33 tr/m²",dat-dat-nen,,,HN,2,61
39400506,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p3/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,2,66
