productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
38471202,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-phu-son-7/ban-2-mat-tien-co-nha-cap-4-tt-truong-cong-binh-ba-vi-ha-noi-800m-gia-1-5-ty-pr38471202,2024-05-10,2 tỷ,800 m²,"2,5 tr/m²",dat-dat-nen,,,HN,18,9696
38739617,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-yen-bai/ban-lo-goc-3-mat-tien-360m-view-dong-cuc-thoang-thuoc-gia-chua-den-2-ty-pr38739617,2024-05-10,"1,82 tỷ",360 m²,"5,06 tr/m²",dat-dat-nen,,,HN,18,9716
39426647,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-yen-bai/can-ban-nhanh-5463m2-o-300m-tai-thon-ba-vi-ha-noi-pr39426647,2024-05-10,"18,6 tỷ",5.463 m²,"3,4 tr/m²",dat-dat-nen,,,HN,18,9716
39436813,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-minh-quang/ban-1080m-dep-sieu-re-tai-ba-vi-pr39436813,2024-05-10,"2,1 tỷ",1.080 m²,"1,94 tr/m²",dat-dat-nen,,,HN,18,9681
39340278,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,18,9716
39777304,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-yen-bai/ban-khu-tai-dinh-cu-truong-ban-dong-doi-rat-gan-dai-hoc-qghn-dh-thuy-loi-dh-viet-nhat-pr39340278,2024-05-10,Giá thỏa thuận,87 m²,,dat-dat-nen,,,HN,18,9658
39374482,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-cam-linh-1/tuyet-pham-lo-sieu-dep-gia-tot-tai-ba-vi-pr39777304,2024-05-10,"1,92 tỷ",1.300 m²,"1,48 tr/m²",dat-dat-nen,,,HN,18,9681
39611895,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-minh-quang/sieu-pham-tuyet-dep-tai-ba-vi-dien-tich-3200m-gia-hop-ly-lh-e-chien-pr39374482,2024-05-10,"5,76 tỷ",3.200 m²,"1,8 tr/m²",dat-dat-nen,,,HN,18,9711
39773740,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-duong-dt-91-xa-tien-phong-1/chinh-chu-ban-tai-dong-phon-ba-vi-ha-noi-pr39611895,2024-05-10,"8,35 tỷ",183 m²,"45,63 tr/m²",dat-dat-nen,,,HN,18,9658
39673425,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,18,9672
33169114,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-cam-linh-1/626m2-tho-cu-view-ho-suoi-hai-gia-chi-vai-trieu-m2-lh-pr39773740,2024-05-10,Giá thỏa thuận,624 m²,,dat-dat-nen,,,HN,18,9672
39598667,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-duong-415-xa-khanh-thuong-2/can-ban-326m2-mat-lien-thon-tai-thon-go-dinh-muon-ba-vi-ha-noi-pr39673425,2024-05-10,840 triệu,326 m²,"2,58 tr/m²",dat-dat-nen,,,HN,18,9716
39597368,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-khanh-thuong-2/ban-nhanh-780m2-nghi-duong-view-canh-dong-tai-ba-vi-hn-pr33169114,2024-05-10,"1,5 tỷ",780 m²,"1,92 tr/m²",dat-dat-nen,,,HN,18,9650
38142994,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-yen-bai/can-ban-gap-manh-dep-tai-ba-vi-pr39598667,2024-05-10,Giá thỏa thuận,1.808 m²,,dat-dat-nen,,,HN,18,9713
39204207,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-ba-trai/256m2-o-to-do-cua-tai-vi-chi-hon-800tr-lh-pr39597368,2024-05-10,835 triệu,256 m²,"3,26 tr/m²",dat-dat-nen,,,HN,18,9658
37757824,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-duong-87a-xa-van-hoa-1/can-ban-267m2-mat-di-khoang-nh-van-pr38142994,2024-05-10,"3,2 tỷ",267 m²,"11,98 tr/m²",dat-dat-nen,,,HN,18,9716
39770653,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-cam-linh-1/ban-gap-1ha-trang-trai-tai-ba-vi-gia-chua-toi-500k-m2-pr39204207,2024-05-10,"4,7 tỷ",10.000 m²,470 nghìn/m²,dat-dat-nen,,,HN,18,9716
39528688,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-xa-yen-bai/ban-5000m2-nghi-duong-ba-vi-hn-pr37757824,2024-05-10,Giá thỏa thuận,5.000 m²,,dat-dat-nen,,,HN,18,9650
39449713,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-duong-dt-87-xa-yen-bai/chinh-chu-ban-manh-mat-tinh-lo-87-truc-tan-linh-hon-175m2-gia-2-x-ty-pr39770653,2024-05-10,Giá thỏa thuận,175 m²,,dat-dat-nen,,,HN,18,9681
39626662,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p5/ban-dat-duong-tinh-lo-416-xa-ba-trai/-dep-vuong-van-view-ho-gia-dau-tu-pr39528688,2024-05-10,"2,3 tỷ",1.090 m²,"2,11 tr/m²",dat-dat-nen,,,HN,18,9713
39662568,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p6/ban-dat-duong-87a-xa-yen-bai/-nghi-view-ho-400m-sieu-dep-sieu-pham-pr39662568,2024-05-10,5 tỷ,400 m²,"12,5 tr/m²",dat-dat-nen,,,HN,18,9716
39628657,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p6/ban-dat-xa-yen-bai/ban-lo-sieu-dep-mat-tien-duong-nhua-truc-chinh-lh-ngay-em-cong-sdt-pr39628657,2024-05-10,Giá thỏa thuận,1.110 m²,,dat-dat-nen,,,HN,18,9716
39768153,https://batdongsan.com.vn/ban-dat-dat-nen-ba-vi/p6/ban-dat-duong-87a-xa-minh-quang/ban-lo-tho-cu-dep-nhat-tai-xom-dy-ba-vi-ha-noi-pr39768153,2024-05-10,"18,92 tỷ",8.600 m²,"2,2 tr/m²",dat-dat-nen,,,HN,18,9681
