productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39442349,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-quoc-lo-6-xa-truong-yen-1/ban-re-goc-85-7m-full-tho-6m-thong-o-to-gia-2-25-ty-pr39442349,2024-05-10,"2,25 tỷ","85,7 m²","26,25 tr/m²",dat-dat-nen,,,HN,24,9725
39442317,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-quoc-lo-21a-quoc-lo-21-xa-hoang-van-thu-5/ban-re-120m-full-tho-tai-dinh-cu-my-gia-1-35-ty-tl-pr39442317,2024-05-10,"1,35 tỷ",120 m²,"11,25 tr/m²",dat-dat-nen,,,HN,24,9759
39291624,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-de-moi-xa-thuy-huong-1/675tr-40m2-giap-to-18-dong-mai-ha-dong-gan-cao-toc-ha-noi-xuan-mai-o-to-do-bx-yen-nghia-7-5km-pr39291624,2024-05-10,850 tỷ,30 m²,"28,33 tỷ/m²",dat-dat-nen,,,HN,24,9734
39257879,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-lien-xa-xa-phung-chau/47m2-full-tho-cu-gan-dh-su-pham-the-thao-hn-uy-ban-gia-chi-1-1ty-pr39257879,2024-05-10,"1,23 tỷ",47 m²,"26,17 tr/m²",dat-dat-nen,,,HN,24,9719
38356883,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,24,9719
39795914,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-6-4-xa-phung-chau/43m2-full-tho-cu-ngo-thong-o-to-qua-doi-dien-truong-dh-su-pham-the-duc-the-thao-ha-noi-pr38356883,2024-05-10,"1,79 tỷ",45 m²,"39,78 tr/m²",dat-dat-nen,,,HN,24,9717
39689936,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-thi-tran-chuc-son/100m-mat-duong-kinh-doanh-ninh-tt-pr39795914,2024-05-10,8 tỷ,100 m²,80 tr/m²,dat-dat-nen,,,HN,24,9728
39795470,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-6-4-xa-thuy-xuan-tien/ac-quan-tam-lh-e-hoac-qua-zalo-pr39689936,2024-05-10,3 tỷ,83 m²,"36,15 tr/m²",dat-dat-nen,,,HN,24,9724
39673604,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-xa-phu-nghia-1/ban-chinh-chu-can-tien-mua-o-to-ban-nhanh-pr39795470,2024-05-10,"2,01 tỷ",242 m²,"8,3 tr/m²",dat-dat-nen,,,HN,24,9741
39725339,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-xa-tan-tien-16/qua-re-lam-luon-578m2-ha-noi-nhinh-1-ty-sdcc-gdich-ngay-voi-cc-pr39673604,2024-05-10,"1,55 tỷ",578 m²,"2,68 tr/m²",dat-dat-nen,,,HN,24,9755
39795208,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-xa-nam-phuong-tien/cc-e-can-ban-186m-full-tho-cu-phan-duoc-3-lo-duong-4m-ban-gap-trong-ngay-pr39725339,2024-05-10,"1,25 tỷ",186 m²,"6,72 tr/m²",dat-dat-nen,,,HN,24,9803
39793499,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-xa-tran-phu-8/120m2-mat-tien-6m-fun-tho-cu-canh-quoc-lo-1-4-ty-chuong-my-ha-noi-pr39795208,2024-05-10,"1,4 tỷ",120 m²,"11,67 tr/m²",dat-dat-nen,,,HN,24,9755
39792175,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-xa-nam-phuong-tien/ban-tai-chuong-my-pr39793499,2024-05-10,3 tỷ,168 m²,"17,86 tr/m²",dat-dat-nen,,,HN,24,9755
39791582,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-ho-chi-minh-xa-nam-phuong-tien/ban-1150m2-tai-chuong-my-hn-gia-hon-2tr-m2-gia-re-nhat-thi-truong-pr39792175,2024-05-10,"2,95 tỷ",1.150 m²,"2,56 tr/m²",dat-dat-nen,,,HN,24,9718
39438330,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-xuan-mai-thi-tran-xuan-mai-1/lo-goc-sieu-dep-tai-tt-mai-pr39791582,2024-05-10,"1,9 tỷ",78 m²,"24,36 tr/m²",dat-dat-nen,,,HN,24,9724
39791297,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-6-4-xa-phu-nghia-1/chinh-chu-ban-gap-trong-tuan-tho-cu-huong-tay-nam-pr39438330,2024-05-10,"1,52 tỷ",74 m²,"20,5 tr/m²",dat-dat-nen,,,HN,24,9719
39786318,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-xa-phung-chau/ban-53m-vi-tri-sieu-dep-hai-mat-thoang-truoc-sau-gia-dau-tu-tiem-nang-tang-gia-lon-pr39791297,2024-05-10,"1,95 tỷ",53 m²,"36,79 tr/m²",dat-dat-nen,,,HN,24,9718
39790217,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-tien-truong-thi-tran-xuan-mai-1/ban-lo-265m-chinh-chu-tai-chuong-my-ha-noi-lien-he-em-tu-van-pr39786318,2024-05-10,"2,6 tỷ",265 m²,"9,81 tr/m²",dat-dat-nen,,,HN,24,9719
39451358,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-xa-phung-chau/chinh-chu-gui-ban-lo-phuong-dong-74m-cach-duong-chinh-20m-oto-vao-nha-gia-dau-tu-pr39790217,2024-05-10,"2,29 tỷ",74 m²,31 tr/m²,dat-dat-nen,,,HN,24,9718
39679761,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p7/ban-dat-duong-21-1-thi-tran-xuan-mai-1/chinh-chu-ban-mieng-81m2-khu-tan-mai-pr39451358,2024-05-10,Giá thỏa thuận,81 m²,,dat-dat-nen,,,HN,24,9717
39581292,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-tan-tien-16/ban-dau-gia-quoc-lo-21-chuong-my-ha-noi-pr39581292,2024-05-10,Giá thỏa thuận,77 m²,,dat-dat-nen,,,HN,24,9741
39806931,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-duong-quoc-lo-6-xa-trung-hoa-5/-phan-don-song-bds-kv-ql6-dang-mo-rong-dt-52m2-full-gia-chi-hon-8xxtr-tai-chuong-my-pr39806931,2024-05-10,Giá thỏa thuận,"52,5 m²",,dat-dat-nen,,,HN,24,9730
39635032,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-duong-21a-xa-nam-phuong-tien/ban-dep-gia-thap-nhat-khu-vuc-hien-tai-pr39635032,2024-05-10,"6,74 tỷ",1.773 m²,"3,8 tr/m²",dat-dat-nen,,,HN,24,9755
39683981,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-duong-tien-truong-xa-tien-phuong/ban-nha-tho-cu-tren-nui-chuong-my-hn-950m2-mt40m-oto-tranh-phong-thuy-dac-dia-pr39683981,2024-05-10,"7,68 tỷ",960 m²,8 tr/m²,dat-dat-nen,,,HN,24,9720
39745126,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,24,9719
39806039,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-phung-chau/ban-lo-goc-hoa-hau-chan-dai-chau-pr39745126,2024-05-10,"1,71 tỷ",57 m²,30 tr/m²,dat-dat-nen,,,HN,24,9719
36985862,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-phung-chau/64m-mat-tien-5m-truc-chinh-thong-chi-hon-2-ty-chuong-my-pr39806039,2024-05-10,"2,56 tỷ",64 m²,40 tr/m²,dat-dat-nen,,,HN,24,9755
39728971,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-nam-phuong-tien/can-ban-1249m2-co-300tc-tai-hanh-con-chuong-my-ha-noi-pr36985862,2024-05-10,"3,8 tỷ",1.249 m²,"3,04 tr/m²",dat-dat-nen,,,HN,24,9759
39605694,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-hoang-van-thu-5/ban-nhanh-lo-dep-138m2-o-chuong-my-pr39728971,2024-05-10,Giá thỏa thuận,138 m²,,dat-dat-nen,,,HN,24,9755
39728911,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,24,9755
39729090,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-duong-quoc-lo-21a-quoc-lo-21-xa-nam-phuong-tien/ban-chinh-chu-tai-chuong-my-ha-noi-gia-yeu-thuong-pr39605694,2024-05-10,Giá thỏa thuận,726 m²,,dat-dat-nen,,,HN,24,9728
39642459,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-nam-phuong-tien/chinh-chu-can-ban-gap-lo-dep-tai-chuong-my-san-so-giao-dich-ngay-pr39728911,2024-05-10,Giá thỏa thuận,1.496 m²,,dat-dat-nen,,,HN,24,9741
39773540,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-thuy-xuan-tien/chinh-chu-gui-ban-lo-vi-tri-go-cao-chuong-my-hn-pr39729090,2024-05-10,Giá thỏa thuận,330 m²,,dat-dat-nen,,,HN,24,9741
39773488,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-tan-tien-16/banh-nhanh-lo-166m2-tai-chuong-my-vi-tri-dep-kinh-doanh-sam-uat-pr39642459,2024-05-10,Giá thỏa thuận,166 m²,,dat-dat-nen,,,HN,24,9755
39764950,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-tan-tien-16/ban-nhanh-lo-sieu-hot-tai-khu-kien-truc-chuong-my-pr39773540,2024-05-10,Giá thỏa thuận,91 m²,,dat-dat-nen,,,HN,24,9726
39805458,https://batdongsan.com.vn/ban-dat-dat-nen-chuong-my/p4/ban-dat-xa-nam-phuong-tien/ban-huyen-chuong-my-cuc-dep-dt-655m2-pr39773488,2024-05-10,Giá thỏa thuận,655 m²,,dat-dat-nen,,,HN,24,9755
