productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39766266,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-duong-go-meo-thi-tran-phung/ban-58-4-m2-dau-gia-khu-mo-tan-dan-phuong-pr39766266,2024-05-10,"4,73 tỷ","58,4 m²",81 tr/m²,dat-dat-nen,,,HN,20,9851
39399383,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-duong-dong-ong-xa-dan-phuong-1/chinh-chu-can-ban-phan-lo-phu-gan-truc-tay-thang-l-pr39399383,2024-05-10,Giá thỏa thuận,58 m²,,dat-dat-nen,,,HN,20,9852
38738152,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-xa-lien-ha-1/chinh-chu-can-ban-dau-gia-o-goc-duong-truc-dan-hoai-he-pr38738152,2024-05-10,Giá thỏa thuận,"75,5 m²",,dat-dat-nen,,,HN,20,9856
39399478,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-duong-tay-thang-long-xa-ha-mo/chinh-chu-can-ban-tho-cu-trung-tam-gan-khu-dau-gia-i-pr39399478,2024-05-10,Giá thỏa thuận,41 m²,,dat-dat-nen,,,HN,20,9854
39764739,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,20,9879
39763896,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-nen-du-an-xa-tan-lap-24-prj-khu-nha-o-xa-tan-lap-cienco-5/can-ban-lo-lien-ke-b13-12-5-dan-phuong-dt-pr39764739,2024-05-10,Giá thỏa thuận,72 m²,,dat-dat-nen,,,HN,20,9879
39763330,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-nen-du-an-duong-quoc-lo-32-xa-tan-lap-24-prj-khu-do-thi-moi-tan-tay-do/ban-goc-dich-vu-58m-gia-9x-trieu-m-lien-he-pr39763896,2024-05-10,Giá thỏa thuận,58 m²,,dat-dat-nen,,,HN,20,9897
37395886,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-duong-thuong-mo-xa-thuong-mo/can-tien-ban-gap-manh-truc-chinh-dien-tich-61-7m-pr39763330,2024-05-10,"2,19 tỷ","61,7 m²","35,5 tr/m²",dat-dat-nen,,,HN,20,9869
39227646,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-xa-song-phuong/-ban-67-m-phan-lo-cay-sung-4-trung-tam-thi-tran-phung-dan-gia-6x-trieu-m-mt-5m-pr37395886,2024-05-10,Giá thỏa thuận,71 m²,,dat-dat-nen,,,HN,20,9851
39636112,https://batdongsan.com.vn/ban-dat-dat-nen-dan-phuong/p5/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,20,9865
