productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39677965,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-5-xa-vong-la/chinh-chu-a-minh-can-ban-74-6m-truc-chinh-kinh-doanh-gia-64tr-kim-chung-da-hn-pr39677965,2024-05-10,"4,92 tỷ","74,6 m²",66 tr/m²,dat-dat-nen,,,HN,10,9951
39572456,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-5-xa-dai-mach/52m-mt-4-6-hau-4-6-kho-qua-dep-3-5m-oto-7-cho-do-cua-gia-2-2-ti-da-hn-pr39572456,2024-05-10,"2,2 tỷ",52 m²,"42,31 tr/m²",dat-dat-nen,,,HN,10,9927
39692495,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-5-xa-kim-chung/chi-minh-nho-ban-480m-tho-cu-mt-14m-x34m-dai-cho-thue-kinh-doanh-nhieu-hinh-thuc-da-hn-pr39692495,2024-05-10,Giá thỏa thuận,480 m²,,dat-dat-nen,,,HN,10,9937
38988158,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-5-xa-kim-chung/61m-kinh-doanh-dep-nhat-truc-chinh-sam-wat-dt-nho-sinh-rat-hiem-da-hn-pr38988158,2024-05-10,Giá thỏa thuận,61 m²,,dat-dat-nen,,,HN,10,9937
39698404,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,10,9937
39811778,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-xa-kim-chung/cuc-hiem-65m-tho-cu-truc-chinh-cho-gia-4ty-x-truc-kinh-doanh-sam-wat-hiem-nguoi-ban-da-hn-pr39698404,2024-05-10,Giá thỏa thuận,65 m²,,dat-dat-nen,,,HN,10,9942
39698659,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-tang-mi-xa-nam-hong-3/chinh-chu-ban-80m-tho-cu-100-thon-my-pr39811778,2024-05-10,"3,67 tỷ",80 m²,"45,9 tr/m²",dat-dat-nen,,,HN,10,9927
39811816,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-5-xa-dai-mach/cuc-hiem-64m-tho-cu-truc-chinh-cho-gia-4ty-x-truc-kinh-doanh-sam-wat-hiem-nguoi-ban-da-hn-pr39698659,2024-05-10,Giá thỏa thuận,64 m²,,dat-dat-nen,,,HN,10,9913
39779635,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-bac-hong-xa-bac-hong-1/ban-45-5m2-ngo-t-5m-2mat-thoang-gia-dau-tu-so-voi-cac-lo-canh-do-pr39811816,2024-05-10,"2,1 tỷ","45,5 m²","46,15 tr/m²",dat-dat-nen,,,HN,10,9954
39811516,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,10,9949
39811470,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-xa-xuan-canh-1/can-ban-gap-nong-nghiep-lien-ke-khu-do-thi-vin-co-loa-pr39779635,2024-05-10,Giá thỏa thuận,2.000 m²,,dat-dat-nen,,,HN,10,9913
39811786,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-van-tri-xa-van-noi/sieu-pham-lo-73m-mt4m-mat-ngo-rong-dep-nhat-oto-tranh-nhau-gia-yeu-nhat-khu-vuc-pr39811516,2024-05-10,"3,5 tỷ",73 m²,"47,94 tr/m²",dat-dat-nen,,,HN,10,9941
39811780,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-duong-bac-ha-xa-bac-hong-1/-ban-75m-thuy-dong-anh-pr39811470,2024-05-10,"3,4 tỷ",75 m²,"45,33 tr/m²",dat-dat-nen,,,HN,10,9941
39629937,https://batdongsan.com.vn/ban-dat-dat-nen-dong-anh/p6/ban-dat-xa-mai-lam/ban-tai-dinh-cu-hien-dong-anh-ha-noi-pr39811786,2024-05-10,"5,43 tỷ",56 m²,97 tr/m²,dat-dat-nen,,,HN,10,9943
