productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39789532,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-pho-kham-thien-phuong-tho-quan/gia-dinh-toi-can-ban-manh-103m-3-thoang-o-dong-da-phu-hop-xay-vua-o-vua-cho-thue-pr39789532,2024-05-10,10 tỷ,103 m²,"97,09 tr/m²",dat-dat-nen,,,HN,3,35
39489349,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-duong-ton-that-tung-phuong-khuong-thuong/ban-80m2-pho-kinh-doanh-dinh-15m-ra-pho-via-he-o-to-tranh-gia-10-9-ty-pr39489349,2024-05-10,"10,9 tỷ",80 m²,"136,25 tr/m²",dat-dat-nen,,,HN,3,27
39707221,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-pho-kham-thien-phuong-tho-quan/ban-dep-xay-ccmn-ngo-115m2-gia-15-5-ty-pr39707221,2024-05-10,"15,5 tỷ",115 m²,"134,78 tr/m²",dat-dat-nen,,,HN,3,35
39783869,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-duong-dang-van-ngu-phuong-phuong-lien/ban-dong-da-pho-gan-o-to-tranh-mat-tien-dep-1-ngoat-ra-pho-chinh-pr39783869,2024-05-10,"10,9 tỷ",70 m²,"155,71 tr/m²",dat-dat-nen,,,HN,3,31
39783790,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,3,29
38620137,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-duong-tran-huu-tuoc-phuong-nam-dong/ban-da-pho-50m-ra-mat-pho-ngo-thong-3-gac-do-tan-cua-pr39783790,2024-05-10,"10,9 tỷ",70 m²,"155,71 tr/m²",dat-dat-nen,,,HN,3,26
39780426,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-pho-lang-ha-phuong-lang-ha/ban-67m2-so-do-chinh-chu-vuong-dep-pr38620137,2024-05-10,"8,3 tỷ",67 m²,"123,88 tr/m²",dat-dat-nen,,,HN,3,36
39425452,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-pho-thai-ha-phuong-trung-liet/ban-vang-nga-tu-hoang-cau-yen-lang-110m2-mt-6m-xay-gi-cung-dep-cho-thue-kinh-doanh-tot-pr39780426,2024-05-10,"58,6 tỷ",110 m²,"532,73 tr/m²",dat-dat-nen,,,HN,3,36
39665545,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-pho-chua-boc-phuong-trung-liet/ban-mat-dong-da-150m2-mat-tien-9m-ngay-nga-tu-sam-uat-xay-toa-het-y-pr39425452,2024-05-10,90 tỷ,150 m²,600 tr/m²,dat-dat-nen,,,HN,3,36
39778531,https://batdongsan.com.vn/ban-dat-dat-nen-dong-da/p3/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,3,33
