productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39813231,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-an-thang-phuong-bien-giang/ban-chinh-chu-co-so-do-53m2-pr39813231,2024-05-10,"3,5 tỷ",53 m²,"66,04 tr/m²",dat-dat-nen,,,HN,15,9583
38862089,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-le-trong-tan-phuong-duong-noi/ban-gap-lo-goc-dich-vu-mat-ha-dong-pr38862089,2024-05-10,"12,5 tỷ",50 m²,250 tr/m²,dat-dat-nen,,,HN,15,9579
28934321,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-phuong-duong-noi/can-ban-gap-lo-dich-vu-khu-lk31-dt-50m-gia-3-7-ty-pr28934321,2024-05-10,"6,5 tỷ",50 m²,130 tr/m²,dat-dat-nen,,,HN,15,9579
22975363,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-le-trong-tan-phuong-duong-noi/can-ban-gap-lo-dich-vu-khu-lk31-ha-dong-doi-dien-vuon-hoa-pr22975363,2024-05-10,"8,6 tỷ",50 m²,172 tr/m²,dat-dat-nen,,,HN,15,9579
37820902,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,15,9579
36875375,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-an-phu-phuong-duong-noi/ban-lo-50m2-khu-lk16-17-18ab-mat-truong-quoc-te-gia-7-9-ty-pr37820902,2024-05-10,"8,8 tỷ",50 m²,176 tr/m²,dat-dat-nen,,,HN,15,9555
39814642,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-ha-tri-4-phuong-ha-cau/chinh-chu-can-ban-gap-lo-gan-nga-tu-pho-dong-dt-95m2-mt-7-04m-gia-15-5-ty-pr36875375,2024-05-10,"15,65 tỷ",95 m²,"164,74 tr/m²",dat-dat-nen,,,HN,15,9574
39788758,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-quoc-lo-21b-phuong-phu-luong-3/cc-can-ban-manh-vuong-dep-canh-cay-xang-xom-ha-dong-pr39814642,2024-05-10,"3,15 tỷ","38,2 m²","82,46 tr/m²",dat-dat-nen,,,HN,15,9579
39683552,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-phuong-duong-noi/can-ban-gap-55m2-tho-cu-2-mat-thoang-to-sat-sieu-thi-nhieu-tien-ich-pr39788758,2024-05-10,"4,7 tỷ",55 m²,"85,46 tr/m²",dat-dat-nen,,,HN,15,9555
39814066,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,15,9569
39814187,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-pho-ba-trieu-phuong-ha-cau/canh-sieu-cong-vien-100ha-phan-lo-via-he-duong-15m-lo-duy-nhat-gia-cuc-tot-pr39683552,2024-05-10,"8,29 tỷ",55 m²,"150,73 tr/m²",dat-dat-nen,,,HN,15,9574
39814251,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-da-sy-phuong-kien-hung/can-tien-ban-nhanh-manh-54m2-rong-4-2m-tai-ha-dong-pr39814066,2024-05-10,"3,5 tỷ",54 m²,"64,82 tr/m²",dat-dat-nen,,,HN,15,9579
11084682,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-le-trong-tan-phuong-phu-luong-3/ban-gap-lo-dg-ha-khau-ha-dong-sau-truc-chinh-pr39814187,2024-05-10,"6,37 tỷ","62,5 m²","101,92 tr/m²",dat-dat-nen,,,HN,15,9566
13387744,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-phuong-duong-noi/can-ban-gap-dich-vu-ha-dong-dt-50m-vi-tri-dep-gan-aeonmall-gia-chi-8-ty-pr39814251,2024-05-10,8 tỷ,50 m²,160 tr/m²,dat-dat-nen,,,HN,15,9557
39773994,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-phuong-la-khe/-ban-dich-vu-so-do-chinh-chu-cong-dong-gieng-sen-bo-hoi-pr11084682,2024-05-10,Giá thỏa thuận,50 m²,,dat-dat-nen,,,HN,15,9583
39612330,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-nen-du-an-duong-to-huu-phuong-van-phuc-1/-chuyen-ban-dich-vu-gia-re-so-do-chinh-chu-mua-ban-truc-tiep-chu-nha-pr13387744,2024-05-10,Giá thỏa thuận,50 m²,,dat-dat-nen,,,HN,15,9583
39760487,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-quoc-lo-6-phuong-bien-giang/toi-can-ban-chinh-chu-39m2-o-to-do-tai-ha-dong-gia-1-8-ty-pr39773994,2024-05-10,"1,8 tỷ",39 m²,"46,15 tr/m²",dat-dat-nen,,,HN,15,9583
39701621,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-quoc-lo-6-phuong-bien-giang/cc-can-ban-50m2-20m-ra-o-to-o-ha-dong-gia-1-43-ty-pr39612330,2024-05-10,"1,43 tỷ",50 m²,"28,6 tr/m²",dat-dat-nen,,,HN,15,9561
39767078,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-quoc-lo-6-phuong-bien-giang/chinh-chu-can-ban-35m2-ngo-thong-taxi-qua-o-ha-dong-gia-1-39-ty-pr39760487,2024-05-10,"1,39 tỷ",35 m²,"39,71 tr/m²",dat-dat-nen,,,HN,15,9583
39806000,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p3/ban-dat-duong-xa-la-phuong-phuc-la/cuc-hiem-dich-vu-sat-nga-4-cho-ha-dong-vi-tri-qua-dep-kinh-doanh-dinh-chi-9ty-8-tl-pr39701621,2024-05-10,"9,8 tỷ",50 m²,196 tr/m²,dat-dat-nen,,,HN,15,9586
38678026,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-dat-phuong-yen-nghia-1/cc-ban-lo-dv-khu-b-ha-dong-dt-48-2m-mt4-82m-tay-nam-gia-4-75-ty-lh-pr38678026,2024-05-10,"7,05 tỷ",50 m²,141 tr/m²,dat-dat-nen,,,HN,15,9571
39809244,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-dat-duong-mau-luong-phuong-kien-hung/-phan-lo-mat-pho-60m2-mt5m-via-ve-o-to-ngu-gia-nhinh-11-ty-pr39809244,2024-05-10,Giá thỏa thuận,60 m²,,dat-dat-nen,,,HN,15,9569
39808746,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-dat-duong-quang-trung-phuong-yen-nghia-1/ban-dich-vu-khu-b-nghia-pr39808746,2024-05-10,"6,85 tỷ",50 m²,137 tr/m²,dat-dat-nen,,,HN,15,9571
38867690,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-dat-phuong-phu-lam-1/chinh-chu-gui-ban-manh-lk-ngay-gan-nga-3-bala-hd-kinh-doanh-o-to-tranh-dt50m-mt-4-3-nhinh-5-ty-pr38867690,2024-05-10,Giá thỏa thuận,56 m²,,dat-dat-nen,,,HN,15,9577
38855726,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,15,9571
39809027,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-dat-phuong-yen-nghia-1/chinh-chu-gui-ban-manh-dich-vu-khu-a-ha-dong-kinh-doanh-vi-tri-dac-dia-dt-50m-mt-4-6m-pr38855726,2024-05-10,Giá thỏa thuận,50 m²,,dat-dat-nen,,,HN,15,9564
39808957,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-dat-duong-vu-trong-khanh-phuong-mo-lao/gap-chinh-chu-can-ban-manh-pho-ha-dong-vi-tri-sieu-dep-o-to-7-cho-do-cua-pr39809027,2024-05-10,Giá thỏa thuận,87 m²,,dat-dat-nen,,,HN,15,9577
36857077,https://batdongsan.com.vn/ban-dat-dat-nen-ha-dong/p6/ban-dat-duong-quang-lam-phuong-phu-lam-1/chinh-chu-ban-gap-manh-46m-nam-to-5-ha-dong-pr39808957,2024-05-10,"3,05 tỷ",46 m²,"66,3 tr/m²",dat-dat-nen,,,HN,15,9571
