productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39810387,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-32-thi-tran-tram-troi/hiem-100m-6-5-mt-phan-lo-via-he-oto-tranh-tt-troi-pr39810387,2024-05-10,"7,6 tỷ",100 m²,76 tr/m²,dat-dat-nen,,,HN,21,10007
39810551,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-an-thuong-1/-tho-cu-hoai-duc-ha-noi-pr39810551,2024-05-10,Giá thỏa thuận,56 m²,,dat-dat-nen,,,HN,21,10009
39810425,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-an-khanh-4/-dich-vu-tho-88-8m-mt-7-1m-gia-120tr-m2-lh-pr39810425,2024-05-10,"10,66 tỷ","88,8 m²",120 tr/m²,dat-dat-nen,,,HN,21,10008
39810027,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-vanh-dai-3-5-xa-di-trach/ban-ch-vu-canh-3-5-va-khu-do-thi-hinode-royal-park-pr39810027,2024-05-10,"10,27 tỷ",118 m²,87 tr/m²,dat-dat-nen,,,HN,21,10035
39810538,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-trinh-van-bo-phuong-phuong-canh/ban-dau-gia-70m2-mt-10m-lo-goc-3-mat-thoang-13m-xay-dung-7-tang-so-do-pr39673916?source=ad&adid=2419173,2024-05-10,Giá thỏa thuận,70 m²,,dat-dat-nen,,,HN,21,10065
39810207,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-kim-chung-1/chinh-chu-can-ban-nhanh-lo-ngay-canh-du-an-hinode-royal-park-vuong-van-dep-o-to-do-cua-pr39810538,2024-05-10,"7,6 tỷ",95 m²,80 tr/m²,dat-dat-nen,,,HN,21,10008
39810496,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-an-khanh-4/cc-b-lo-dich-vu-tho-50m-mt-4-l-2-duong-vh-dai-3-5-khu-c-gia-130tr-m-lh-pr39810207,2024-05-10,"6,5 tỷ",50 m²,130 tr/m²,dat-dat-nen,,,HN,21,10035
39249567,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-van-minh-xa-di-trach/ban-phan-lo-o-to-do-cua-o-hoai-duc-pr39810496,2024-05-10,"4,9 tỷ",70 m²,70 tr/m²,dat-dat-nen,,,HN,21,10060
39455762,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-32-xa-duc-thuong/can-ban-o-68m2-oto-hoai-gia-ban-gap-pr39249567,2024-05-10,Giá thỏa thuận,68 m²,,dat-dat-nen,,,HN,21,10099
39165368,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,21,10099
39611812,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-422b-xa-van-canh-1/ban-lo-56m-mat-tien-11m-gia-mem-tai-hoai-duc-tp-ha-noi-lh-em-kien-sdt-pr39455762,2024-05-10,Giá thỏa thuận,56 m²,,dat-dat-nen,,,HN,21,10099
39810472,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-422b-xa-van-canh-1/ban-lo-dep-dt-74m2-mt-4-1m-tren-tai-hoai-duc-hn-lh-em-kien-pr39165368,2024-05-10,Giá thỏa thuận,74 m²,,dat-dat-nen,,,HN,21,10071
39810087,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-422b-xa-van-canh-1/ban-lo-goc-38m2-o-to-vao-gia-3-x-ty-tai-hoai-duc-t-p-ha-noi-lh-pr39611812,2024-05-10,Giá thỏa thuận,38 m²,,dat-dat-nen,,,HN,21,10082
39068643,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-la-phu/ban-nha-hoai-duc-36m2-3-tang-day-du-noi-that-xe-oto-7-cho-qua-nha-pr39810472,2024-05-10,"3,15 tỷ",36 m²,"87,5 tr/m²",dat-dat-nen,,,HN,21,10054
39460112,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-song-phuong-1/chinh-chu-can-ban-trong-cay-lau-nam-tai-hoai-duc-ngay-sat-vanh-dai-4-pr39810087,2024-05-10,"1,6 tỷ",420 m²,"3,8 tr/m²",dat-dat-nen,,,HN,21,10054
39218315,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-la-tinh-xa-dong-la/dau-tu-dau-gia-hoai-duc-hn-vanh-dai-4-sap-xong-roi-dien-tich-60m2-den-65m2-pr39068643,2024-05-10,Giá thỏa thuận,65 m²,,dat-dat-nen,,,HN,21,10054
39129816,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-pho-dong-nhan-xa-dong-la/ban-o-dau-gia-x1-hoai-duc-dien-tich-60-m2-mat-tien-5m-duong-truoc-nha-12m-pr39460112,2024-05-10,Giá thỏa thuận,60 m²,,dat-dat-nen,,,HN,21,10099
39810146,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-duong-la-tinh-xa-dong-la/ban-o-mat-x2-hoai-duc-ha-noi-pr39218315,2024-05-10,Giá thỏa thuận,65 m²,,dat-dat-nen,,,HN,21,10109
39127741,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-van-canh-1/ban-lo-mat-tien-rong-nhat-canh-pr39129816,2024-05-10,Giá thỏa thuận,64 m²,,dat-dat-nen,,,HN,21,10009
39809706,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p7/ban-dat-xa-van-con/can-ban-manh-48m-mat-tien-hau-4m-gia-re-pr39810146,2024-05-10,"1,54 tỷ",48 m²,32 tr/m²,dat-dat-nen,,,HN,21,10060
39539656,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-xa-duc-thuong/ban-dau-gia-dong-duong-riva-re-nhat-huyen-hoai-ha-noi-gia-chi-tu-65tr-pr39539656,2024-05-10,"5,2 tỷ",80 m²,65 tr/m²,dat-dat-nen,,,HN,21,10060
39755716,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-xa-kim-chung-1/ban-60m-mat-tien-4-57-dich-vu-thang-long-9-chung-pr39755716,2024-05-10,Giá thỏa thuận,60 m²,,dat-dat-nen,,,HN,21,10065
39743480,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-xa-duc-thuong/can-tien-ban-gap-35m-full-tho-cu-san-sang-sang-ten-tai-hoai-ha-noi-gia-re-pr39743480,2024-05-10,"1,75 tỷ",35 m²,50 tr/m²,dat-dat-nen,,,HN,21,10060
39816429,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-quoc-lo-32-thi-tran-tram-troi/ban-chinh-chu-dt-65-6m-tai-lh-de-biet-them-thong-tin-pr39816429,2024-05-10,"5,12 tỷ","65,6 m²","77,99 tr/m²",dat-dat-nen,,,HN,21,10007
39811278,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-trinh-van-bo-phuong-phuong-canh/ban-dau-gia-70m2-mt-10m-lo-goc-3-mat-thoang-13m-xay-dung-7-tang-so-do-pr39673916?source=ad&adid=2419173,2024-05-10,Giá thỏa thuận,70 m²,,dat-dat-nen,,,HN,21,10035
39809781,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-xa-di-trach/chinh-chu-ban-lo-48m-tai-hoai-duc-lh-pr39811278,2024-05-10,"6,06 tỷ",48 m²,"126,29 tr/m²",dat-dat-nen,,,HN,21,10009
39601482,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-xa-an-thuong-1/can-tien-ban-gap-92m2-mat-duong-50m-doi-dien-dai-hoc-chinh-sach-gia-dau-tu-pr39809781,2024-05-10,Giá thỏa thuận,92 m²,,dat-dat-nen,,,HN,21,10035
39699364,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-vanh-dai-3-5-xa-di-trach/ban-lo-hoa-hau-dep-nhat-3-5-mat-tien-19-98m-pr39601482,2024-05-10,Giá thỏa thuận,"109,1 m²",,dat-dat-nen,,,HN,21,10007
39411478,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-thi-tran-tram-troi/can-ban-lo-goc-sieu-vip-dich-vu-khu-5-5ha-chung-duong-voi-kdt-lideco-phu-hop-xay-biet-thu-pr39699364,2024-05-10,Giá thỏa thuận,300 m²,,dat-dat-nen,,,HN,21,10009
39796757,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,21,10008
39796684,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-dai-lo-thang-long-xa-an-thuong-1/chinh-chu-c-b-dich-vu-57m2-goc-rong-13m-via-he-3m-huong-dong-pr39411478,2024-05-10,Giá thỏa thuận,57 m²,,dat-dat-nen,,,HN,21,10007
39781018,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-yen-lung-xa-an-khanh-4/ban-52m2-lo-goc-nha-3-tang-dan-xay-nam-2018-o-to-cach-20m-gan-ngay-ho-pr39796757,2024-05-10,"4,4 tỷ",52 m²,"84,62 tr/m²",dat-dat-nen,,,HN,21,10099
39715923,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-32-thi-tran-tram-troi/ban-100m2-phan-lo-via-he-o-to-tranh-m-tien-5m-o-h-duc-chi-6-5ty-pr39796684,2024-05-10,"6,5 tỷ",100 m²,65 tr/m²,dat-dat-nen,,,HN,21,10060
39562192,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-van-canh-xa-van-canh-1/em-ban-lo-sieu-dep-nam-trung-tam-cua-khu-dich-vu-25ha-gan-vuon-hoa-truong-hoc-pr39781018,2024-05-10,Giá thỏa thuận,"63,8 m²",,dat-dat-nen,,,HN,21,10109
39781869,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-duc-thuong-xa-duc-thuong/ban-hoai-lo-goc-6m-cach-80m-ra-ql32-pr39715923,2024-05-10,"4,3 tỷ","55,8 m²","77,06 tr/m²",dat-dat-nen,,,HN,21,10041
39669653,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-dai-lo-thang-long-xa-van-con/chinh-chu-ban-116-m2-tho-cu-o-to-7-cho-vao-nha-tai-moc-hoan-dinh-chia-2-dep-pr39562192,2024-05-10,"5,22 tỷ",116 m²,45 tr/m²,dat-dat-nen,,,HN,21,10099
39779021,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-xa-duong-lieu/ban-360m2-mat-tien-20m-tai-hoai-duc-pr39781869,2024-05-10,"7,5 tỷ",260 m²,"28,85 tr/m²",dat-dat-nen,,,HN,21,10099
38579110,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-xa-van-canh-1/ban-lo-goc-huong-dong-nam-khu-4-5ha-giap-duong-h-dai-3-5-so-do-cc-phu-hop-kinh-doanh-pr39669653,2024-05-10,Giá thỏa thuận,210 m²,,dat-dat-nen,,,HN,21,10007
39100765,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-nen-du-an-duong-an-trai-xa-van-canh-1-prj-khu-do-thi-van-canh/ban-dich-vu-25-2ha-hoai-duc-ha-noi-pr39779021,2024-05-10,7 tỷ,57 m²,"122,81 tr/m²",dat-dat-nen,,,HN,21,10007
39351363,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p1/ban-dat-duong-quoc-lo-32-thi-tran-tram-troi/can-ban-gap-67-7-met-va-73-2-met-khu-dich-vu-lideco-hoai-duc-pr38579110,2024-05-10,Giá thỏa thuận,"140,9 m²",,dat-dat-nen,,,HN,21,10007
39814668,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p4/ban-dat-xa-dong-la/ban-tho-cu-so-do-chinh-chu-40m-o-to-truoc-cach-duong-vanh-dai-4-chi-150m-pr39814668,2024-05-10,"3,05 tỷ",40 m²,"76,25 tr/m²",dat-dat-nen,,,HN,21,10054
29685219,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p4/ban-dat-thi-tran-tram-troi/ban-gap-lo-dich-vu-so-do-65m2-va-84m2-lh-0913380081-pr29685219,2024-05-10,Giá thỏa thuận,84 m²,,dat-dat-nen,,,HN,21,10007
39051117,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p4/ban-dat-duong-quoc-lo-32-thi-tran-tram-troi/can-ban-gap-67-7-met-va-73-2-met-khu-dich-vu-lideco-hoai-duc-pr39051117,2024-05-10,Giá thỏa thuận,"140,9 m²",,dat-dat-nen,,,HN,21,10007
39198708,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p4/ban-dat-thi-tran-tram-troi/ban-gap-lo-dich-vu-so-do-68m2-va-84m2-lh-pr39198708,2024-05-10,Giá thỏa thuận,84 m²,,dat-dat-nen,,,HN,21,10007
39803161,https://batdongsan.com.vn/ban-dat-dat-nen-hoai-duc/p4/ban-dat-duong-trinh-van-bo-phuong-phuong-canh/ban-dau-gia-70m2-mt-10m-lo-goc-3-mat-thoang-13m-xay-dung-7-tang-so-do-pr39673916?source=ad&adid=2419173,2024-05-10,Giá thỏa thuận,70 m²,,dat-dat-nen,,,HN,21,10060
