productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39739642,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-phuong-dong-xuan/ban-gap-mp-pho-co-gan-cho-sat-ho-hoan-kiem-112m-tang-gpxd-khach-san-52-ty-pr39739642,2024-05-10,52 tỷ,112 m²,"464,29 tr/m²",dat-dat-nen,,,HN,1,44
39805824,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-pho-hang-bai-phuong-hang-bai/lo-dien-tich-sieu-hiem-895m-mat-tien-13m-hoan-kiem-ha-noi-pr39805824,2024-05-10,780 tỷ,895 m²,"871,51 tr/m²",dat-dat-nen,,,HN,1,46
39349958,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-tran-quoc-toan-phuong-tran-hung-dao/ban-ngo-pho-kinh-doanh-tot-gan-bo-cong-an-pr39349958,2024-05-10,Giá thỏa thuận,68 m²,,dat-dat-nen,,,HN,1,57
39795907,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-bach-dang-phuong-chuong-duong/ban-hoan-kiem-mat-pho-via-he-kinh-doanh-lo-goc-mat-tien-dep-gia-ngo-o-to-qua-pr39795907,2024-05-10,"29,3 tỷ",166 m²,"176,51 tr/m²",dat-dat-nen,,,HN,1,41
38052315,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,1,49
39244461,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-phuong-hang-buom/ban-pho-co-hoan-kiem-60m2-mt4m-gia-14-ty-duy-nhat-dau-tu-pr38052315,2024-05-10,14 tỷ,60 m²,"233,33 tr/m²",dat-dat-nen,,,HN,1,55
39582314,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-phan-chu-trinh-phuong-phan-chu-trinh/ban-quan-hoan-kiem-ngo-rong-sach-se-pr39244461,2024-05-10,Giá thỏa thuận,50 m²,,dat-dat-nen,,,HN,1,45
36073857,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-pho-hang-bac-phuong-hang-bac/chinh-chu-ban-cach-20m-xay-homstay-thi-dep-45m-mt-4m-gia-8-2-ty-lh-pr39582314,2024-05-10,"8,2 tỷ",45 m²,"182,22 tr/m²",dat-dat-nen,1.0,1.0,HN,1,48
36602908,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-pho-hang-bong-phuong-hang-bong/ban-manh-vang-hoan-kiem-dt230m2x6-5m-sieu-pham-co-gia-dep-nhat-thu-do-pr36073857,2024-05-10,"166,5 tỷ",230 m²,"723,91 tr/m²",dat-dat-nen,,,HN,1,57
38472802,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,1,43
34614000,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-quang-trung-phuong-tran-hung-dao/ban-manh-vang-1950m2-sieu-sieu-hiem-co-1-0-2-ngan-nam-co-1-nha-ban-pr36602908,2024-05-10,1.287 tỷ,1.950 m²,660 tr/m²,dat-dat-nen,,,HN,1,57
39649377,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-le-duan-phuong-cua-nam/ban-vang-230m2-tang-nha-2-tang-mat-pho-chinh-hoan-kiem-pr38472802,2024-05-10,"136,9 tỷ",230 m²,"595,22 tr/m²",dat-dat-nen,,,HN,1,41
39625334,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-phuong-tran-hung-dao/ban-tho-cu-hon-1000m2-duong-chinh-lon-trung-tam-hoan-kiem-ha-noi-pr34614000,2024-05-10,Giá thỏa thuận,1.000 m²,,dat-dat-nen,,,HN,1,53
39720184,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-ham-tu-quan-phuong-chuong-duong/ban-pho-hoan-kiem-250m2-mat-tien-7m-via-he-kinh-doanh-o-to-tranh-pr39649377,2024-05-10,30 tỷ,250 m²,120 tr/m²,dat-dat-nen,,,HN,1,55
39715585,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-pho-hang-trong-phuong-hang-trong/hiem-vip-ban-mat-tien-dien-tich-14000m2-gia-cung-vip-780-ty-pr39625334,2024-05-10,780 tỷ,1.400 m²,"557,14 tr/m²",dat-dat-nen,,,HN,1,44
37121779,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-phan-chu-trinh-phuong-phan-chu-trinh/ban-khu-vuc-85m2-x-5-6m-mt-dep-building-dinh-so-net-chi-18-5-ty-pr39720184,2024-05-10,"18,5 tỷ",85 m²,"217,65 tr/m²",dat-dat-nen,,,HN,1,55
38548385,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-pho-dong-xuan-phuong-dong-xuan/ban-mat-hoan-kiem-dt-60m2-x-26-ty-kinh-doanh-sam-uat-pr39715585,2024-05-10,26 tỷ,59 m²,"440,68 tr/m²",dat-dat-nen,,,HN,1,48
37126638,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-tran-hung-dao-phuong-phan-chu-trinh/-doc-nhat-ban-trung-tam-quan-hoan-kiem-xay-toa-building-khach-san-1300m2-full-tho-cu-pr37121779,2024-05-10,930 tỷ,1.300 m²,"715,38 tr/m²",dat-dat-nen,,,HN,1,57
39653618,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-pho-hang-bong-phuong-hang-bong/ban-mat-gai-hoan-kiem-450m2-mat-tien-12m-vi-tri-dac-dia-280-ty-pr38548385,2024-05-10,280 tỷ,450 m²,"622,22 tr/m²",dat-dat-nen,5.0,5.0,HN,1,43
39488209,https://batdongsan.com.vn/ban-dat-dat-nen-hoan-kiem/p1/ban-dat-duong-tran-hung-dao-phuong-tran-hung-dao/ban-vang1305m2-full-tho-cu-quang-trung-trung-tam-quan-hoan-kiem-vi-tri-sieu-dac-dia-co-1-0-2-pr37126638,2024-05-10,921 tỷ,1.264 m²,"728,64 tr/m²",dat-dat-nen,,,HN,1,45
