productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
38712763,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-phung-xa-1/ket-tien-ban-mieng-dep-nam-trong-lang-nghe-det-khan-my-duc-dt-412m2-lh-pr38712763,2024-05-10,"7,21 tỷ",412 m²,"17,5 tr/m²",dat-dat-nen,,,HN,29,10353
39799339,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-duong-dt-429-xa-dong-tam-7/chi-dung-540-trieu-co-ngay-lo-ha-noi-69-3m2-my-duc-pr39799339,2024-05-10,540 triệu,"69,3 m²","7,79 tr/m²",dat-dat-nen,,,HN,29,10306
38318961,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-an-phu-11/-chinh-chu-ban-ha-noi-re-view-non-nuoc-ty-do-1-000m2-tho-cu-1-5-ty-pr38318961,2024-05-10,"1,7 tỷ",888 m²,"1,91 tr/m²",dat-dat-nen,,,HN,29,10277
39814383,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-thuong-lam/tai-chinh-hon-300tr-co-ngay-lo-my-duc-dep-de-o-hay-dau-tu-deu-dep-pr39814383,2024-05-10,360 triệu,40 m²,9 tr/m²,dat-dat-nen,,,HN,29,10363
39814219,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,29,10313
39814222,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-hong-son-3/nhinh-400-trieu-co-so-do-hn-full-tho-cu-vuong-nhu-banh-chung-de-o-hay-dau-tu-dau-dep-a-pr39814219,2024-05-10,437 triệu,"50,8 m²","8,6 tr/m²",dat-dat-nen,,,HN,29,10313
39814573,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-duong-tinh-lo-419-xa-hong-son-3/ban-2-mat-tien-giap-ho-quan-my-duc-ha-noi-pr39814222,2024-05-10,Giá thỏa thuận,55 m²,,dat-dat-nen,,,HN,29,10306
39814055,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-duong-dt-429-xa-dong-tam-7/-my-duc-ha-noi-gia-5tr-m2-pr39814573,2024-05-10,870 triệu,150 m²,"5,8 tr/m²",dat-dat-nen,,,HN,29,10313
39741661,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-duong-tinh-lo-419-xa-hong-son-3/chi-5xxtr-manh-my-duc-giap-ho-quan-va-khu-du-lich-wonderland-pr39814055,2024-05-10,Giá thỏa thuận,54 m²,,dat-dat-nen,,,HN,29,10277
39811761,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-nha-rieng-duong-35-xa-hong-ky-1/chinh-chu-chuyen-dinh-cu-ban-dat-qh-thi-tran-ni-soc-son-ha-noi-pr39610373?source=ad&adid=2419322,2024-05-10,10 tỷ,670 m²,"14,92 tr/m²",dat-dat-nen,,,HN,29,10370
39809464,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-an-phu-11/b-my-duc-ha-noi-cach-ubnd-100m-nam-ngay-tren-truc-duong-ho-chi-minh-pr39741661,2024-05-10,"3,5 tỷ",633 m²,"5,53 tr/m²",dat-dat-nen,,,HN,29,10267
39717764,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-tuy-lai/e-con-1-lo-duy-nhat-47-8m2-mt-4-50m-2-mat-tien-vuong-dep-xay-nha-hay-dau-tu-ok-ak-gia-550tr-thoi-a-pr39811761,2024-05-10,550 triệu,"47,8 m²","11,51 tr/m²",dat-dat-nen,,,HN,29,10313
39490105,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-thi-tran-dai-nghia-2/ban-phan-lo-bai-vac-tt-my-duc-hn-pr39809464,2024-05-10,"4,15 tỷ",99 m²,"41,92 tr/m²",dat-dat-nen,,,HN,29,10306
39548842,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-hong-son-3/nhinh-400tr-1-lo-sieu-dep-hn-dan-cu-dong-duc-pr39717764,2024-05-10,400 triệu,50 m²,8 tr/m²,dat-dat-nen,,,HN,29,10306
39803961,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-dong-tam-7/hon-200tr-lo-ha-noi-re-hon-khu-vuc-may-gia-pr39490105,2024-05-10,330 triệu,"41,7 m²","7,91 tr/m²",dat-dat-nen,,,HN,29,10277
39554703,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-dong-tam-7/ban-mat-duong-truc-chinh-duong-to-3-o-to-tranh-de-kinh-doanh-hay-o-deu-tuyet-voi-pr39548842,2024-05-10,"1,4 tỷ","68,5 m²","20,47 tr/m²",dat-dat-nen,,,HN,29,10277
39799707,https://batdongsan.com.vn/ban-dat-dat-nen-my-duc/p1/ban-dat-xa-an-phu-11/240m2-mat-tien-12m-duong-lien-gia-hon-1-ty-my-duc-ha-noi-pr39803961,2024-05-10,"1,55 tỷ",240 m²,"6,46 tr/m²",dat-dat-nen,,,HN,29,10331
