productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
33530094,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p5/ban-dat-xa-sen-chieu/ban-93m2-dau-gia-dong-buoi-phuc-tho-ha-noi-gia-2xtr-m2-pr33530094,2024-05-10,Giá thỏa thuận,93 m²,,dat-dat-nen,,,HN,19,10609
36988623,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p5/ban-dat-xa-ngoc-tao/chinh-chu-can-ban-143m2-khu-dau-gia-dong-cau-loc-huyen-phuc-tho-pr36988623,2024-05-10,"5,72 tỷ",143 m²,40 tr/m²,dat-dat-nen,,,HN,19,10592
39262611,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p5/ban-dat-duong-tinh-82-xa-trach-my-loc/ban-dau-gia-82-phuc-tho-ha-noi-pr39262611,2024-05-10,"2,97 tỷ",106 m²,28 tr/m²,dat-dat-nen,,,HN,19,10646
39505465,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-xa-trach-my-loc/chinh-chu-ban-104m-thon-tuy-cach-qlo32-400m-duong-rong-3-5m-o-to-vao-tan-nha-pr39505465,2024-05-10,"1,14 tỷ",104 m²,11 tr/m²,dat-dat-nen,,,HN,19,10646
39795658,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-duong-32-xa-tho-loc/chinh-chu-ban-lo-goc-dien-tich-be-nhat-khu-dong-phuom-phuc-ha-noi-pr39795658,2024-05-10,"3,26 tỷ","149,1 m²","21,9 tr/m²",dat-dat-nen,,,HN,19,10625
30785201,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-nen-du-an-duong-quoc-lo-32-xa-tam-hiep-5-prj-sunshine-heritage-resort/c-b-mot-so-dep-khu-sinh-thai-cam-dinh-phuc-tho-ha-noi-gia-hop-ly-pr30785201,2024-05-10,Giá thỏa thuận,1.200 m²,,dat-dat-nen,,,HN,19,10616
39786483,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-xa-hiep-thuan-1/ban-48m2-tho-cu-ngo-2-5m-gan-duong-lon-pr39786483,2024-05-10,790 triệu,48 m²,"16,46 tr/m²",dat-dat-nen,,,HN,19,10570
37692135,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,19,10677
39784095,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-duong-tinh-82-xa-vong-xuyen/ban-nhanh-lo-115m2-o-to-do-cua-ngoat-nhe-ra-o-to-tranh-gia-12tr-1m2-lh-0968-371-359-pr37692135,2024-05-10,"1,51 tỷ",116 m²,13 tr/m²,dat-dat-nen,,,HN,19,10646
38114002,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-xa-trach-my-loc/chinh-chu-can-ban-lo-41m-tai-loi-phuc-tho-ha-noi-pr39784095,2024-05-10,399 triệu,41 m²,"9,73 tr/m²",dat-dat-nen,,,HN,19,10536
39708888,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-duong-quoc-lo-32-thi-tran-phuc-tho-2/chinh-chu-can-ban-cu-tao-ha-noi-pr38114002,2024-05-10,918 triệu,54 m²,17 tr/m²,dat-dat-nen,,,HN,19,10570
39778164,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-duong-quoc-lo-32-xa-hiep-thuan-1/chinh-chu-ban-3-gan-ql32-cau-phung-gia-3xtr-m2-gia-fo-ngo-thong-oto-tranh-pr39708888,2024-05-10,"1,38 tỷ",46 m²,30 tr/m²,dat-dat-nen,,,HN,19,10570
39624775,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-nha-rieng-duong-35-xa-hong-ky-1/chinh-chu-chuyen-dinh-cu-ban-dat-qh-thi-tran-ni-soc-son-ha-noi-pr39610373?source=ad&adid=2419322,2024-05-10,10 tỷ,670 m²,"14,92 tr/m²",dat-dat-nen,,,HN,19,10592
39617486,https://batdongsan.com.vn/ban-dat-dat-nen-phuc-tho/p2/ban-dat-xa-hiep-thuan-1/ban-sieu-dep-mat-tien-4-5m-dien-tich-47-2m2-phuc-tho-pr39778164,2024-05-10,Giá thỏa thuận,"47,2 m²",,dat-dat-nen,,,HN,19,12158
