productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39589679,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-xa-minh-tri/chinh-chu-toi-ban-3-lo-tai-soc-son-pr39589679,2024-05-10,Giá thỏa thuận,300 m²,,dat-dat-nen,,,HN,12,10865
39814933,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-xa-phu-linh-1/can-ban-lo-goc-73-2m-thon-cong-hoa-soc-son-ha-noi-pr39814933,2024-05-10,"1,1 tỷ","73,2 m²","15,03 tr/m²",dat-dat-nen,,,HN,12,10952
39814198,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-duong-14-1-xa-minh-phu-1/hot-ban-lo-hon-300m2-vuong-van-mat-tien-15m-ngay-uy-ban-gia-chi-hon-10tr-m2-pr39814198,2024-05-10,"4,16 tỷ",320 m²,13 tr/m²,dat-dat-nen,,,HN,12,10781
39813736,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-duong-14-1-xa-minh-phu-1/ban-78-5m-truc-chinh-kinh-doanh-thanh-tri-soc-son-ha-noi-pr39813736,2024-05-10,"2,39 tỷ","78,5 m²","30,5 tr/m²",dat-dat-nen,,,HN,12,10781
39813972,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,12,10781
39814061,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-duong-phu-thinh-xa-minh-phu-1/can-ban-lo-goc-360m2-tai-nghia-sat-14-chay-vao-san-golf-tri-pr39813972,2024-05-10,"4,61 tỷ",360 m²,"12,8 tr/m²",dat-dat-nen,,,HN,12,10781
39652632,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-duong-35-xa-minh-phu-1/hot-ban-500m2-truc-chinh-tai-lam-truong-so-do-trao-tay-view-nui-thoang-mat-phu-pr39814061,2024-05-10,"7,62 tỷ",508 m²,15 tr/m²,dat-dat-nen,,,HN,12,10931
39727795,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-xa-bac-son-16/can-ban-lo-cuc-hiem-soc-dt1958m2-phap-ly-chuan-gia-2tr-m2-thich-hop-lam-villa-pr39652632,2024-05-10,"3,92 tỷ",1.958 m²,2 tr/m²,dat-dat-nen,,,HN,12,10931
39727740,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-xa-bac-son-16/co-hoi-dau-tu-vang-tiem-nang-tang-gia-nhanh-dien-tich-rong-thich-hop-dau-tu-villa-pr39727795,2024-05-10,Giá thỏa thuận,4.865 m²,,dat-dat-nen,,,HN,12,10931
39727672,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,12,10931
39652658,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-xa-bac-son-16/hiem-gia-sieu-tot-cao-thoang-view-dep-tai-da-hoi-ss-dt-190m2-gia-chi-650tr-so-do-pr39727740,2024-05-10,650 triệu,190 m²,"3,42 tr/m²",dat-dat-nen,,,HN,12,10931
39667617,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-xa-bac-son-16/chi-tu-7x-trieu-m2-so-huu-ngay-lo-dep-nhat-soc-chinh-chu-phap-ly-ro-rang-pr39727672,2024-05-10,Giá thỏa thuận,1.770 m²,,dat-dat-nen,,,HN,12,10931
39607018,https://batdongsan.com.vn/ban-dat-dat-nen-soc-son/p3/ban-dat-xa-bac-son-16/chi-hon-900tr-so-huu-ngay-lo-dep-nhat-dt-250m2-gan-trung-tam-hanh-chinh-so-do-chuan-pr39652658,2024-05-10,Giá thỏa thuận,250 m²,,dat-dat-nen,,,HN,12,10931
