productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39440572,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-446-xa-tien-xuan/can-ban-nghi-vanh-dai-cong-nghe-cao-hoa-lac-pr39440572,2024-05-10,Giá thỏa thuận,1.000 m²,,dat-dat-nen,,,HN,23,11098
39299744,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-446-xa-tien-xuan/chinh-chu-can-ban-mat-446-pr39299744,2024-05-10,Giá thỏa thuận,1.000 m²,,dat-dat-nen,,,HN,23,11098
38474435,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-dai-lo-thang-long-xa-tan-xa/hang-sieu-hiem-540m2-full-o-cach-ho-chi-vai-phut-di-chuyen-lh-pr38474435,2024-05-10,Giá thỏa thuận,540 m²,,dat-dat-nen,,,HN,23,11090
39795601,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-xa-can-kiem/ban-cong-nghe-cao-hoa-lac-gia-tot-chi-nhinh-ty-co-70-m2-tho-cu-pr39795601,2024-05-10,"1,45 tỷ",78 m²,"18,59 tr/m²",dat-dat-nen,,,HN,23,11012
39816227,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,23,11102
39582384,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-21-1-xa-yen-binh-4/nha-em-can-ban-gap-lam-roi-a-pr39816227,2024-05-10,3 tỷ,400 m²,"7,5 tr/m²",dat-dat-nen,,,HN,23,10993
39463748,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-xa-binh-yen-1/70m-view-ho-duong-2-oto-tranh-nhau-sat-truc-duong-ho-tay-ba-vi-gia-nhinh-1-ty-pr39582384,2024-05-10,Giá thỏa thuận,70 m²,,dat-dat-nen,,,HN,23,11050
39805815,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-xa-ha-bang/ban-77-5m-full-tc-sat-cong-nghe-cao-view-ho-gan-khu-dai-hoc-fpt-pr39463748,2024-05-10,Giá thỏa thuận,60 m²,,dat-dat-nen,,,HN,23,10993
39548379,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-xa-binh-yen-1/64m-dan-cat-ra-ban-tai-thach-that-sat-cong-nghe-cao-hoa-lac-gia-1-ty-pr39805815,2024-05-10,1 tỷ,"64,2 m²","15,58 tr/m²",dat-dat-nen,,,HN,23,11098
39611514,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,23,10993
39705537,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-446-xa-tien-xuan/f0-gia-tot-nhat-hon-3-trieu-1m2-lo-1350m2-0nt-cln-tai-thach-that-pr39548379,2024-05-10,"5,13 tỷ",1.350 m²,"3,8 tr/m²",dat-dat-nen,,,HN,23,11042
39705570,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-21a-xa-binh-yen-1/ban-96m-full-tc-mt-6m-tai-da-gao-sat-khu-cong-nghe-cao-hoa-lac-pr39611514,2024-05-10,Giá thỏa thuận,154 m²,,dat-dat-nen,,,HN,23,10993
39698546,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-xa-dong-truc/chinh-chu-ban-62m2-gia-chi-nhinh-ty-san-so-mien-moi-gioi-trung-gian-cam-on-pr39705537,2024-05-10,"1,38 tỷ",62 m²,"22,26 tr/m²",dat-dat-nen,,,HN,23,10993
39802390,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-420-xa-binh-yen-1/ban-tho-cu-tai-ha-noi-chinh-chu-dung-ten-toi-so-rieng-gia-giam-manh-12tr-m2-tai-yen-pr39705570,2024-05-10,"4,62 tỷ",385 m²,12 tr/m²,dat-dat-nen,,,HN,23,11104
39661556,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-420-xa-binh-yen-1/-san-so-sat-tl-420-dien-tich-356m2-tai-gia-chua-den-10tr-m2-o-to-vao-tm-pr39698546,2024-05-10,Giá thỏa thuận,356 m²,,dat-dat-nen,,,HN,23,10993
39812832,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-xa-yen-trung-3/ban-1-9-ha-nghi-duong-thach-that-gia-can-tien-3-xtr-m-2-pr39802390,2024-05-10,"74,1 tỷ",19.000 m²,"3,9 tr/m²",dat-dat-nen,,,HN,23,11090
39812717,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-420-xa-binh-yen-1/can-ban-lo-65-4m-doi-sen-thong-trai-nhua-rong-5m-ngay-truc-thong-tan-xa-pr39661556,2024-05-10,"1,44 tỷ","65,4 m²",22 tr/m²,dat-dat-nen,,,HN,23,11050
39812563,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-tan-xa-xa-tan-xa/chinh-chu-ban-manh-o-sat-dh10-pr39812832,2024-05-10,"1,2 tỷ",60 m²,20 tr/m²,dat-dat-nen,,,HN,23,10993
39812804,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-xa-ha-bang/chinh-chu-ban-manh-view-ho-o-hoa-lac-pr39812717,2024-05-10,"5,18 tỷ",148 m²,35 tr/m²,dat-dat-nen,,,HN,23,11098
39812669,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p3/ban-dat-duong-420-xa-binh-yen-1/ban-lo-goc-3-mat-tien-rong-60-2m2-hon-1-ty-pr39812563,2024-05-10,"1,58 tỷ","60,2 m²","26,25 tr/m²",dat-dat-nen,,,HN,23,10993
34454747,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-dat-duong-quoc-lo-21a-quoc-lo-21-xa-binh-yen-1/chinh-chu-ban-linh-son-canh-tai-dinh-cu-gia-8trieu-m-gan-khu-cong-nghe-cao-hoa-lac-pr34454747,2024-05-10,"2,43 tỷ",243 m²,10 tr/m²,dat-dat-nen,,,HN,23,10993
39596197,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-dat-duong-dong-truc-xa-dong-truc/chi-gai-can-tien-ban-lo-dep-nhat-khu-gan-lien-mo-rong-17m-thong-thoang-pr39596197,2024-05-10,Giá thỏa thuận,"61,3 m²",,dat-dat-nen,,,HN,23,11042
39488688,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-dat-duong-dai-lo-thang-long-xa-dong-truc/sieu-pham-114m2-full-tho-cu-tai-hoa-lac-a-cach-ng-100m-cach-cnc-hoa-lac-100m-pr39488688,2024-05-10,Giá thỏa thuận,114 m²,,dat-dat-nen,,,HN,23,11042
39637206,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-dat-pho-ha-bang-xa-ha-bang/-cong-nghe-cao-hoa-lac-100m2-full-tho-cu-mat-tien-mat-hau-5m-gia-hon-1-ty-pr39637206,2024-05-10,Giá thỏa thuận,100 m²,,dat-dat-nen,,,HN,23,11050
39641927,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,23,10993
39689482,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-dat-duong-420-xa-binh-yen-1/ban-nhanh-lo-65m2-full-tho-cu-2-mat-tien-vi-tri-qua-dep-cach-tinh-lo-420-chi-200m-2-o-to-pr39641927,2024-05-10,Giá thỏa thuận,65 m²,,dat-dat-nen,,,HN,23,11092
39808295,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-dat-nen-du-an-xa-thach-hoa-1-prj-khu-do-thi-phu-cat-city/chinh-chu-can-ban-bt-don-lap-lo-goc-da-gia-30tr-m2-chua-xd-lh-pr39689482,2024-05-10,"11,7 tỷ",390 m²,30 tr/m²,dat-dat-nen,,,HN,23,11104
39808115,https://batdongsan.com.vn/ban-dat-dat-nen-thach-that/p7/ban-dat-duong-446-xa-yen-trung-3/ban-mat-446-tai-thach-that-ha-noi-pr39808295,2024-05-10,"12,9 tỷ",900 m²,"14,33 tr/m²",dat-dat-nen,,,HN,23,11050
