productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39761970,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-ta-thanh-oai-xa-ta-thanh-oai/ban-manh-lang-to-ngay-truong-ngo-thi-nham-o-to-do-cua-pr39761970,2024-05-11,"3,18 tỷ",38 m²,"83,68 tr/m²",dat-dat-nen,,,HN,13,11219
36588990,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-xa-tu-hiep/hot-ban-lo-phan-lo-tai-dinh-cu-dau-gia-dt-60m-84m-120m-lh-0949627832-pr36588990,2024-05-11,"12,42 tỷ",92 m²,135 tr/m²,dat-dat-nen,,,HN,13,11207
39398391,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-quang-lai-xa-tu-hiep/ban-2-lo-tai-dinh-cu-30-m2-mat-sieu-dep-lh-pr39398391,2024-05-11,"12,42 tỷ",92 m²,135 tr/m²,dat-dat-nen,,,HN,13,11207
39761441,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-huu-hoa-xa-huu-hoa/hang-hiem-ban-cau-to-30m-pr39761441,2024-05-11,"2,1 tỷ",30 m²,70 tr/m²,dat-dat-nen,,,HN,13,11233
39761618,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-11,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,13,11216
38511258,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-pho-van-phuc-xa-vinh-quynh/ban-52-4m2-thanh-tri-gia-1-3-ty-pr39761618,2024-05-11,"1,3 tỷ","52,4 m²","24,81 tr/m²",dat-dat-nen,,,HN,13,11207
37801178,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-vu-lang-xa-tu-hiep/ban-phan-lo-dau-gia-huyen-thanh-tri-dt-148m2-mt-9-5m-lh-pr38511258,2024-05-11,Giá thỏa thuận,84 m²,,dat-dat-nen,,,HN,13,11216
39761407,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-vinh-quynh-xa-vinh-quynh/gap-lam-roi-ban-manh-50m-oto-tranh-via-he-an-sinh-dinh-gia-2ty4-pr37801178,2024-05-11,3 tỷ,48 m²,"62,5 tr/m²",dat-dat-nen,,,HN,13,11209
39759574,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-xa-ngu-hiep-1/nga-3-ngoc-hoi-san-4-phong-cho-thue-o-to-vao-nha-dt-93m-thich-hop-dau-tu-mt-rong-pr39761407,2024-05-11,"6,95 tỷ",93 m²,"74,73 tr/m²",dat-dat-nen,,,HN,13,11238
39760300,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-11,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,13,11201
39760247,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-trieu-khuc-xa-tan-trieu/can-ban-gap-manh-gian-dan-khu-bl-phan-lo-via-he-oto-ranh-dt-50m-mt5m-gia-10-ty-pr39759574,2024-05-11,10 tỷ,50 m²,200 tr/m²,dat-dat-nen,,,HN,13,11192
39360317,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-tranh-khuc-xa-duyen-ha/ban-54m2-ngo-rat-dep-1-85-ty-pr39760300,2024-05-11,"1,85 tỷ",54 m²,"34,26 tr/m²",dat-dat-nen,,,HN,13,11192
39663570,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-dong-my-xa-dong-my_1/135m-mat-tien-7m-ngo-oto-tranh-ba-gac-20m-ra-chinh-oto-tai-dua-gia-7-8ty-pr39760247,2024-05-11,"7,8 tỷ",135 m²,"57,78 tr/m²",dat-dat-nen,,,HN,13,11192
39758769,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-dong-my-xa-dong-my_1/hiem-ban-58m2-ngo-rat-dep-2-2-ty-pr39360317,2024-05-11,"2,4 tỷ",58 m²,"41,38 tr/m²",dat-dat-nen,,,HN,13,11192
39661970,https://batdongsan.com.vn/ban-dat-dat-nen-thanh-tri/p7/ban-dat-duong-dong-my-xa-dong-my_1/cuc-re-hiem-ban-130m2-ngo-o-to-7-cho-thong-4-1-ty-pr39663570,2024-05-11,"4,1 tỷ",130 m²,"31,54 tr/m²",dat-dat-nen,,,HN,13,11197
