productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39813846,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-duong-lien-thon-xa-hong-van-2/can-tie-ban-300m-tang-biet-thu-gia-ban-trong-1-tuan-sat-cau-me-so-h-dai-4-cang-500m-pr39813846,2024-05-11,7 tỷ,300 m²,"23,33 tr/m²",dat-dat-nen,,,HN,26,11347
39814327,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-xa-hong-van-2/ban-thuong-tin-mat-tien-30m-so-chinh-chu-gia-dau-tu-pr39814327,2024-05-11,"15,02 tỷ",589 m²,"25,5 tr/m²",dat-dat-nen,,,HN,26,11347
39666399,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-xa-hong-van-2/-xam-thi-canh-khu-tdc-dt-70m2-mt-4-5m-gan-h-dai-4-pr39666399,2024-05-11,"1,96 tỷ",70 m²,28 tr/m²,dat-dat-nen,,,HN,26,11347
39816038,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-duong-427-xa-thu-phu/-4m-gia-hon-18-trieu-m-tai-vinh-loc-ong-tin-pr39816038,2024-05-11,"1,05 tỷ",55 m²,"19,09 tr/m²",dat-dat-nen,,,HN,26,11359
39218807,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-11,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,26,11347
39017342,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-duong-427-xa-hong-van-2/chinh-chu-ban-tho-cu-211-m2-thon-la-thuong-tin-vao-rong-8m-pr39218807,2024-05-11,"6,23 tỷ",211 m²,"29,5 tr/m²",dat-dat-nen,,,HN,26,11362
39336138,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-duong-427-xa-tu-nhien/ket-tien-ban-gap-lo-280m2-duog-thong-xe-cont-ra-vao-xom-1-thuog-tin-gia-f0-pr39017342,2024-05-11,"7,05 tỷ",282 m²,25 tr/m²,dat-dat-nen,,,HN,26,11340
39538499,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-duong-427-xa-chuong-duong-1/chinh-chu-can-ban-lo-763m2-thuong-tin-hn-xe-cont-ra-vao-pr39336138,2024-05-11,15 tỷ,763 m²,"19,66 tr/m²",dat-dat-nen,,,HN,26,11367
39615327,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-duong-427-xa-van-tao/duy-nhat-lo-40m2-thuong-tin-thong-o-to-16-cho-ra-vao-kd-pr39538499,2024-05-11,"1,62 tỷ",40 m²,"40,5 tr/m²",dat-dat-nen,,,HN,26,11340
36123087,https://batdongsan.com.vn/ban-dat-dat-nen-thuong-tin/p1/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-11,9 tỷ,140 m²,"64,29 tr/m²",dat-dat-nen,,,HN,26,11357
