productId,url,date,price,area,pricePerM2,type,bedroom,toilet,provinceId,districtId,wardId
39814768,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-quoc-lo-21b-thi-tran-van-dinh/-dep-kinh-doanh-sat-ung-hoa-ha-noi-dt-80m2-mt-4m-co-thuong-luong-pr39814768,2024-05-11,"2,55 tỷ",80 m²,"31,88 tr/m²",dat-dat-nen,2.0,3.0,HN,28,11384
39807753,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-xa-truong-thinh-1/ban-lo-goc-60-5m-thon-thanh-sam-ung-hoa-hn-gia-hon-900tr-pr39807753,2024-05-11,998 triệu,"60,5 m²","16,5 tr/m²",dat-dat-nen,,,HN,28,11409
39751318,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-quoc-lo-21b-thi-tran-van-dinh/gan-100m2-trung-tam-thuong-mai-gia-chua-den-4-ty-pr39751318,2024-05-11,"3,9 tỷ",92 m²,"42,39 tr/m²",dat-dat-nen,,,HN,28,11384
39691698,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-nguyen-thuong-hien-thi-tran-van-dinh/80m2-2-mat-tien-pr39691698,2024-05-11,"1,95 tỷ","80,5 m²","24,22 tr/m²",dat-dat-nen,,,HN,28,11384
39759051,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-21b-xa-quang-phu-cau/ban-cong-nghiep-cum-cong-nghiep-ung-hoa-ha-noi-thich-hop-lam-kho-xuong-1000m2-pr38414946?source=ad&adid=2327027,2024-05-11,7 tỷ,1.000 m²,7 tr/m²,dat-dat-nen,,,HN,28,11386
37517650,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-xa-dai-cuong-1/-dau-gia-3-mat-tien-gan-100m2-gia-chua-den-2-ty-pr39759051,2024-05-11,"1,9 tỷ",84 m²,"22,62 tr/m²",dat-dat-nen,,,HN,28,11385
39081231,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-tl-429b-xa-cao-thanh/ban-dau-gia-xom-cat-ung-hoa-91m2-so-hong-chinh-chu-gia-chi-18-trieu-m2-pr37517650,2024-05-11,Giá thỏa thuận,91 m²,,dat-dat-nen,,,HN,28,11408
32128010,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-giang-xa-trung-tu/ban-90m2-canh-uy-ban-huyen-ung-hoa-tp-ha-noi-mat-tien-5m-lien-huyen-pr39081231,2024-05-11,"2,4 tỷ",90 m²,"26,67 tr/m²",dat-dat-nen,,,HN,28,11385
33556957,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-tl-429b-xa-cao-thanh/chinh-chu-ban-dau-gia-lk1-o-4-dien-tich-90m2-mat-tien-5m-via-he-11m-pr32128010,2024-05-11,"1,62 tỷ",90 m²,18 tr/m²,dat-dat-nen,,,HN,28,11385
39208761,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-11,"2,6 tỷ",75 m²,"34,67 tr/m²",dat-dat-nen,1.0,1.0,HN,28,11407
39610867,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-tl-429b-xa-cao-thanh/chinh-chu-ban-dau-gia-cong-ao-ung-hoa-mat-tinh-lo-lk1-90m2-gia-25-5-trieu-pr33556957,2024-05-11,"1,71 tỷ",90 m²,19 tr/m²,dat-dat-nen,,,HN,28,11404
38158742,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-426-xa-tram-long/ban-130m2-mat-tl426-rong-30m-kd-dinh-gia-25tr-m2-pr39208761,2024-05-11,"3,2 tỷ",130 m²,"24,62 tr/m²",dat-dat-nen,,,HN,28,11385
39461927,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-xa-quang-phu-cau/ban-320m-oto-vao-ung-hoa-ha-noi-gan-tinh-lo-429-khoang-9-2tr-m2-pr39610867,2024-05-11,"2,94 tỷ",320 m²,"9,2 tr/m²",dat-dat-nen,,,HN,28,11386
33317406,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-dt-428-xa-cao-thanh/ban-so-hong-chinh-chu-tai-khu-dau-gia-ung-hoa-ha-noi-91m2-gia-ban-18tr-m2-pr38158742,2024-05-11,2 tỷ,91 m²,22 tr/m²,dat-dat-nen,,,HN,28,11394
38896558,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-xa-dai-cuong-1/ban-dau-gia-lo-vip-3-mat-tien-mat-chinh-ngoanh-ra-duong-pr39461927,2024-05-11,3 tỷ,"120,7 m²","24,86 tr/m²",dat-dat-nen,,,HN,28,11409
39017533,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-xa-hoa-nam-2/-dau-gia-thon-dinh-xuyen-ung-ha-noi-2-mat-tien-tien-kd-buon-ban-pr33317406,2024-05-11,4 tỷ,125 m²,32 tr/m²,dat-dat-nen,,,HN,28,11409
39588704,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-dt-429-xa-truong-thinh-1/-trung-ung-hoa-77m2-oto-kd-1-35-ty-lh-pr38896558,2024-05-11,"1,8 tỷ",77 m²,"23,38 tr/m²",dat-dat-nen,,,HN,28,11385
39639924,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-quoc-lo-21b-xa-truong-thinh-1/-hoa-ung-hoa-90m2-mt4-5m-1-8-ty-lh-pr39017533,2024-05-11,"2,1 tỷ",90 m²,"23,33 tr/m²",dat-dat-nen,,,HN,28,11384
39640180,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-xa-cao-thanh/-ung-hoa-gan-200m2-mat-tien-13m-gia-chua-den-2-ty-pr39588704,2024-05-11,"1,95 tỷ",196 m²,"9,95 tr/m²",dat-dat-nen,,,HN,28,11409
39705454,https://batdongsan.com.vn/ban-dat-dat-nen-ung-hoa/p1/ban-dat-duong-nguyen-thuong-hien-thi-tran-van-dinh/ban-tang-nha-2-tang-1-tum-dinh-pr39639924,2024-05-11,"2,15 tỷ","73,6 m²","29,21 tr/m²",dat-dat-nen,,,HN,28,11384
