Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
19,39938268,41.0,6800.0,5.0,3.0,5.0,,1,1,105.8107873,21.0378684,https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-cong-vi/ban-ngo-444-ba-dinh-41m2-5-tang-xay-moi-full-noi-that-moi-gia-6-8-ty-pr39938268,2.0,1,0,0
24,39932405,80.0,22000.0,4.0,4.0,4.0,"6,5 m",0,1,105.8229971,21.0297332,https://batdongsan.com.vn/ban-nha-rieng-duong-nui-truc-phuong-kim-ma/chinh-chu-ban-3-mat-thoang-80m2-ngo-quan-ba-dinh-pr39932405,2.0,0,0,0
115,39947743,42.0,5700.0,5.0,4.0,4.0,4 m,1,1,105.8107873,21.0378684,https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-cong-vi/ban-gap-ba-dinh-thiet-ke-hien-dai-5-tang-dien-tich-42m-gia-5-7-ty-co-thuong-luong-pr39947743,2.0,0,0,0
154,39941555,54.0,15900.0,4.0,3.0,3.0,,1,1,105.833588,21.0337818,https://batdongsan.com.vn/ban-nha-rieng-duong-ong-ich-khiem-phuong-dien-bien/chinh-chu-ban-gap-dep-sieu-hiem-khu-vuc-vip-t-ba-dinh-54m2-x-4-tang-15-9-ty-pr39941555,2.0,1,1,0
163,39939842,68.0,20500.0,,,,,0,0,105.809840724237,21.0427837295314,https://batdongsan.com.vn/ban-nha-rieng-duong-buoi-phuong-vinh-phuc/chinh-chu-gui-ban-68m2-8-tang-thang-may-gara-2-oto-nhinh-20-ty-pr39939842,2.0,0,1,1
173,39760142,22.0,3300.0,,,,"3,5 m",0,1,105.8128318,21.028985,https://batdongsan.com.vn/ban-nha-rieng-pho-ngoc-khanh-phuong-ngoc-khanh/ban-ba-dinh-2-tang-full-noi-that-dep-co-the-them-tang-ngo-thong-chi-3-ty-pr39760142,2.0,0,0,0
258,39723982,93.0,24800.0,7.0,26.0,26.0,6 m,1,1,105.8253805,21.0349161,https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-doi-can/toa-chdv-co-dong-tien-2-2-ty-nam-vi-tri-hiem-tai-quan-ba-dinh-pr39723982,2.0,0,0,1
268,39913632,90.0,24500.0,8.0,20.0,20.0,,1,1,105.8300275,21.0377651,https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-ha-phuong-ngoc-ha/ban-toa-can-ho-dich-vu-ba-dinh-90mx8t-20-phong-doanh-thu-1-5-ty-tng-gia-24-5-ty-ngo-oto-pr39913632,2.0,0,0,0
300,39904407,33.0,6550.0,5.0,,,4 m,0,1,105.8253805,21.0349161,https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-doi-can/-moi-khach-vao-boc-team-tai-ngo-444-dt33m2-5t-mt4m-gia-6-55-ti-pr39904407,2.0,1,1,0
355,39517219,95.0,21000.0,7.0,22.0,22.0,7 m,1,1,105.8300275,21.0377651,https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-ha-phuong-ngoc-ha/mo-ban-toa-can-ho-dich-vu-22-phong-pho-95m2-xay-7-tang-tng-may-pr39517219,2.0,0,0,1
