Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
122,39946095,38.0,3650.0,1.0,1.0,1.0,"4,8 m",1,1,105.7624855,21.0452512,https://batdongsan.com.vn/ban-nha-rieng-duong-phu-dien-phuong-phu-dien/ban-gan-ho-bac-tu-liem-dt-38m2-mt-4-8m-ngo-thong-gan-oto-nhinh-3-ty-pr39946095,718.0,0,0,0
138,39942920,35.0,4850.0,5.0,3.0,4.0,,0,0,105.7456544,21.0594555,https://batdongsan.com.vn/ban-nha-rieng-duong-phu-minh-phuong-minh-khai_1/ban-bac-tu-liem-35m2-5-tang-o-to-do-cua-huong-vuong-20-nam-pr39942920,718.0,0,0,0
149,39941957,55.0,12950.0,7.0,4.0,5.0,5 m,0,0,105.7662283,21.039968,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-phu-dien/ban-55m2-x-7t-lo-goc-oto-7-c-vao-pr39941957,718.0,0,0,0
179,39935542,31.0,3350.0,4.0,3.0,3.0,4 m,1,1,105.7332272,21.0688102,https://batdongsan.com.vn/ban-nha-rieng-duong-trung-kien-phuong-tay-tuu/-dan-xay-tdp-dt-31m2x4t-gan-ubnd-quan-btl-pr39935542,718.0,0,0,0
208,39894694,68.0,10000.0,4.0,4.0,2.0,4 m,1,1,105.779589,21.064259,https://batdongsan.com.vn/ban-nha-rieng-duong-co-nhue-phuong-co-nhue-2/ban-gan-thanh-pho-giao-luu-pr39894694,718.0,0,0,0
237,39922938,130.0,39000.0,10.0,50.0,50.0,9 m,1,1,105.7624855,21.0452512,https://batdongsan.com.vn/ban-nha-rieng-duong-phu-dien-phuong-phu-dien/ban-toa-can-ho-ccmn-cau-dt-130m-10t-39-ty-50-phong-studio-doanh-thu-290tr-thang-pr39922938,718.0,0,0,1
242,39921560,120.0,18000.0,8.0,39.0,39.0,"6,8 m",1,1,105.7419938,21.0497052,https://batdongsan.com.vn/ban-nha-rieng-duong-nhon-phuong-minh-khai_1/hiem-ccmn-dong-tien-gan-10-mot-nam-ngay-nga-tu-500m-ra-32-co-39-phong-khep-kin-full-pr39921560,718.0,1,1,1
246,39920394,35.0,3650.0,5.0,4.0,4.0,"3,5 m",1,1,105.7411184,21.0508372,https://batdongsan.com.vn/ban-nha-rieng-duong-van-tri-1-phuong-minh-khai_1/-khai-5-tang-35m2-full-do-ngo-nong-oto-do-cong-chi-3-x-ty-pr39920394,718.0,1,1,0
251,39918793,55.0,4680.0,1.0,1.0,1.0,"3,5 m",1,1,105.779589,21.064259,https://batdongsan.com.vn/ban-nha-rieng-duong-co-nhue-phuong-co-nhue-2/chinh-chu-ban-dat-nhue2-bac-tu-liem-55m2-gia-4-68-ty-25m-bai-do-xe-so-vuong-khong-quy-hoach-pr39918793,718.0,0,0,0
257,39916736,60.0,,8.0,15.0,15.0,"4,4 m",0,1,105.7943322,21.0713761,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-dinh-phuong-xuan-dinh/-dong-tien-ngo-thong-phan-lo-o-to-via-he-hiem-co-60m2-8t-thang-may-nhinh-16-ty-pr39916736,718.0,0,0,1
281,39910711,30.0,6800.0,6.0,3.0,4.0,7 m,1,1,105.7662283,21.039968,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-phu-dien/chinh-chu-gui-ban-30m-6-tang-mat-tien-7m-o-to-do-cua-cach-p-dung-5m-pr39910711,718.0,0,0,0
