Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
2,39939205,45.0,14000.0,6.0,5.0,5.0,"4,3 m",0,1,105.7956063,21.0483269,https://batdongsan.com.vn/ban-nha-rieng-pho-nghia-do-phuong-nghia-do-1/chinh-chu-gui-ban-45m-6-tang-mat-tien-4-3m-phan-lo-o-to-tranh-kinh-anh-gia-14-ty-pr39939205,7.0,0,0,0
3,39918299,60.0,20600.0,7.0,10.0,5.0,"4,1 m",1,1,105.7840373,21.0309274,https://batdongsan.com.vn/ban-nha-rieng-duong-duy-tan-phuong-dich-vong/toa-vp-moi-toanh-7-tang-thang-may-full-noi-that-3-thoang-kd-bat-chap-do-10-xe-o-to-pr39918299,7.0,0,0,1
9,39808304,88.0,21800.0,,3.0,4.0,14 m,0,1,105.7752763,21.0430058,https://batdongsan.com.vn/ban-nha-rieng-pho-mai-dich-phuong-mai-dich/cc-ban-mat-tien-sieu-rong-14m-ngo-cau-giay-88m2-dttt-104m2-lo-goc-gia-21-8-ty-pr39808304,7.0,0,0,0
22,39934655,30.0,5950.0,5.0,,,,1,0,105.779158,21.04087,https://batdongsan.com.vn/ban-nha-rieng-pho-doan-ke-thien-phuong-mai-dich/sieu-hiem-105-10m-ra-duong-oto-pr39934655,7.0,0,0,0
32,39920838,86.0,19800.0,5.0,,,"6,6 m",0,1,105.7883883,21.031399,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thai-tong-phuong-dich-vong-hau/ban-5-tang-dien-tich-86m-mat-tien-6-6m-tong-pr39920838,7.0,0,0,0
34,39915836,75.0,22000.0,5.0,6.0,6.0,,1,1,105.7974923,21.0156149,https://batdongsan.com.vn/ban-nha-rieng-duong-vu-pham-ham-phuong-trung-hoa-4/phan-lo-kinh-doanh-bat-chap-via-he-o-to-tranh-75m2-5t-22-ty-pr39915836,7.0,0,0,0
46,39892600,40.0,13200.0,7.0,4.0,4.0,"4,8 m",1,1,105.7933213,21.0235594,https://batdongsan.com.vn/ban-nha-rieng-duong-hoa-bang-phuong-yen-hoa-2/chinh-chu-an-ngo-72-40m2x7tang-thang-may-ngo-thong-kinh-doanh-o-to-vao-gia-13-2ty-pr39892600,7.0,0,0,1
58,39944891,50.0,9000.0,5.0,7.0,4.0,,0,0,105.7933213,21.0235594,https://batdongsan.com.vn/ban-nha-rieng-duong-hoa-bang-phuong-yen-hoa-2/ban-5-tang-50-m2-mat-tien-4-9m-pr39944891,7.0,1,0,0
75,39951924,61.0,14000.0,,,,,0,0,105.7737345,21.0379862,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-mai-dich/ban-cuc-hiem-60m2-o-to-tranh-mau-pr39951924,7.0,0,0,1
81,39950869,35.0,6750.0,4.0,3.0,4.0,"4,1 m",1,1,105.8088967,21.0536849,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-nghia-do-1/ban-ngo-175-cau-giay-35m-4-tang-mt-4-1m-kinh-doanh-oto-gias-6-75-ty-pr39950869,7.0,0,0,0
104,39948887,47.0,14990.0,,,,,0,0,105.7752763,21.0430058,https://batdongsan.com.vn/ban-nha-rieng-pho-mai-dich-phuong-mai-dich/ban-47m2-7-tang-thang-may-o-to-do-cua-14-99-ty-2-thoang-mat-tien-5m-pr39948887,7.0,0,0,1
134,39944248,36.0,5900.0,6.0,4.0,5.0,4 m,1,1,105.8046779,21.0054445,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-phuong-trung-hoa-4/p-lo-chau-au-6-tang-36m2-hon-5-ty-lang-ha-luong-pr39944248,7.0,0,0,0
146,38551333,200.0,,,,,12 m,0,1,105.7976502,21.0376771,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-huyen-phuong-quan-hoa/ban-200m2-cach-mat-pho-10m-cuc-dep-pr38551333,7.0,0,0,0
155,39941399,60.0,14700.0,6.0,,,4 m,0,1,105.7941457238698,21.036071320445046,https://batdongsan.com.vn/ban-nha-rieng-phuong-dich-vong/ban-cau-giay-ho-tung-mau-6-tang-thang-may-oto-do-cua-ngay-dem-moi-xay-moi-tinh-pr39941399,7.0,0,0,1
166,39939464,82.0,16500.0,7.0,22.0,22.0,6 m,1,1,105.7956063,21.0483269,https://batdongsan.com.vn/ban-nha-rieng-pho-nghia-do-phuong-nghia-do-1/ban-toa-can-ho-dich-vu-22-ng-xay-moi-cung-oto-cua-20m-ra-view-ho-tay-pr39939464,7.0,0,0,0
170,39938993,40.0,6600.0,3.0,,,"4,5 m",1,1,105.790203,21.047628,https://batdongsan.com.vn/ban-nha-rieng-pho-tran-cung-phuong-nghia-do-1/ban-40m2-tai-cung-pr39938993,7.0,0,0,0
172,39938399,47.0,5800.0,1.0,,,6 m,0,1,105.7737345,21.0379862,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-mai-dich/hiem-co-ngo-20-lo-goc-47-1m-mt-6m-pr39938399,7.0,0,0,0
178,39937326,45.0,11000.0,6.0,4.0,4.0,5 m,0,1,105.8053139,21.04307,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-dinh-hoan-phuong-nghia-do-1/kich-c-sieu-pham-mat-pho-o-to-ngay-dem-kinh-anh-het-nuoc-cham-view-song-via-he-pr39937326,7.0,0,0,0
181,39936996,55.0,8000.0,4.0,4.0,4.0,,1,1,105.7730335,21.0353882,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-khue-phuong-mai-dich/ban-pho-55m2-5t-gan-o-to-tranh-gia-8-ty-gan-dai-hoc-thuong-q-cau-giay-pr39936996,7.0,0,0,0
183,39899408,110.0,22000.0,7.0,25.0,25.0,13 m,1,1,105.7737345,21.0379862,https://batdongsan.com.vn/ban-nha-rieng-duong-ho-tung-mau-phuong-mai-dich/ban-toa-c-thue-khue-dt-110m2-x-7-tang-can-goc-25-png-dt-140tr-thang-pr39899408,7.0,0,0,1
195,39923833,520.0,240000.0,10.0,105.0,,15 m,0,0,105.802602049887,21.0099338948487,https://batdongsan.com.vn/ban-nha-rieng-phuong-trung-hoa-4/ban-khach-san-5-sao-cau-giay-520m-mt-15m-dong-tien-1-ty-thang-gia-250-ty-pr39923833,7.0,0,0,1
198,39932600,69.0,19000.0,6.0,,,,1,1,105.7982605,21.0170318,https://batdongsan.com.vn/ban-nha-rieng-duong-vu-pham-ham-phuong-yen-hoa-2/khu-phan-lo-cao-cap-cuc-chat-chi-viec-xach-vali-toi-o-69m2-6t-moi-toanh-thang-may-pr39932600,7.0,0,0,0
217,39894339,125.0,23000.0,7.0,30.0,29.0,,1,1,105.8008204,21.0377412,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-khanh-toan-phuong-quan-hoa/-sieu-dong-tien-112m-7-tang-150-trieu-thang-pr39894339,7.0,0,0,0
227,39628443,65.0,12480.0,6.0,,,,1,1,105.795337073469,21.022506454059,https://batdongsan.com.vn/ban-nha-rieng-duong-ha-yen-quyet-phuong-yen-hoa-2/ban-chdv-trung-kinh-q-cau-giay-lo-goc-3-thoang-dong-tien-khung-50m-ra-pho-ngo-3m-pr39628443,7.0,0,0,1
233,39923779,62.0,20000.0,7.0,,,5 m,1,1,105.797596,21.0381013,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-huyen-phuong-dich-vong/ban-62m2-x-7-tang-thang-may-phan-lo-via-he-o-to-tranh-do-vao-gia-20-ty-pr39923779,7.0,0,0,1
235,39923383,45.0,10000.0,6.0,4.0,4.0,5 m,0,1,105.8088967,21.0536849,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-nghia-do-1/chinh-chu-can-ban-gap-cau-giay-dt-45m-6t-10-ty-gara-oto-dep-o-luon-pr39923383,7.0,0,0,0
236,39923051,55.0,10600.0,5.0,9.0,9.0,,1,1,105.7883883,21.031399,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-thai-tong-phuong-dich-vong-hau/vi-tri-dep-44-trung-tam-cau-giay-oto-lui-cua-dong-tien-tot-50tr-thang-pr39923051,7.0,0,0,0
244,39900608,120.0,23500.0,7.0,22.0,22.0,15 m,1,1,105.799529,21.0107492,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-duy-hung-phuong-trung-hoa-4/toa-lo-goc-120m2-o-20m-ra-pho-ngo-rong-3m-7-tang-22-phong-cho-thue-bam-ngay-pr39900608,7.0,0,0,1
250,39486117,170.0,32000.0,8.0,42.0,43.0,6 m,1,1,105.8083617,21.0118082,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-ngoc-vu-phuong-trung-hoa-4/-co-102-toa-chdv-cau-giay-o-to-sat-du-pccc-35-ng-kk-165m2-7-t-lai-8-5-nam-pr39486117,7.0,0,0,1
259,39916033,56.0,12900.0,5.0,4.0,4.0,"5,5 m",1,1,105.7863369,21.043684,https://batdongsan.com.vn/ban-nha-rieng-pho-pham-tuan-tai-phuong-dich-vong-hau/tuyet-phan-lo-o-to-tranh-nhau-co-gara-thong-ban-co-56m2-5t-mt-5-5m-pr39916033,7.0,0,0,0
260,39915591,68.0,23800.0,5.0,6.0,5.0,,1,1,105.7939903,21.0111849,https://batdongsan.com.vn/ban-nha-rieng-duong-trung-yen-phuong-trung-hoa-4/ban-hiem-phan-lo-68m2-5t-via-he-3m-kinh-doanh-3-o-to-tranh-hon-23-ty-pr39915591,7.0,0,0,0
262,39915522,72.0,23500.0,5.0,6.0,5.0,,1,1,105.7939903,21.0111849,https://batdongsan.com.vn/ban-nha-rieng-duong-trung-yen-phuong-trung-hoa-4/ban-phan-lo-o-to-tranh-via-he-kinh-doanh-tien-ich-khong-thieu-72m2-5t-nhinh-20-ty-pr39915522,7.0,0,0,0
263,39915145,55.0,12900.0,6.0,,,"5,5 m",0,1,105.7864094,21.0416888,https://batdongsan.com.vn/ban-nha-rieng-pho-tran-quoc-hoan-phuong-dich-vong-hau/nhanh-phan-lo-gara-o-to-h-o-suong-cho-thue-hai-ra-tien-55m2-mt-5-5m-pr39915145,7.0,0,0,1
264,39914089,76.0,15800.0,6.0,10.0,10.0,4 m,1,1,105.8064616,21.0401492,https://batdongsan.com.vn/ban-nha-rieng-duong-quan-hoa-phuong-quan-hoa/ban-tai-cau-giay-76m2-6t-mt4m-gia-15-8-ty-doanh-thu-80tr-thang-pr39914089,7.0,0,0,0
270,39913102,90.0,24000.0,5.0,5.0,5.0,5 m,1,1,105.799529,21.0107492,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-duy-hung-phuong-trung-hoa-4/-90m2-5-tang-5m-view-ho-o-to-kinh-doanh-tien-ich24ty-pr39913102,7.0,0,0,0
276,39911894,50.0,15000.0,7.0,,,5 m,1,1,105.7752763,21.0430058,https://batdongsan.com.vn/ban-nha-rieng-pho-mai-dich-phuong-mai-dich/ban-xay-moi-50m2-x-7t-khu-van-cong-doan-ke-thien-ho-tung-mau-cau-giay-o-to-vao-pr39911894,7.0,0,0,1
285,39894862,55.0,9500.0,5.0,6.0,4.0,"4,5 m",1,1,105.7856248,21.0364968,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-thuy-phuong-dich-vong-hau/chao-ban-moi-dan-xay-5-tang-dien-tich-52m2-mat-tien-4-2m-trung-tam-quan-cau-giay-pr39894862,7.0,0,0,0
287,39909302,62.0,10900.0,5.0,5.0,4.0,"4,5 m",1,1,105.8083617,21.0118082,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-ngoc-vu-phuong-trung-hoa-4/can-ban-gap-xay-62m2-mt-4-5m-tai-cach-duong-oto-tranh-10m-gia-10-x-ty-pr39909302,7.0,0,0,0
289,39908675,50.0,6950.0,4.0,4.0,3.0,,0,1,105.8083617,21.0118082,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-ngoc-vu-phuong-trung-hoa-4/mot-tien-ban-gap-50m-x4tang-cau-giay-khong-con-can-thu-2-pr39908675,7.0,0,0,0
293,39907995,60.0,20500.0,7.0,,,,1,1,105.7840373,21.0309274,https://batdongsan.com.vn/ban-nha-rieng-duong-duy-tan-phuong-dich-vong-hau/7-g-thang-may-kinh-doanh-van-phong-cau-giay-60m-chi-20-5-ty-pr39907995,7.0,0,0,1
308,39902591,54.0,8200.0,5.0,6.0,4.0,,1,1,105.7730335,21.0353882,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-khue-phuong-mai-dich/chinh-chu-can-ban-gap-pho-54m2-xay-5-tang-gia-8-2-ty-pr39902591,7.0,0,0,0
