Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
62,39954196,30.0,1530.0,3.0,3.0,2.0,4 m,1,1,105.70799,20.924679,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-xa-thuy-huong-1/co-500tr-tra-gop-xay-moi-giap-chuc-son-1-5xxtr-gan-bien-giang-ha-dong-so-do-rieng-pr39954196,24.0,0,0,0
71,39868605,30.0,1590.0,3.0,2.0,3.0,4 m,1,1,105.717259714355,20.9201894005853,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-xa-thuy-huong-1/ban-moi-y-nam-trong-trung-tam-view-ho-thoang-di-chuyen-ra-ha-dong-15p-gia-chi-tu-1-5x-ty-pr39868605,24.0,1,0,0
151,39941650,36.0,2000.0,,,,,0,0,105.70367951658535,20.94404476288919,https://batdongsan.com.vn/ban-nha-rieng-xa-phung-chau/toi-chu-can-ban-gap-mot-so-can-tai-chuong-my-ha-noi-gia-cuc-ky-hap-pr39941650,24.0,1,0,0
1039,39861437,30.0,,3.0,3.0,2.0,4 m,1,1,105.70799,20.924679,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-xa-thuy-huong-1/co-500tr-tra-gop-xay-moi-giap-chuc-son-1-5xxty-so-do-thuan-di-ha-dong-pr39861437,24.0,0,0,0
1313,39379323,30.0,1990.0,4.0,4.0,3.0,"3,5 m",0,1,105.703679516585,20.9440447628892,https://batdongsan.com.vn/ban-nha-rieng-xa-phung-chau/ban-lien-ke-tai-chau-pr39379323,24.0,0,0,0
1468,37704646,35.0,1780.0,3.0,3.0,3.0,"3,5 m",0,0,105.7121951,20.9271686,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-thi-tran-chuc-son/can-ban-3-tang-nam-trung-tam-gia-sieu-re-chi-1-62-ti-co-the-cho-thue-tot-pr37704646,24.0,1,0,0
1573,39872290,30.0,,3.0,3.0,2.0,4 m,1,1,105.70799,20.924679,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-xa-thuy-huong-1/co-500tr-tra-gop-xay-moi-so-do-giap-chuc-son-1-5xxtr-gan-bien-giang-ha-dong-pr39872290,24.0,0,0,0
1605,39930202,30.0,1500.0,3.0,3.0,2.0,,1,1,105.71487759909,20.9084247919335,https://batdongsan.com.vn/ban-nha-rieng-xa-thuy-huong-1/ban-view-ho-tai-huong-pr39930202,24.0,1,0,0
1756,39734390,32.0,1700.0,3.0,3.0,,,0,0,105.7173037,20.9307918,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-6-xa-phung-chau/chi-1-65-ty-3tx32m2-dai-hoc-tdtt-khoang-3-km-ben-xe-yen-nghia-pr39734390,24.0,1,0,0
1964,39930069,39.0,,3.0,3.0,3.0,,0,1,105.703679516585,20.9440447628892,https://batdongsan.com.vn/ban-nha-rieng-xa-phung-chau/ban-chuong-my-giap-bieng-giang-ha-dong-gan-quoc-lo-6-gia-chi-hon-1ty-lh-pr39930069,24.0,0,0,0
1965,39930237,35.0,,3.0,3.0,3.0,,0,1,105.703679516585,20.9440447628892,https://batdongsan.com.vn/ban-nha-rieng-xa-phung-chau/ban-chuong-my-giap-bien-giang-gan-quoc-lo-6-ben-xe-yen-nghia-gia-chi-hon-1-ty-pr39930237,24.0,1,0,0
2431,39754123,33.0,2350.0,4.0,3.0,3.0,,1,1,105.7121951,20.9271686,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-thi-tran-chuc-son/2-35-ty-co-t-luong-ban-lk-trang-an-3-ngu-masser-to-o-to-vao-cach-nhua-20m-o-to-tranh-pr39754123,24.0,1,0,0
2878,39912911,155.0,,3.0,,,5 m,0,1,105.660044209552,20.9282152621833,https://batdongsan.com.vn/ban-nha-rieng-xa-phu-nghia-1/155m-full-tho-cu-san-3t-chi-hon-3-ty-pr39912911,24.0,0,0,0
3305,39921168,40.0,1500.0,2.0,,,,0,0,105.71487759909,20.9084247919335,https://batdongsan.com.vn/ban-nha-rieng-xa-thuy-huong-1/co-hoi-so-huu-pho-hien-dai-c-my-dien-tich-40m2-gia-1-5-ty-lien-he-pr39921168,24.0,1,0,0
4268,36860879,95.0,,,3.0,,,0,1,105.5787167,20.896292,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-binh-thi-tran-xuan-mai-1/2-x-ty-so-huu-100m2-xay-4-tang-full-noi-that-trung-tam-gan-truong-cap-3-pr36860879,24.0,1,0,0
6456,39766253,40.0,2900.0,4.0,3.0,3.0,,1,1,105.70367951658535,20.94404476288919,https://batdongsan.com.vn/ban-nha-rieng-xa-phung-chau/chinh-thuc-mo-ban-50-can-shophouse-chuong-my-mat-duong-tl80-dt-45-70m2-gia-nhinh-2-9-ti-pr39766253,24.0,0,0,0
6576,39882354,32.0,1750.0,3.0,,,,0,0,105.7121951,20.9271686,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-6-thi-tran-chuc-son/-gia-re-3tx32m2-ql6-ben-xe-yen-nghia-3-km-gia-1-75-ty-pr39882354,24.0,1,0,0
6710,39879122,234.0,2300.0,,,,,0,1,105.692921463314,20.8583946794276,https://batdongsan.com.vn/ban-nha-rieng-xa-quang-bi/chinh-chu-can-ban-cap4-234m-dia-chi-doi-14-thon-5-hon-2ty-pr39879122,24.0,0,0,0
6931,39877090,40.0,1700.0,2.0,2.0,2.0,4 m,1,1,105.704858250171,20.9297095423145,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-xa-phung-chau/can-ban-moi-xay-can-goc-3-mat-tien-40m2-ql6-va-thi-tran-hon-1km-gia-1-7ty-can-pr39877090,24.0,0,0,0
6935,39877122,35.0,1700.0,4.0,3.0,3.0,4 m,1,1,105.709773495467,20.9429225207569,https://batdongsan.com.vn/ban-nha-rieng-xa-phung-chau/ban-35m2-x-4t-sat-truong-dhtdtt-oto-cach-50m-gia-chi-1-7-ty-pr39877122,24.0,0,0,0
7171,39869810,30.0,1590.0,3.0,3.0,2.0,,1,1,105.71487759909,20.9084247919335,https://batdongsan.com.vn/ban-nha-rieng-xa-thuy-huong-1/ban-xay-moi-view-trieu-do-gia-chi-1ty5xx-tai-c-my-giap-bien-giang-ha-dong-pr39869810,24.0,1,0,0
7236,39617970,52.0,2550.0,3.0,3.0,3.0,4 m,1,1,105.7121951,20.9271686,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-thi-tran-chuc-son/-ha-noi-52m2-xay-moi-3-tang-4m-chi-hon-2-ty-pr39617970,24.0,1,1,0
7238,39617780,52.0,2500.0,3.0,3.0,3.0,4 m,1,1,105.7121951,20.9271686,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-6-thi-tran-chuc-son/-lien-ke-3-tang-ho-khau-ha-noi-dt-50m2-rong-4m-oto-do-cua-pr39617780,24.0,1,1,0
8073,39650952,50.0,2250.0,2.0,3.0,2.0,,1,1,105.703679516585,20.9440447628892,https://batdongsan.com.vn/ban-nha-rieng-xa-phung-chau/ban-phuong-dong-50m-lo-goc-oto-vao-gia-dau-tu-pr39650952,24.0,1,0,0
8208,39789334,38.0,2090.0,3.0,4.0,3.0,4 m,1,1,105.7173037,20.9307918,https://batdongsan.com.vn/ban-nha-rieng-duong-6-4-xa-phung-chau/ban-chuong-my-38m-3-tang-4-phong-ngu-gia-2-09-ty-oto-nho-do-truoc-cua-pr39789334,24.0,1,0,0
8209,32416633,45.0,2850.0,3.0,4.0,3.0,4 m,1,1,105.7173037,20.9307918,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-6-xa-phung-chau/mo-ban-dot-1-du-an-xay-cuc-ky-vip-khu-o-van-minh-chuong-my-45-75m2-chi-tu-2-ti-pr32416633,24.0,0,0,0
