Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
2125,39927340,38.0,3050.0,4.0,4.0,3.0,4 m,1,1,105.7072668,21.0839657,https://batdongsan.com.vn/ban-nha-rieng-duong-dan-hoi-xa-tan-lap-24/ban-phuong-38m-4g-sat-vinhom-oto-do-cong-co-bai-gui-cach-5m-nhinh-3-ty-pr39927340,20.0,0,1,0
2304,39665524,30.0,2800.0,4.0,,,7 m,0,1,105.714485332909,21.082767839145,https://batdongsan.com.vn/ban-nha-rieng-xa-tan-lap-24/ban-can-goc-o-to-do-cong-doi-dien-truong-mam-non-b-cach-tay-do-200m-lh-pr39665524,20.0,0,0,0
2351,39431669,46.0,4300.0,4.0,3.0,4.0,"6,2 m",1,1,105.7072668,21.0839657,https://batdongsan.com.vn/ban-nha-rieng-duong-dan-hoi-xa-tan-lap-24/ban-can-duy-nhat-45m2-lo-goc-2-mat-thoang-gac-lung-mat-kinh-doanh-oto-vao-nha-pr39431669,20.0,1,0,0
3355,39920240,40.0,3500.0,4.0,5.0,3.0,4 m,1,1,105.6608592,21.0857619,https://batdongsan.com.vn/ban-nha-rieng-duong-32-thi-tran-phung/chinh-chu-ban-40m-4t-dan-xay-tai-dan-phuong-lh-pr39920240,20.0,0,0,0
4068,39782029,50.0,6300.0,4.0,3.0,4.0,4 m,1,1,105.700225830078,21.074520111084,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-32-xa-tan-lap-24-prj-khu-do-thi-moi-tan-tay-do/dan-xay-dv-50m-nhinh-6ty-pr39782029,20.0,0,0,0
4488,39915166,38.0,3500.0,4.0,4.0,4.0,4 m,0,0,105.6612314,21.089302,https://batdongsan.com.vn/ban-nha-rieng-duong-phuong-tri-thi-tran-phung/can-ban-4-tang-dan-ha-noi-pr39915166,20.0,1,0,0
4873,39911296,38.0,,4.0,,,4 m,0,1,105.6608592,21.0857619,https://batdongsan.com.vn/ban-nha-rieng-duong-32-thi-tran-phung/ban-4-tang-full-noi-that-o-to-dan-phuong-pr39911296,20.0,0,0,0
7279,39751694,31.0,2800.0,5.0,3.0,4.0,"4,8 m",1,1,105.7072668,21.0839657,https://batdongsan.com.vn/ban-nha-rieng-duong-dan-hoi-xa-tan-lap-24/ban-31m2-5t-ngo-thong-taxi-cach-8m-canh-truong-mam-non-b-gia-2-7-ty-pr39751694,20.0,1,0,0
8070,39814792,47.0,1500.0,1.0,1.0,1.0,"3,5 m",1,1,105.645515616766,21.1016760526528,https://batdongsan.com.vn/ban-nha-rieng-duong-32-xa-phuong-dinh-1/ban-47m2-tai-huyen-dan-pr39814792,20.0,1,0,0
9255,39950484,48.0,,,,,,0,1,105.6620836,21.0859166,https://batdongsan.com.vn/ban-nha-rieng-duong-dong-am-thi-tran-phung/-dep-moi-can-goc-2-mat-thoang-full-noi-that-oto-16-cho-do-cua-48m2-pr39950484,20.0,0,0,0
10850,39946861,60.0,,2.0,2.0,1.0,,1,1,105.7143722,21.0843203,https://batdongsan.com.vn/ban-nha-rieng-duong-ha-hoi-xa-tan-lap-24/ban-gap-2-g-truc-chinh-gia-ban-gap-pr39946861,20.0,0,0,0
13416,39938059,40.0,4200.0,4.0,4.0,3.0,"3,8 m",1,1,105.7144853329092,21.08276783914497,https://batdongsan.com.vn/ban-nha-rieng-xa-tan-lap-24/ban-mat-ngo-dan-phuong-40m2-4g-oto-do-cua-ngo-thong-nhinh-4-x-ty-pr39938059,20.0,0,1,0
