Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
204,39930494,107.0,5800.0,3.0,4.0,3.0,5 m,1,1,105.8339184,21.1774371,https://batdongsan.com.vn/ban-nha-rieng-duong-le-huu-tuu-xa-nguyen-khe/ban-dong-anh-107m2-x-3-tang-4-ngu-o-to-vao-chi-nhinh-4-ty-thuong-luong-pr39930494,10.0,1,0,0
382,39848629,56.0,2800.0,3.0,3.0,3.0,"3,75 m",0,1,105.808279381007,21.1779809987781,https://batdongsan.com.vn/ban-nha-rieng-xa-bac-hong-1/ban-55m2-chinh-chu-tai-dong-anh-pr39848629,10.0,0,0,0
616,39717606,82.4,4400.0,3.0,3.0,,,0,1,105.771011047213,21.1088093847441,https://batdongsan.com.vn/ban-nha-rieng-xa-vong-la/ban-3-tang-moi-xay-tai-dai-do-dong-anh-pr39717606,10.0,1,1,0
692,39840055,92.0,3600.0,2.0,2.0,2.0,"4,54 m",0,1,105.896970716403,21.1140689729208,https://batdongsan.com.vn/ban-nha-rieng-xa-duc-tu/-2-tang-moi-3-6-ty-92m2-duong-7-cho-tu-pr39840055,10.0,1,0,0
894,39954336,52.0,7900.0,4.0,4.0,3.0,,0,0,105.82322981369536,21.118679769121627,https://batdongsan.com.vn/ban-nha-rieng-xa-vinh-ngoc-1/ban-phuong-trach-52m2-4-tang-kinh-doanh-o-to-tranh-can-ban-gap-pr39954336,10.0,0,0,0
1299,39953592,40.0,2400.0,,,,,0,0,105.83097922535228,21.146099907461004,https://batdongsan.com.vn/ban-nha-rieng-xa-tien-duong/b-a-n-gap-ngo-thong-tu-tung-kinh-doanh-g-ia-chi-hon-2-ty-pr39953592,10.0,0,0,0
1579,39952632,60.0,4600.0,2.0,2.0,2.0,"4,5 m",0,1,105.8162425,21.1537389,https://batdongsan.com.vn/ban-nha-rieng-duong-23-2-xa-van-noi/194-x-ngo-ma-nhu-pho-xe-tranh-xe-vao-vai-chuc-buoc-ra-pho-tien-ich-vay-xung-quanh-o-kinh-doanh-pr39952632,10.0,1,0,0
1799,39951726,200.0,,,,,,0,0,105.86933360353332,21.187591140325896,https://batdongsan.com.vn/ban-nha-rieng-xa-xuan-non/ban-o-to-30-cho-vao-dien-tich-200m2-2-7ty-pr39951726,10.0,0,0,0
2048,39599645,66.5,2350.0,1.0,2.0,1.0,"6,4 m",0,1,105.786880655415,21.1627979445443,https://batdongsan.com.vn/ban-nha-rieng-xa-nam-hong-3/can-ban-1-tang-dien-tich-66-5m2-tai-dong-anh-ha-noi-pr39599645,10.0,0,0,0
2417,39925762,50.0,2150.0,,,,,0,1,105.84923554841596,21.152040347741067,https://batdongsan.com.vn/ban-nha-rieng-thi-tran-dong-anh-1/ban-cap-4-san-o-to-20-trung-tam-30m-ra-duong-o-to-tr-pr39925762,10.0,0,0,0
2812,39704149,368.0,12500.0,1.0,,,9 m,1,1,105.8339184,21.1774371,https://batdongsan.com.vn/ban-nha-rieng-duong-le-huu-tuu-xa-nguyen-khe/368m-full-tho-cu-nu-vuon-nghi-cuoi-tuan-tuyet-dinh-hiem-co-102-12-5ty-pr39704149,10.0,0,0,0
2870,39923028,50.0,2150.0,1.0,1.0,1.0,"3,3 m",1,1,105.8464346,21.1612137,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-3-thi-tran-dong-anh-1/chinh-chu-ban-tuong-lai-mat-17m-dt-50m2-gia-2-15-ty-pr39923028,10.0,0,0,0
3374,39920513,86.0,16000.0,5.0,6.0,6.0,5 m,1,1,105.8680677,21.0794836,https://batdongsan.com.vn/ban-nha-rieng-duong-lai-da-xa-dong-hoi/sieu-hot-ban-86m-x-5-tang-tai-thon-anh-pr39920513,10.0,1,0,0
3427,39919508,38.0,2500.0,5.0,,,,1,1,105.8682517139555,21.08840640055917,https://batdongsan.com.vn/ban-nha-rieng-xa-dong-hoi/ban-cuc-hiem-anh-38m-5-tang-sieu-dep-nhinh-2-5-ty-mat-tien-rong-o-to-do-cong-pr39919508,10.0,0,0,0
3469,39632782,90.0,7300.0,5.0,9.0,10.0,5 m,0,1,105.8264612,21.1107972,https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-giang-xa-vinh-ngoc-1/can-ban-nghi-dong-anh-dau-tu-kinh-doanh-ngay6-8-ty-pr39632782,10.0,0,0,1
3727,39916321,38.0,3500.0,5.0,,,,0,1,105.84923554841596,21.152040347741067,https://batdongsan.com.vn/ban-nha-rieng-thi-tran-dong-anh-1/ban-cuc-hiem-38m-5-tang-sieu-dep-nhinh-2-5-ty-mat-tien-rong-o-to-do-cong-pr39916321,10.0,0,0,0
3855,39572811,145.0,,,,,,0,0,105.84923554841596,21.152040347741067,https://batdongsan.com.vn/ban-nha-rieng-thi-tran-dong-anh-1/chuyen-nhuong-can-re-pr39572811,10.0,0,0,0
4346,39915988,40.2,5100.0,5.0,4.0,,"5,6 m",0,1,105.8477646,21.1409106,https://batdongsan.com.vn/ban-nha-rieng-duong-phan-xa-xa-uy-no/lo-goc-kinh-doanh-oto-tranh-5-tang-dan-xay-cach-pho-cao-lo-hen-dong-150m-pr39915988,10.0,0,0,0
4424,39916286,38.0,,5.0,,,,0,1,105.896970716403,21.1140689729208,https://batdongsan.com.vn/ban-nha-rieng-xa-duc-tu/ban-cuc-hiem-dong-anh-38m-5-tang-sieu-dep-nhinh-3-5-ty-mat-tien-rong-o-to-do-cong-pr39916286,10.0,0,0,0
4503,39914249,70.0,8400.0,,,,5 m,0,1,105.86231231689452,21.134685516357425,https://batdongsan.com.vn/ban-nha-rieng-duong-co-loa-xa-uy-no-prj-calyx-residence/ban-o-chinh-chu-can-t14-35-du-an-khu-o-theo-hinh-thuc-bt-hen-dong-anh-tp-hn-pr39914249,10.0,1,1,0
