Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
28,39922969,22.0,3000.0,3.0,3.0,3.0,,0,1,105.8503425,20.998032,https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-bach-mai/sieu-hot-chi-3-ty-dep-long-lanh-san-sang-giao-dich-pr39922969,4.0,0,0,0
50,39874373,53.2,7400.0,3.0,,,"4,3 m",0,1,105.8558394,20.9989666,https://batdongsan.com.vn/ban-nha-rieng-pho-hong-mai-phuong-quynh-loi/chinh-chu-ban-trong-ngo-thuoc-hai-ba-trung-lh-pr39874373,4.0,0,0,0
68,39953472,16.0,,,,,,0,0,105.8575335,21.0112636,https://batdongsan.com.vn/ban-nha-rieng-duong-tho-lao-phuong-dong-nhan/chinh-chu-can-ban-khu-tap-the-ve-sinh-dich-te-ngo-3-pho-n-hai-ba-trung-pr39953472,4.0,1,1,0
108,39947633,25.0,4300.0,4.0,3.0,3.0,6 m,1,1,105.8445455,21.0019115,https://batdongsan.com.vn/ban-nha-rieng-pho-le-thanh-nghi-phuong-dong-tam/ban-mat-ngo-2-mat-thoang-oto-do-cua-kinh-doanh-dt-21m2x4t-gia-4-3-ty-pr39947633,4.0,1,1,0
110,39591771,40.0,7500.0,5.0,8.0,4.0,4 m,1,1,105.8563287,21.0027755,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-nhan-phuong-thanh-nhan/-40m2-5t-moi-o-pho-n-cong-vien-tuoi-tre-dep-vi-tri-cuc-gan-pho-sdcc-pr39591771,4.0,0,0,0
141,39943037,73.0,10500.0,4.0,6.0,3.0,8 m,1,1,105.8632384,21.0088308,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khat-chan-phuong-thanh-luong/ban-73m2-lo-goc-chi-10-5-ty-pr39943037,4.0,0,0,0
143,39666498,80.0,16500.0,5.0,9.0,4.0,5 m,1,1,105.8631135,21.0003255,https://batdongsan.com.vn/ban-nha-rieng-pho-yen-lac-phuong-vinh-tuy/sieu-re-mat-kim-nguu-quan-hai-ba-trung-80m2-x-5-tang-15-9-ty-lh-pr39666498,4.0,0,0,0
157,39941192,60.0,14500.0,6.0,,,,0,1,105.8552962,21.0180872,https://batdongsan.com.vn/ban-nha-rieng-pho-lo-duc-phuong-thanh-luong/ban-giap-6-tang-thang-may-goc-moi-dep-o-ngay-hon-14ty-pr39941192,4.0,0,0,0
191,39933377,65.0,9900.0,4.0,4.0,4.0,"3,6 m",1,1,105.8558394,20.9989666,https://batdongsan.com.vn/ban-nha-rieng-pho-hong-mai-phuong-quynh-loi/biet-thu-thu-nho-minh-khai-65m2-thiet-ke-dang-cap-chau-au-noi-that-dang-cap-hien-dai-sang-trong-pr39933377,4.0,0,0,0
202,39931444,52.0,,,,,5 m,0,1,105.8604904,20.9986278,https://batdongsan.com.vn/ban-nha-rieng-pho-8-3-1-phuong-quynh-mai/ban-lo-goc-ngo-117-8-3-so-do-cc-52m2-xem-truc-tiep-lh-pr39931444,4.0,1,1,0
206,39928970,135.0,26000.0,3.0,8.0,6.0,"6,5 m",1,1,105.8469898,21.0061863,https://batdongsan.com.vn/ban-nha-rieng-pho-ta-quang-buu-phuong-bach-khoa/ban-3-ng-khu-phan-lo-can-bo-ngo-48-hbt-dt-dat-135m2-mat-tien-6-5m-pr39928970,4.0,0,0,0
212,39928570,30.0,4840.0,5.0,3.0,4.0,"4,1 m",1,1,105.843,20.99755,https://batdongsan.com.vn/ban-nha-rieng-pho-dai-la-phuong-bach-khoa/4-94-ty-30m2-5-tang-gan-dep-hai-ba-trung-pr39928570,4.0,0,0,0
228,39925707,38.0,10600.0,5.0,3.0,4.0,"4,2 m",1,1,105.8567517,20.9950928,https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/-moi-o-luon-5-tang-thang-may-ngo-cuc-nong-pho-khai-pr39925707,4.0,1,0,1
241,39921859,49.0,10500.0,5.0,3.0,,5 m,1,1,105.8567517,20.9950928,https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/cuc-gat-moi-pho-5t-mt-5-thang-may-kinh-doanh-o-ngay-dong-tien-so-vuong-no-hau-pr39921859,4.0,0,0,1
255,39917366,39.4,4500.0,4.0,3.0,,,0,0,105.8503425,20.998032,https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-bach-mai/ngo-chua-lien-phai-hbt-ban-3-tang-1-tum-39-4m2-nhinh-4-ty-pr39917366,4.0,0,0,0
267,39913745,40.0,4900.0,4.0,3.0,3.0,,1,1,105.8740506,20.9951767,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-van-be-phuong-minh-khai/ban-40m-x-4-tang-dep-o-luon-ngo-thoang-sang-gan-pho-gan-o-to-o-cuc-suong-pr39913745,4.0,1,0,0
271,39913074,37.0,4950.0,5.0,3.0,,"4,1 m",0,1,105.8739969,20.9958929,https://batdongsan.com.vn/ban-nha-rieng-duong-duong-van-be-phuong-vinh-tuy/ban-pho-lo-goc-thoang-hang-xom-timecity-trung-tam-hai-ba-trung-pr39913074,4.0,1,0,0
296,39905486,35.0,4150.0,4.0,4.0,3.0,,1,1,105.8503425,20.998032,https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-bach-mai/chinh-chu-ban-so-24-ngach-459-82-35m2-xay-4-tang-full-noi-that-pr39905486,4.0,0,0,0
297,39905386,30.0,6000.0,5.0,3.0,4.0,4 m,1,1,105.8427701,20.9965735,https://batdongsan.com.vn/ban-nha-rieng-pho-pho-vong-phuong-dong-tam/ban-30m-x-5-tang-full-03-pn-gia-6-ty-vnd-pr39905386,4.0,1,0,0
301,39892105,54.0,7300.0,4.0,5.0,3.0,3 m,1,0,105.8567517,20.9950928,https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-54-m2-x-4-tang-sdcc-gia-7-2-ty-huong-dong-bac-co-san-cong-12-m2-xay-42m2-x-4-tang-pr39892105,4.0,0,0,0
328,39890302,30.0,5000.0,3.0,4.0,3.0,"3,5 m",1,1,105.8567517,20.9950928,https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-30m2-ngo-rong-sat-oto-tai-pho-khai-pr39890302,4.0,1,0,0
333,39894869,70.0,9250.0,2.0,2.0,2.0,"5,5 m",1,1,105.8567517,20.9950928,https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/ban-62m2x-2-tang-mat-tien-5-5m-lo-goc-ngo-hon-2m-chi-15m-ra-mat-pho-gia-9-25-ty-pr39894869,4.0,0,0,0
342,39895597,111.0,29000.0,5.0,,,7 m,0,0,105.8467698,21.0019502,https://batdongsan.com.vn/ban-nha-rieng-pho-le-thanh-nghi-phuong-bach-khoa/ban-vua-o-vua-kinh-doanh-111m2-x-29ty-x-mat-tien-7m-x-5tang-pr39895597,4.0,0,0,0
368,39890701,85.0,18500.0,1.0,2.0,2.0,"5,65 m",0,1,105.8528567,21.0168634,https://batdongsan.com.vn/ban-nha-rieng-pho-tran-xuan-soan-phuong-pham-dinh-ho/ban-dt-85m2-mat-tien-5-65m-tai-p-q-hai-ba-trung-18-5ty-pr39890701,4.0,1,0,0
389,39954982,52.0,7150.0,5.0,4.0,,4 m,1,0,105.8611049,21.0049863,https://batdongsan.com.vn/ban-nha-rieng-duong-kim-nguu-phuong-thanh-luong/ban-pho-hai-ba-trung-52m2-5-tang-mt-4m-gia-7-15-ty-pr39954982,4.0,0,0,0
414,39954471,36.0,7500.0,6.0,3.0,5.0,,1,1,105.8567517,20.9950928,https://batdongsan.com.vn/ban-nha-rieng-duong-minh-khai-phuong-minh-khai/hoa-hau-ngo-9-buoc-ra-pho-thang-may-6-tang-vi-tri-vip-chi-7-5-ty-pr39954471,4.0,0,0,0
423,39954556,30.0,,2.0,2.0,2.0,"3,8 m",0,0,105.8445282,20.9979689,https://batdongsan.com.vn/ban-nha-rieng-pho-dai-la-phuong-dong-tam/-1-5t-cach-mat-10m-ngay-nga-tu-tran-nghia-dt-30m-mt-3-8m-ngo-xe-oto-5-ta-vao-pr39954556,4.0,0,1,0
455,39359070,18.0,2550.0,3.0,2.0,2.0,,0,1,105.8517766,20.9985767,https://batdongsan.com.vn/ban-nha-rieng-pho-hong-mai-phuong-bach-mai/ban-ngach-ngo-194-so-do-18-m-xay-3-tang-gia-2-5-ty-pr39359070,4.0,0,1,0
469,39938378,33.0,4350.0,3.0,2.0,3.0,4 m,1,1,105.8632384,21.0088308,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-khat-chan-phuong-thanh-luong/chinh-chu-ban-to-thong-rong-4m-kinh-doanh-ca-khu-so-dep-4-35-ty-pr39938378,4.0,0,1,0
