Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
54,39690072,21.0,,4.0,,3.0,,0,1,105.8435973,21.0251158,https://batdongsan.com.vn/ban-nha-rieng-pho-ly-thuong-kiet-phuong-tran-hung-dao/chinh-chu-can-ban-gap-can-3-5-tang-ngo-quan-hoan-kiem-o-to-do-tan-cua-pr39690072,1.0,0,0,0
239,39922534,100.0,28000.0,2.0,3.0,2.0,"4,5 m",1,1,105.8499622,21.0277686,https://batdongsan.com.vn/ban-nha-rieng-pho-nha-chung-phuong-hang-trong/-khong-qua-san-hoan-kiem-100m-so-a4-2-mat-ngo-mat-tien-4-5m-gia-28ti-co-tl-pr39922534,1.0,0,0,0
322,39894641,86.0,13500.0,3.0,4.0,3.0,,0,1,105.8619037,21.0253204,https://batdongsan.com.vn/ban-nha-rieng-duong-bach-dang-phuong-chuong-duong/ban-pho-hoan-kiem-pr39894641,1.0,0,0,0
360,39892029,193.4,95000.0,1.0,3.0,3.0,15 m,0,1,105.8457512,21.0268635,https://batdongsan.com.vn/ban-nha-rieng-pho-quan-su-phuong-cua-dong/chinh-chu-gui-ban-tang-1-can-tai-hoan-kiem-ha-noi-pr39892029,1.0,0,0,0
713,39954536,49.0,,,,,,0,1,105.8426525756031,21.02472651158429,https://batdongsan.com.vn/ban-nha-rieng-phuong-cua-nam/-tho-nhuom-49m-ngo-3-gac-trung-tam-hoan-kiem-tien-ich-an-sinh-hoan-hao-pr39954536,1.0,0,0,0
773,39628564,115.0,45000.0,9.0,16.0,,"6,45 m",1,1,105.8468596,21.0225734,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-hung-dao-phuong-tran-hung-dao/ban-toa-can-ho-cho-thue-dong-tien-mat-ngo-dien-tich-115m2-xay-9-tang-2-mat-thoang-pr39628564,1.0,0,0,1
783,39954332,42.0,11500.0,,,,,1,1,105.85732562484698,21.02106559666538,https://batdongsan.com.vn/ban-nha-rieng-phuong-phan-chu-trinh/-dep-42m-5-tang-sat-pho-ly-thuong-kiet-tho-nhuom-trung-tam-hoan-kiem-tien-ich-ngap-tran-pr39954332,1.0,0,0,0
788,39954318,34.0,,,,,,0,1,105.8499528548878,21.03873067773379,https://batdongsan.com.vn/ban-nha-rieng-phuong-dong-xuan/hay-song-vui-ve-tai-can-pho-hang-hoan-kiem-34m-3-tang-sat-cho-voi-gia-nhinh-5-ty-pr39954318,1.0,1,0,0
801,35139015,91.0,,4.0,5.0,5.0,,0,0,105.8473777,21.0229634,https://batdongsan.com.vn/ban-nha-rieng-pho-lien-tri-phuong-tran-hung-dao/ban-mat-ngo-o-to-vao-ngo-rong-7m-91m2-mt-4-3m-270tr-m2-pr35139015,1.0,0,0,0
1334,39953726,41.0,8500.0,4.0,3.0,2.0,4 m,1,1,105.843773,21.0269513,https://batdongsan.com.vn/ban-nha-rieng-pho-hai-ba-trung-phuong-cua-nam/n-o-ngay-cach-1-o-to-do-cong-3pn-41m2-4-tang-8-5-ty-kd-35-tr-1th-pr39953726,1.0,0,0,0
