Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
0,39951350,74.0,17500.0,5.0,5.0,4.0,44 m,1,1,105.8286032190186,20.991212522361085,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-dinh-cong/chinh-chu-ban-5-g-ngo-192-cach-nga-tu-vanh-dai-2-5-khoang-60m-pr39951350,8.0,0,0,0
13,39917416,268.0,32800.0,3.0,4.0,4.0,9 m,0,1,105.8797389,20.9819922,https://batdongsan.com.vn/ban-nha-rieng-duong-linh-nam-phuong-linh-nam/chinh-chu-giam-sau-can-biet-thu-268m2-ngo-649-q-hoang-mai-2-o-to-tai-tranh-nhau-pr39917416,8.0,0,0,0
26,39928100,41.0,11500.0,3.0,,,"4,1 m",0,1,105.8411144,20.9837461,https://batdongsan.com.vn/ban-nha-rieng-duong-giai-phong-phuong-giap-bat/chinh-chu-ban-mat-ngo-897-41m2x3-tang-gia-11-5-ty-kinh-doanh-via-he-3-o-to-tranh-pr39928100,8.0,0,0,0
39,39613555,90.0,11300.0,2.0,,,4 m,0,1,105.8510211,20.9855604,https://batdongsan.com.vn/ban-nha-rieng-duong-luong-khanh-thien-phuong-tuong-mai/chinh-chu-can-ban-gap-mat-ngo-hoang-dt-90m2-x-mt-4m-huong-dn-oto-do-cua-pr39613555,8.0,0,0,0
44,39747054,100.0,,8.0,28.0,,,1,1,105.8353495,20.9713546,https://batdongsan.com.vn/ban-nha-rieng-duong-dai-tu-phuong-dai-kim/toi-chinh-chu-xin-ban-sieu-ccmn-hoang-mai-8-tang-28-phong-doanh-thu-1-5-ty-nam-pr39747054,8.0,0,0,1
47,39823911,75.0,12780.0,5.0,7.0,7.0,4 m,1,1,105.859748840332,20.9846668243408,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-mai-phuong-hoang-van-thu-4-prj-khu-do-thi-den-lu-i/ban-phan-lo-san-vuon-75m2-xay-moi-5-g-o-to-vao-doi-cong-vien-ho-lu-pr39823911,8.0,0,0,1
51,39773767,44.0,7790.0,4.0,,,,0,1,105.8353495,20.9713546,https://batdongsan.com.vn/ban-nha-rieng-duong-dai-tu-phuong-dai-kim/ban-dan-xay-lo-goc-ngo-96-pho-quan-hoang-mai-ngo-thong-dep-rat-gan-o-to-tranh-pr39773767,8.0,0,0,0
86,39950670,35.0,5400.0,4.0,4.0,,,0,1,105.8210655,20.982789,https://batdongsan.com.vn/ban-nha-rieng-duong-dinh-cong-thuong-phuong-dinh-cong/ban-o-to-do-cua-hai-thoang-gan-pho-35m2-4-tang-gia-5-4-ty-pr39950670,8.0,1,1,0
94,39897447,50.0,9200.0,5.0,,,"5,3 m",0,1,105.8411144,20.9837461,https://batdongsan.com.vn/ban-nha-rieng-duong-giai-phong-phuong-giap-bat/biet-phu-mini-gan-pho-vong-dep-tua-nhu-mo-gara-o-to-7-cho-vao-phan-lo-vip-pr39897447,8.0,0,1,0
97,39864710,50.0,8500.0,5.0,,,,0,0,105.8662041,20.973386,https://batdongsan.com.vn/ban-nha-rieng-duong-tam-trinh-phuong-yen-so/ban-nah-pho-dt-50m-x-5-tang-xay-moi-kinh-doanh-o-to-vao-nha-pr39864710,8.0,0,0,0
