Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
21,39939207,32.0,,5.0,3.0,4.0,,0,1,105.7484722,21.0057899,https://batdongsan.com.vn/ban-nha-rieng-duong-mieu-nha-phuong-tay-mo/ban-duy-t-1-can-xay-5-tang-i-100-nam-tu-liem-pr39939207,14.0,0,0,0
25,39877189,86.0,18800.0,8.0,25.0,26.0,,1,1,105.769683153442,21.029329223295,https://batdongsan.com.vn/ban-nha-rieng-duong-le-duc-tho-phuong-my-dinh-2/8-ty-so-huu-37-chdv-cho-thue-ngay-pho-dong-tien-1-7ty-nam-pr39877189,14.0,0,0,1
27,39538348,30.0,4050.0,5.0,3.0,4.0,5 m,1,1,105.7494182,21.004715,https://batdongsan.com.vn/ban-nha-rieng-duong-tay-mo-phuong-tay-mo/ban-lien-ke-ngo-o-to-cach-ubnd-200m-vinhomes-smart-city-300m-lh-pr39538348,14.0,0,0,0
42,39897885,35.0,,5.0,,,6 m,0,0,105.7741546,21.0237213,https://batdongsan.com.vn/ban-nha-rieng-duong-my-dinh-phuong-my-dinh-1/chinh-chu-ban-35m2-cach-nguyen-hoang-5-phut-di-bo-chi-hon-7-ti-mot-chut-pr39897885,14.0,0,0,0
60,39954409,50.0,15000.0,7.0,4.0,6.0,"4,5 m",1,1,105.7708047,21.0122732,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dao-phuong-phu-do/ban-phan-lo-x1-tu-liem-50m-7-tang-15-ty-gara-thang-may-kinh-anh-dinh-pr39954409,14.0,0,1,1
61,39810987,79.0,,8.0,19.0,19.0,6 m,1,1,105.7739022,21.0290663,https://batdongsan.com.vn/ban-nha-rieng-duong-phu-my-phuong-my-dinh-2/ban-toa-ccmn-ngon-dau-tu-dong-tien-79m2-19-phong-nhinh-18-ty-pr39810987,14.0,0,0,1
85,39950814,120.0,18000.0,4.0,6.0,4.0,5 m,1,1,105.7931517,20.9881778,https://batdongsan.com.vn/ban-nha-rieng-duong-phung-khoang-phuong-trung-van/chinh-chu-ban-gap-can-tai-120m2-gia-chi-hon-18-ty-pr39950814,14.0,1,0,1
119,39947562,85.0,15000.0,5.0,,,6 m,0,1,105.7743119,21.0232062,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-trong-mau-phuong-my-dinh-1/85m-mat-tien-6m-2-o-to-tranh-nam-tu-liem-kinh-doanh-van-phong-chi-15-ty-pr39947562,14.0,0,0,0
145,39942188,89.0,14600.0,5.0,4.0,4.0,6 m,1,1,105.7743119,21.0232062,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-trong-mau-phuong-my-dinh-1/ban-5t-p-lo-89m2-mt6m-15-ty-q-nam-tu-liem-ha-noi-pr39942188,14.0,0,0,0
152,39941614,31.5,3380.0,1.0,1.0,1.0,"3,26 m",1,1,105.7708047,21.0122732,https://batdongsan.com.vn/ban-nha-rieng-duong-le-quang-dao-phuong-phu-do/chinh-chu-ban-cap-4-co-gac-xep-31-5-34m2-tai-ngo-17-truoc-cua-rong-2-5m-chi-3-38-ty-pr39941614,14.0,0,0,0
