Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
10,39662225,40.0,2150.0,3.0,3.0,2.0,,0,1,105.71142822197858,20.963109975479146,https://batdongsan.com.vn/ban-nha-rieng-xa-dai-thanh-4/ban-3-tang-dien-tich-sd-126m-gia-2-050-ti-giao-ngay-pr39662225,22.0,1,0,0
120,39873369,100.0,,2.0,3.0,4.0,,0,1,105.601078,20.932634,https://batdongsan.com.vn/ban-nha-rieng-duong-421b-xa-dong-yen-2/ban-2-tang-100-m2-xay-moi-100-full-noi-that-sin-so-ho-tro-bank-gia-hon-ty-o-to-vao-pr39873369,22.0,0,0,0
125,39945544,50.0,2000.0,3.0,3.0,3.0,5 m,1,1,105.71142822197858,20.963109975479146,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-21a-quoc-lo-21-xa-dai-thanh-4/2-ty-co-ngay-3-tang-50m2-o-to-do-cua-cac-phong-deu-co-ban-cong-sieu-rong-pr39945544,22.0,0,0,0
129,39262891,55.0,1560.0,3.0,4.0,3.0,,1,1,105.71142822197858,20.963109975479146,https://batdongsan.com.vn/ban-nha-rieng-xa-dai-thanh-4/qua-re-chu-dau-tu-mo-ban-20-can-quoc-oai-gia-1ty5-1ty750-1ty950-dt-45-65-95m2-pr39262891,22.0,1,0,0
340,39764465,45.0,1760.0,3.0,3.0,3.0,4 m,1,1,105.711428221979,20.9631099754791,https://batdongsan.com.vn/ban-nha-rieng-xa-dai-thanh-4/tin-that-gia-that-gia-tu-1ty76-dt45m-do-len-moi-so-10p-sang-yen-nghia-pr39764465,22.0,1,0,0
359,39892283,40.0,2120.0,3.0,3.0,3.0,,1,1,105.660607375956,21.012650655213,https://batdongsan.com.vn/ban-nha-rieng-duong-dai-lo-thang-long-xa-phuong-cach/chi-voi-hon-1-ty-anh-chi-da-so-huu-can-dep-40m2x3t-tai-quoc-oai-lh-0946-235-196-pr39892283,22.0,1,0,0
2478,39915792,200.0,7500.0,3.0,3.0,3.0,"6,5 m",1,1,105.613930208168,20.9532914610748,https://batdongsan.com.vn/ban-nha-rieng-duong-21-1-xa-can-huu/chinh-chu-ban-gap-mat-cho-buong-quoc-oai-kinh-doanh-sam-uat-200m-7-5-ty-pr39915792,22.0,1,0,0
3015,39922232,73.4,3800.0,4.0,3.0,4.0,4 m,1,1,105.71142822197858,20.963109975479146,https://batdongsan.com.vn/ban-nha-rieng-xa-dai-thanh-4/sieu-pham-lo-goc-4t-73-4m2-mat-duong-o-to-do-cua-gan-yen-nghia-3km-pr39922232,22.0,1,0,0
3547,39919422,47.0,2280.0,4.0,4.0,,,1,1,105.7087128,20.9657896,https://batdongsan.com.vn/ban-nha-rieng-duong-lien-xa-xa-dai-thanh-4/-47m2-full-noi-that-so-do-trao-tay-ngo-rong-oto-vao-gia-nhinh-2-ty-pr39919422,22.0,0,0,0
3638,38674222,45.0,2200.0,3.0,3.0,3.0,"3,4 m",1,1,105.711428221979,20.9631099754791,https://batdongsan.com.vn/ban-nha-rieng-xa-dai-thanh-4/-3-tang-50m2-o-to-do-cua-gan-uy-ban-dong-la-gia-1-8x-ty-pr38674222,22.0,1,0,0
3920,39607484,48.0,2400.0,3.0,3.0,3.0,,1,1,105.711428221979,20.9631099754791,https://batdongsan.com.vn/ban-nha-rieng-xa-dai-thanh-4/ban-3-tang-xay-moi-tai-quoc-oai-ha-noi-dt48m-huong-dong-nam-gia-2-4-ty-lh-pr39607484,22.0,0,1,0
