Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
184,39831772,670.0,8500.0,,,,30 m,0,1,105.8505438773602,21.322702811143884,https://batdongsan.com.vn/ban-nha-rieng-xa-hong-ky-1/can-ban-dat-qh-thi-tran-ni-soc-son-ha-noi-pr39831772,12.0,1,0,0
2654,39338389,400.0,10000.0,,,,,0,0,105.7916176,21.2061035,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-trai-xa-phu-cuong-7/ban-tai-soc-son-ha-noi-pr39338389,12.0,0,0,0
3832,30613518,730.0,,,,,,0,0,105.77779990135,21.2767204323155,https://batdongsan.com.vn/ban-nha-rieng-xa-minh-phu-1/ban-vuon-dep-tai-soc-son-ha-noi-dt-730m-gia-chi-2-6ty-co-thoa-thuan-pr30613518,12.0,0,0,0
4382,39916443,134.0,3730.0,3.0,,,"6,6 m",0,1,105.85323170582409,21.20211884298809,https://batdongsan.com.vn/ban-nha-rieng-xa-phu-lo/ban-134m-tang-3-tang-soc-son-hn-cach-ql3-vai-chuc-met-dau-tu-nh-gia-re-28tr-m-pr39916443,12.0,0,0,0
5407,37019770,111.0,3800.0,2.0,3.0,2.0,"13,5 m",1,1,105.843708,21.1964493,https://batdongsan.com.vn/ban-nha-rieng-duong-16-5-xa-phu-lo/ban-2-tang-111m2-gia-3-8-ty-thon-dong-gan-cho-truong-tieu-hoc-b-pr37019770,12.0,1,0,0
5894,38227483,930.0,6500.0,,,,31 m,1,0,105.761918070172,21.2917229475492,https://batdongsan.com.vn/ban-nha-rieng-xa-minh-tri/em-co-can-villa-gan-ho-dong-do-ban-gia-6-6-ty-pr38227483,12.0,0,0,0
7542,39496929,600.0,18000.0,,,,10 m,0,1,105.876331107068,21.2690322373137,https://batdongsan.com.vn/ban-nha-rieng-xa-tan-minh-4/ban-tai-ap-vuong-huyen-soc-son-ha-noi-pr39496929,12.0,0,0,0
9271,39834248,243.8,2370.0,1.0,2.0,1.0,"9,5 m",1,0,105.833241238849,21.2269811965627,https://batdongsan.com.vn/ban-nha-rieng-xa-mai-dinh-1/ban-dat-o-soc-son-pr39834248,12.0,0,0,0
10147,38368745,43.3,1550.0,3.0,3.0,2.0,"3,9 m",1,1,105.7910322,21.2064487,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-phu-xa-phu-cuong-7/ban-can-3-g-moi-tai-hien-tai-gia-dinh-ko-co-nhu-cau-su-dung-den-len-ban-pr38368745,12.0,0,0,0
13723,39807283,111.0,,2.0,,,5 m,0,1,105.744539279155,21.254290973484,https://batdongsan.com.vn/ban-nha-rieng-xa-tan-dan-11/do-k-su-dung-den-chinh-chu-ban-2-tang-1-tum-dg-oto-tranh-u-lh-pr39807283,12.0,0,0,0
