Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
64,39736667,56.0,10300.0,3.0,3.0,2.0,"4,1 m",0,1,105.8265568,21.066373,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-dieu-phuong-quang-an-2/-56m2-x-3-tg-mat-tien-4-1m-no-hau-tai-tay-ho-pr39736667,6.0,0,0,0
76,39951693,135.0,19500.0,2.0,,,"5,5 m",1,1,105.809127,21.0610134,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-xuan-la/chinh-chu-ban-gap-135m2-tai-quan-pr39951693,6.0,0,0,0
131,39943278,72.3,,2.0,,,,0,0,105.8243197,21.0409078,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-thuy-khue/ban-trong-ngo-giap-2-mat-tien-cach-lon-200m2-pr39943278,6.0,0,0,0
139,39943540,55.0,8900.0,5.0,5.0,5.0,,1,1,105.8068547,21.0494664,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-thuy-khue/ban-dep-ngo-218-tay-ho-10m-ra-o-to-dt-55m-5-tang-gia-8-9-ty-pr39943540,6.0,0,0,0
197,39932685,80.0,17000.0,5.0,6.0,6.0,"6,34 m",0,1,105.8378366,21.0695076,https://batdongsan.com.vn/ban-nha-rieng-duong-tu-lien-phuong-tu-lien/gia-17-ty-ban-80m2-mt-6-34m-xay-5-tang-thang-may-khu-phan-lo-ngo-56-pho-tay-ho-hn-pr39932685,6.0,0,0,1
261,39915537,60.0,11800.0,2.0,,,5 m,0,1,105.8058296,21.0716719,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-hoang-ton-phuong-xuan-la/ban-dat-phan-lo-quan-doi-tay-ho-oto-chay-vong-quanh-60m-mt-5m-so-vuong-chi-196tr-m-pr39915537,6.0,0,0,1
303,39903412,32.3,3300.0,,,,"4,1 m",0,1,105.8361185,21.0559933,https://batdongsan.com.vn/ban-nha-rieng-duong-nghi-tam-phuong-yen-phu-1/ban-ngo-108-cuoi-nam-khoi-cong-lam-chi-cach-mat-ngo-lon-5-7-m-pr39903412,6.0,0,0,0
323,39835131,60.0,14500.0,8.0,19.0,19.0,"4,5 m",1,1,105.809127,21.0610134,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-xuan-la/-hot-toa-ccmn-xay-moi-65m2-x-8t-x-19p-ngo-89-dt-1-2-ty-nam-14-5-ty-tin-khong-ao-pr39835131,6.0,0,0,1
344,39895236,60.0,7000.0,5.0,6.0,6.0,6 m,0,1,105.816574843994,21.0921178697753,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-la-phuong-xuan-la/chi-7-ty-giap-ngoai-giao-doan-xd-tay-ho-60m-x-5-tang-dan-xay-o-to-gan-pho-pr39895236,6.0,0,0,0
373,39879881,180.0,48500.0,7.0,8.0,,,1,1,105.8241613,21.0427171,https://batdongsan.com.vn/ban-nha-rieng-duong-thuy-khue-phuong-thuy-khue/ban-gan-van-cao-ho-tay-o-to-tranh-7-tang-thang-may-mt-8-5m-48-5-ty-pr39879881,6.0,0,1,1
374,39875397,39.0,13800.0,5.0,4.0,5.0,6 m,1,1,105.8109757,21.0514559,https://batdongsan.com.vn/ban-nha-rieng-duong-vong-thi-phuong-buoi/can-tien-ban-gap-lac-long-quan-dt-39m-5-tang-mt-6m-oto-tranh-gia-nhinh-10-ty-pr39875397,6.0,0,0,0
391,39922381,40.0,13800.0,5.0,5.0,4.0,6 m,1,1,105.8109757,21.0514559,https://batdongsan.com.vn/ban-nha-rieng-duong-vong-thi-phuong-thuy-khue/ban-40m2-x5-tang-mt-6m2-phan-lo-oto-tranh-gan-ho-gia-13x-ty-pr39922381,6.0,0,0,0
394,39681368,48.0,10500.0,4.0,4.0,4.0,4 m,0,1,105.809127,21.0610134,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-xuan-la/cuc-hiem-ban-s-52m2-x-4-tang-mt-4m-oto-vao-gia-chi-10-x-ty-pr39681368,6.0,0,0,0
395,39895932,32.0,5100.0,5.0,3.0,4.0,4 m,1,1,105.8285134,21.0656628,https://batdongsan.com.vn/ban-nha-rieng-duong-au-co-phuong-quang-an-2/can-ban-gap-pho-tay-ho-pr39895932,6.0,0,0,0
397,39481170,95.0,16500.0,5.0,6.0,4.0,9 m,1,1,105.809127,21.0610134,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-xuan-la/ban-s-95m2x5-tang-mt-9m2-oto-vao-gan-ho-tay-lotter-gia-chi-170tr-m2-pr39481170,6.0,0,0,0
400,39925819,58.0,9800.0,,,,,0,1,105.8061035,21.0644876,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-la-phuong-xuan-la/ban-ngo-28-dep-o-luon-o-cho-thang-may-pr39925819,6.0,1,0,1
415,39735203,154.0,44800.0,9.0,15.0,15.0,"6,2 m",1,1,105.809127,21.0610134,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-xuan-la/-160m2-9tang-20m-ra-mat-pho-ngo-oto-dong-tien-200tr-thang-lam-van-phong-pr39735203,6.0,0,0,1
427,39240539,80.0,17000.0,5.0,4.0,,6 m,0,0,105.8088033,21.0556973,https://batdongsan.com.vn/ban-nha-rieng-duong-lac-long-quan-phuong-buoi/ngo-to-nhu-pho-thong-tu-tung-sang-vo-chi-cong-hai-o-to-tranh-nhau-kinh-doanh-sam-uat-pr39240539,6.0,1,1,0
430,39954830,37.0,6300.0,,,,,1,1,105.80722018972132,21.06229151219353,https://batdongsan.com.vn/ban-nha-rieng-phuong-xuan-la/vo-chi-cong-ngo-thong-dan-xay-chac-chan-cach-o-to-10m-mat-tien-dep-37m-5-tang-6-3-ty-pr39954830,6.0,0,0,0
443,39936632,163.0,,3.0,,,"7,2 m",1,1,105.8060161,21.0640993,https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-la-phuong-quang-an-2/ban-pho-163m2-chi-nhinh-20-ty-gara-o-to-gan-ngoai-giao-doan-ha-tang-tien-ich-day-du-pr39936632,6.0,0,0,0
