Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
1030,39580882,40.0,,3.0,2.0,2.0,4 m,1,1,105.806611207593,20.8527856753543,https://batdongsan.com.vn/ban-nha-rieng-xa-thanh-van-1/can-goc-2mat-ngo-44-45m2-tra-gop-co-600tr-n-thuan-di-ha-dong-cach-truc-cienco-500m-pr39580882,25.0,1,0,0
1034,39645512,40.0,,3.0,2.0,2.0,,1,1,105.811099813069,20.8268231467179,https://batdongsan.com.vn/ban-nha-rieng-xa-tan-uoc/xay-moi-thuan-di-ha-dong-theo-truc-cienco-so-do-tho-cu-40m2-co-tra-gop-pr39645512,25.0,0,0,0
1357,39900797,32.0,,4.0,2.0,3.0,10 m,1,1,105.760696228105,20.9191622265123,https://batdongsan.com.vn/ban-nha-rieng-xa-bich-hoa/hiem-co-kho-tim-dep-ngo-o-to-thong-gia-ban-nh-chi-ngang-ngo-nho-pr39900797,25.0,1,1,0
1479,39853960,34.0,2190.0,4.0,4.0,4.0,"3,5 m",1,1,105.765431001498,20.9266935929895,https://batdongsan.com.vn/ban-nha-rieng-xa-bich-hoa/ban-thanh-luong-34m2-x-4-tang-3-5m-gia-2-19-ty-chu-tang-toan-bo-noi-that-pr39853960,25.0,1,0,0
1502,39672602,46.0,1750.0,2.0,2.0,2.0,4 m,1,1,105.811676726956,20.8515270840871,https://batdongsan.com.vn/ban-nha-rieng-xa-thanh-van-1/can-ban-2-tang-1-tum-can-goc-45-7m2-3-mat-tien-trung-tam-cua-gia-1-650-ty-can-pr39672602,25.0,0,0,0
3450,39873699,30.0,2200.0,4.0,4.0,3.0,"3,5 m",1,1,105.7595301,20.9159506,https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-bich-hoa/ban-moi-dep-thach-giap-phu-luong-vanh-dai-4-4-tang-4-phong-ngu-gia-2-2-ty-pr39873699,25.0,1,0,0
3557,39918455,30.0,2000.0,4.0,4.0,,"3,2 m",1,1,105.7595301,20.9159506,https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-bich-hoa/chu-chuyen-cong-tac-can-ban-nh-can-30m-x4t-thanh-luong-thanh-oai-pr39918455,25.0,1,0,0
3782,39918827,50.0,3200.0,4.0,4.0,4.0,"5,1 m",1,1,105.7595301,20.9159506,https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-bich-hoa/sieu-hiem-duy-t-1-can-50m-x-4t-ngay-gan-cho-dau-moi-thach-hoan-thien-dep-sat-ql-21b-pr39918827,25.0,1,0,0
4008,39917909,50.0,1750.0,2.0,2.0,2.0,"4,5 m",1,1,105.7586963,20.8715485,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-21b-xa-thanh-mai-2/ban-dt-50m2-mt-4-5m-1-5-tang-anh-thuc-full-noi-that-ngo-o-to-thong-1-750-ty-pr39917909,25.0,1,0,0
5904,39638953,35.0,,3.0,3.0,3.0,,1,1,105.76069622810522,20.919162226512277,https://batdongsan.com.vn/ban-nha-rieng-xa-bich-hoa/ban-35m-3-tang-o-to-do-cua-tai-thanh-oai-pr39638953,25.0,0,0,0
6846,39592222,30.0,2200.0,4.0,4.0,3.0,,1,1,105.7595301,20.9159506,https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-bich-hoa/ban-vanh-dai-4-cho-dau-moi-nam-ha-noi-gia-dau-tu-chi-2-xxx-pr39592222,25.0,1,0,0
7186,39870045,33.0,2420.0,4.0,3.0,3.0,,1,1,105.7586002,20.9218997,https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-cu-khe/-4tx-33m2-oto-dau-a-sat-bo-song-bich-hoa-chi-2-42-ty-pr39870045,25.0,1,0,0
7773,39834119,32.0,2200.0,4.0,3.0,3.0,,1,1,105.76069622810522,20.919162226512277,https://batdongsan.com.vn/ban-nha-rieng-xa-bich-hoa/cc-gui-ban-thanh-oai-70m-ra-ql21b-dt32m4t-gia-2ty2-pr39834119,25.0,1,0,0
7972,39192859,33.0,2050.0,4.0,3.0,3.0,"3,8 m",1,1,105.7595301,20.9159506,https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-bich-hoa/-re-dep-nhat-4-tang-34m-oto-do-gan-gia-1ty9-lh-pr39192859,25.0,1,0,0
8407,39928650,40.0,2500.0,4.0,4.0,4.0,"3,5 m",1,1,105.7595301,20.9159506,https://batdongsan.com.vn/ban-nha-rieng-duong-21b-xa-bich-hoa/ban-4-tang-moi-40m2-oto-do-cua-thach-gan-vanh-dai-4-giap-phu-luong-gia-2-5ty-pr39928650,25.0,1,0,0
