Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
41,39802185,41.0,2590.0,5.0,4.0,3.0,,0,0,105.803398949129,20.9337577212968,https://batdongsan.com.vn/ban-nha-rieng-xa-ta-thanh-oai/ban-cau-to-35-40m-gia-2-55ty-xay-moi-4-5-ng-tk-ng-lung-lam-phong-khach-pr39802185,13.0,0,0,0
112,39791395,66.0,11500.0,8.0,24.0,25.0,5 m,1,1,105.7962032,20.9791537,https://batdongsan.com.vn/ban-nha-rieng-duong-chien-thang-xa-tan-trieu/duy-t-ccmn-cuoi-vq-24pkk-oto-1-hai-thoang-chi-nhinh-11-ty-pr39791395,13.0,0,0,1
249,39528539,32.0,1780.0,2.0,2.0,1.0,,0,1,105.8002777,20.9339771,https://batdongsan.com.vn/ban-nha-rieng-duong-ta-thanh-oai-xa-ta-thanh-oai/ban-dt-32-m-2-ng-ngo-nong-gan-oto-so-do-gia-1-78-ty-pr39528539,13.0,1,0,0
278,39910371,40.0,4400.0,,,,,0,0,105.86074816955274,20.9272506738934,https://batdongsan.com.vn/ban-nha-rieng-xa-ngu-hiep-1/ban-phan-lo-xay-kien-co-dep-tai-thanh-tri-lh-ngay-pr39910371,13.0,0,0,0
282,39900945,48.0,,5.0,4.0,3.0,,0,0,105.86074816955274,20.9272506738934,https://batdongsan.com.vn/ban-nha-rieng-xa-ngu-hiep-1/ban-5-tang-duong-ngoc-hoi-gan-o-to-trung-tam-thanh-tri-gia-hon-4-ty-pr39900945,13.0,1,0,0
334,39895853,60.0,,3.0,3.0,2.0,,1,0,105.8573701,20.9230367,https://batdongsan.com.vn/ban-nha-rieng-duong-tu-hiep-xa-tu-hiep/ban-cho-trung-tam-thanh-tri-ngo-thong-kinh-doanh-sam-uat-dt60m-gia-6-x-ty-pr39895853,13.0,1,1,0
365,39890976,40.0,5900.0,5.0,4.0,4.0,"3,3 m",1,1,105.83427523155429,20.951615193589387,https://batdongsan.com.vn/ban-nha-rieng-xa-tam-hiep-6/-bang-liet-huynh-cung-phan-lo-dt-40mxd-5-tang-gia-5-9ty-lien-ke-5-can-dt-41m-3-5-tang-gia-3-3ty-pr39890976,13.0,1,1,0
424,39853458,65.6,11500.0,7.0,,,5 m,0,0,105.7967674,20.9681038,https://batdongsan.com.vn/ban-nha-rieng-duong-yen-xa-xa-tan-trieu/ban-toa-cc-mini-tai-thanh-tri-65-6m2-7t-24-phong-80tr-thang-11-5-ty-pr39853458,13.0,0,0,1
545,39608715,33.0,3800.0,3.0,2.0,2.0,"3,3 m",1,1,105.7967674,20.9681038,https://batdongsan.com.vn/ban-nha-rieng-duong-yen-xa-xa-tan-trieu/dac-biet-hiem-van-quan-chien-thang-34m-x5-tang-6-ngu-gan-o-to-gia-chi-4-15-ty-pr39608715,13.0,0,0,0
549,39837772,32.0,4100.0,5.0,3.0,4.0,4 m,1,1,105.8040058,20.9591532,https://batdongsan.com.vn/ban-nha-rieng-duong-cau-buou-xa-tan-trieu/-moi-cung-5-tang-32m-o-to-gan-ngo-4-gia-3-99-ty-pr39837772,13.0,0,0,0
669,39954713,51.0,7500.0,4.0,4.0,5.0,,1,1,105.802612,20.9801219,https://batdongsan.com.vn/ban-nha-rieng-duong-trieu-khuc-xa-tan-trieu/ban-thanh-tri-kinh-doanh-sam-uat-gan-o-to-51m2-hon-7-ty-pr39954713,13.0,0,0,0
709,39954569,37.0,4550.0,5.0,4.0,5.0,,0,1,105.80339894912882,20.93375772129681,https://batdongsan.com.vn/ban-nha-rieng-xa-ta-thanh-oai/ban-tri-ha-noi-pr39954569,13.0,1,0,0
830,39954241,38.0,2380.0,,,,,0,0,105.8095848,20.9562282,https://batdongsan.com.vn/ban-nha-rieng-duong-cau-to-xa-ta-thanh-oai/tin-chuan-3-ng-so-dep-38m-2-38-ty-chu-can-ban-nh-pr39954241,13.0,0,0,0
926,39924914,45.0,5150.0,5.0,4.0,,4 m,0,1,105.8442566,20.9488254,https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-hoi-thi-tran-van-dien/ban-ngo-148-pho-dt-40-45m-5t-mt4m-gia-chao-5-15-ty-co-tl-pr39924914,13.0,0,0,0
940,38848692,63.0,,3.0,7.0,7.0,,0,1,105.8185522,20.9640531,https://batdongsan.com.vn/ban-nha-rieng-duong-kim-giang-xa-thanh-liet/ban-dat-phan-lo-tang-7-phong-tro-cho-thue-pr38848692,13.0,0,0,0
1008,39953863,40.0,4000.0,5.0,4.0,4.0,4 m,0,1,105.8573701,20.9230367,https://batdongsan.com.vn/ban-nha-rieng-duong-tu-hiep-xa-tu-hiep/chi-4-ty-co-ngay-thanh-tri-ngay-sat-iec-teco-diamond-40m2-5-tang-san-o-pr39953863,13.0,0,0,0
1028,39724865,39.0,4550.0,3.0,3.0,2.0,4 m,1,1,105.8010533,20.9712048,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-trieu-xa-tan-trieu/300-nguyen-xien-khuc-cuc-hiem-dep-5-tang-33m-chi-nhinh-4-ty-pr39724865,13.0,0,0,0
1181,39953909,48.0,6800.0,5.0,6.0,4.0,"3,8 m",1,1,105.8040058,20.9591532,https://batdongsan.com.vn/ban-nha-rieng-duong-cau-buou-xa-thanh-liet/ban-5-tang-tri-48m2-ngo-o-to-tranh-o-ngay-kinh-doanh-van-phong-pr39953909,13.0,0,0,0
1231,39858496,91.5,18000.0,7.0,,,,1,0,105.7967674,20.9681038,https://batdongsan.com.vn/ban-nha-rieng-duong-yen-xa-xa-tan-trieu/ban-toa-chung-cu-mini-tai-91-5m2-7t-26-phong-thue-110tr-t-18-ty-pr39858496,13.0,0,0,1
1269,39953624,45.0,5150.0,,,,4 m,1,1,105.849587,20.9265482,https://batdongsan.com.vn/ban-nha-rieng-duong-ngoc-hoi-xa-ngoc-hoi-1/ban-45m2-tai-hoi-pr39953624,13.0,0,0,0
1309,39953580,30.0,4300.0,5.0,3.0,4.0,,1,1,105.8010533,20.9712048,https://batdongsan.com.vn/ban-nha-rieng-duong-tan-trieu-xa-tan-trieu/ban-30-m3-5-g-dan-xay-cuc-thoang-4-3-ty-pr39953580,13.0,0,0,0
1337,39747438,38.0,4550.0,4.0,4.0,3.0,"3,6 m",1,1,105.7967674,20.9681038,https://batdongsan.com.vn/ban-nha-rieng-duong-yen-xa-xa-tan-trieu/hiem-4-g-4-ngu-du-do-o-ngay-241-gia-4-3-ty-pr39747438,13.0,0,0,0
1489,39896891,40.0,4100.0,5.0,5.0,5.0,,0,0,105.854918387497,20.9434092768561,https://batdongsan.com.vn/ban-nha-rieng-xa-tu-hiep/ban-40m2-5-tang-4ti1-pr39896891,13.0,0,0,0
