Unnamed: 0,productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
6,39947459,41.0,6600.0,4.0,4.0,4.0,"3,8 m",0,1,105.806621817645,21.0019500571017,https://batdongsan.com.vn/ban-nha-rieng-phuong-nhan-chinh/thanh-xuan-lo-goc-gan-pho-41-m-4-tang-4-phong-ngu-chi-6-6-ty-pr39947459,5.0,0,0,0
8,39953893,40.0,5800.0,5.0,3.0,4.0,"3,5 m",0,1,105.82024710685847,20.98986381360088,https://batdongsan.com.vn/ban-nha-rieng-phuong-khuong-dinh/trung-tam-thanh-xuan-dep-40-m-5-tang-3-phong-ngu-chi-5-8-ty-pr39953893,5.0,0,0,0
15,39869819,77.0,16500.0,7.0,21.0,21.0,,0,0,105.8141863,21.0001715,https://batdongsan.com.vn/ban-nha-rieng-pho-cu-loc-phuong-nhan-chinh/sieu-pham-ccmn-thanh-xuan-nga-tu-so-80m-7t-ham-21pkk-o-to-40m-dt160tr-chi-16-5-ty-pr39869819,5.0,0,0,1
17,39946797,38.0,5200.0,5.0,4.0,5.0,"3,7 m",0,1,105.80662181764498,21.00195005710171,https://batdongsan.com.vn/ban-nha-rieng-phuong-nhan-chinh/-dep-gan-pho-fuul-noi-that-trung-tam-thanh-xuan-38-m-5-tang-pr39946797,5.0,0,0,0
37,39831401,60.0,6200.0,5.0,4.0,4.0,"4,5 m",0,0,105.8132797,20.9911336,https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-dinh-phuong-khuong-dinh/-dep-trung-tam-nga-tu-so-thiet-ke-cuc-dep-thoang-o-cho-thang-may-20-ra-oto-tranh-ngo-nong-pr39831401,5.0,0,0,1
38,39901774,40.0,11000.0,7.0,,,,0,1,105.8150776,21.0070593,https://batdongsan.com.vn/ban-nha-rieng-duong-giap-nhat-phuong-nhan-chinh/giam-chao-1-ty-ban-gap-t-o-to-kinh-doanh-30-tr-thang-7t-thang-may-chi-11-ty-pr39901774,5.0,0,0,1
63,39900775,55.0,12500.0,5.0,4.0,4.0,,0,0,105.8065858,20.9871687,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-xien-phuong-ha-dinh/phan-lo-gara-o-to-tranh-ngo-111-55m2-x-5t-kinh-doanh-van-phong-hoac-o-chi-12-5-ty-pr39900775,5.0,0,0,0
80,39950141,102.0,25000.0,9.0,38.0,38.0,7 m,1,1,105.8132797,20.9911336,https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-dinh-phuong-khuong-dinh/ban-chung-cu-mini-thanh-xuan-oto-thang-may-240-tr-1t-102m-9-t-mt-7m-gia-25-ty-pr39950141,5.0,0,0,1
92,39950170,82.0,35500.0,,,,,0,0,105.8031129,21.0040864,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-phuong-nhan-chinh/phai-that-nh-a-82m2-6-tang-mt-6-1m-o-to-tranh-kd-via-he-gia-tot-t-pr39950170,5.0,0,0,0
96,39949550,59.0,8600.0,,,,,0,1,105.8233472,20.9996748,https://batdongsan.com.vn/ban-nha-rieng-duong-cu-chinh-lan-phuong-khuong-mai/ban-pho-dt-59m2-mt-16m-oto-do-tan-a-gia-8ty6-pr39949550,5.0,0,0,0
106,39932230,170.0,32000.0,5.0,5.0,5.0,"5,5 m",0,1,105.838220523977,20.9918081855205,https://batdongsan.com.vn/ban-nha-rieng-phuong-phuong-liet/ban-biet-thu-phan-lo-thanh-xuan-170m-5-tang-via-he-o-to-tranh-pr39932230,5.0,0,0,1
130,39944895,55.0,12000.0,4.0,3.0,3.0,"5,5 m",0,1,105.8261259,20.9965037,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thai-phuong-khuong-mai/ban-55-m2-4-tang-mt-5-5m-ngo-o-to-tranh-kinh-doanh-pr39944895,5.0,0,0,0
142,39942688,43.0,9500.0,6.0,3.0,,5 m,0,1,105.815686940862,20.9910122055821,https://batdongsan.com.vn/ban-nha-rieng-pho-khuong-ha-phuong-khuong-dinh/net-dep-quan-thanh-xuan-oto-4-cho-vao-15m-ra-o-to-tranh-thang-may-dt-43m2-mt-5m-gia-9-5-ty-pr39942688,5.0,0,0,1
148,39942007,30.0,,5.0,3.0,4.0,"3,3 m",0,1,105.8106837,20.9887758,https://batdongsan.com.vn/ban-nha-rieng-pho-ha-dinh-phuong-ha-dinh/tuyet-pham-view-ho-truoc-ba-gac-tranh-ngo-thong-di-bo-ra-15m-oto-dung-do-ca-ngay-5t-3pn-pr39942007,5.0,0,0,0
150,39941902,64.0,12900.0,4.0,4.0,,,0,0,105.8257652,20.9988373,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-ngoc-nai-phuong-khuong-mai/-chu-dt-64m2-oto-do-cua-phan-khu-quan-doi-trung-tam-quan-thanh-xuan-lh-ms-hien-pr39941902,5.0,0,1,0
165,39939963,115.0,23500.0,,5.0,3.0,5 m,0,1,105.8280106,21.0002924,https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-khuong-mai/ban-phan-lo-so-19-ngo-156-pho-thanh-xuan-ha-noi-dien-tich-115-m2-gia-23-5-ty-pr39939963,5.0,1,0,0
175,39937637,55.0,,4.0,4.0,3.0,4 m,1,1,105.830213150994,20.9944717401326,https://batdongsan.com.vn/ban-nha-rieng-phuong-khuong-mai/sieu-pham-phan-lo-oto-vao-55m-chi-9-x-ty-tai-to-vinh-dien-pr39937637,5.0,0,0,0
192,39933314,81.0,35000.0,6.0,6.0,6.0,"6,1 m",1,1,105.8031129,21.0040864,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-phuong-nhan-chinh/-chu-can-ban-gap-6-tang-o-thanh-xuan-ha-noi-dt81m-pr39933314,5.0,0,0,1
224,39637920,120.0,33000.0,7.0,,,10 m,1,1,105.812736585654,20.9832602574735,https://batdongsan.com.vn/ban-nha-rieng-phuong-kim-giang-1/ban-toa-vp-120m2-mt-10m-7-tang-thang-may-vi-tri-dep-chinh-chu-pr39637920,5.0,0,0,1
230,39925571,52.0,9900.0,6.0,10.0,,,1,1,105.8185879,20.9872801,https://batdongsan.com.vn/ban-nha-rieng-duong-bui-xuong-trach-phuong-khuong-dinh/toa-can-ho-6t-thang-may-10-can-ho-full-noi-that-cach-pho-30m-dt-50tr-thang-pr39925571,5.0,1,1,1
232,39924112,35.0,,6.0,3.0,,"3,8 m",1,1,105.812330218293,21.0325096992357,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-luong-phuong-nhan-chinh/hiem-qua-ban-pho-xay-moi-6tang-be-the-ngo-thong-thoang-gan-oto-35m-6t-hon-5ty-pr39924112,5.0,0,0,0
254,39915369,65.0,5500.0,1.0,1.0,1.0,"3,5 m",0,1,105.8426875,20.9965314,https://batdongsan.com.vn/ban-nha-rieng-pho-pho-vong-phuong-phuong-liet/phat-mai-bank-trung-tam-hai-ba-trung-thanh-xuan-dau-tu-lai-xay-ccmn-hai-ra-tien-pr39915369,5.0,0,0,0
